RowIndex,Tag,MapID,Name,Icon,Position,AllowQuickPath,Description,Text,ChildrenJSON
11,Location,62,Đào Hoa Nguyên,Nha_5,"900,350",true,"Từ Ngọc Khê tiến vào<br>Quái vật đẳng cấp 70-75<br>Chủng loại quái vật:<br>Mê Nhân Phong, Hoa Ban Báo, Đào Căn Tiên, Đào Chi Tiên, Đào hoa tiên, Đào Thực Tiên.",,
12,Location,66,Bạch Sa Diêm Khanh,Nha_5,"450,300",true,"Từ Thạch Lâm vào<br>Quái vật đẳng cấp 84-89<br>Chủng loại quái vật:<br>Diêm Hồ Hùng, Diêm Hồ Ngạc Ngư, Oạt Diêm Mộc Nhân, Oạt Diêm Khổ Công, Yển Sư Giám Công, Yển Sư Thủ Vệ.",,
13,Location,67,Thiên Khanh Thụ Động,Nha_5,"520,420",true,Thiên Khanh Thụ Động,,
14,Location,20,Nhĩ Hải,Diadiem_2,"750,470",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 25-31<br>Loại quái vật gồm:<br>Xích Cước Dã Nhân, Phong Lang, Lang Tộc Thám Tử, Sơn Thù, Lang Tộc Kinh Sứ, Hoa Ban Báo, Lang Tộc Chiến Sĩ.",,
15,Location,60,Thạch Lâm,Diadiem_2,"670,430",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 55-61<br>Loại quái vật gồm:<br>Tông Hùng, Lang Thù, Hoa Cương Thạch Sư, Hoa Cương Thạch Nhân, Hiệt Nham Thạch Nhân, Yển Sư Thạch Nhân.",,
16,Location,56,Ôn Tuyền Động,Nha_5,"760,550",true,"Từ Nhĩ Hải vào<br>Quái vật đẳng cấp 25-30<br>Chủng loại quái vật:<br>Lang Tộc Kinh Sứ, Xích Cước Dã Nhân, Lang Tộc Thám Tử, Lang Tộc Chiến Sĩ, Hoa Ban Báo, Phong Lang.",,
17,Location,9,Nga My Sơn,Diadiem_19,"760,630",true,Môn Phái<br>Tổng đà phái Nga My,,
18,Location,21,Kiếm Các,Diadiem_20,"810,720",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 1-10<br>Loại quái vật gồm:<br>Thục Đạo Bạch Viên, Thục Đạo Hắc Viên, Bạch Mao Thảo Nhân, Quỷ Diện Chu Nho, Du Mộc Khổi Lỗi.",,
19,Location,22,Đôn Hoàng,Diadiem_20,"800,1090",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 1-10<br>Loại quái vật gồm:<br>Sa Pha Lang, Tàn Phá Binh Võng, Hoang Nguyên Báo, Du Mộc Khổi Lỗi, Sa Mạc Mã Phỉ, Ác Viên.",,
20,Location,12,Tinh Túc Hải,Song_1,"730,990",true,Môn Phái<br>Tổng đà phái Tinh Túc,,
21,Location,15,Mộ Dung,Diadiem_18,"1310,530",true,Môn Phái<br>Tổng đà phái Mộ Dung,,
22,Location,13,Thiên Sơn,Diadiem_11,"730,1200",true,Môn Phái<br>Tổng đà phái Thiên Sơn,,
23,Location,50,Bảo Tàng Động Tầng 1,Nha_3,"900,1160",true,"Bảo Tàng Động Tầng 1<br>Toàn cảnh trong động<br>Quái vật đẳng cấp 15-30<br>Loại quái vật gồm:<br>Đạo Mộ Tiểu Tặc, Sa Mạc Mã Phỉ, Hộ Bảo Đồng Nhân, Tầm Bảo Hào Kiệt, Động Huyệt Thạch Nhân, Hộ Bảo Thần Thú.",,
24,Location,114,Tần Hoàng Địa Cung Tầng 1,Diadiem_15,"880,930",true,Hiểm Địa<br>Tần Hoàng Địa Cung Tầng 1,,
25,Location,3,Lạc Dương,Thanh_7,"1140,860",true,Thành Lạc Dương,,
26,Location,24,Nhạn Nam,Diadiem_2,"1230,1010",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 30-36<br>Loại quái vật gồm:<br>Tây Bắc Lang, Kim Tiền Báo, Khôi Hùng, Tần Gia Trại Thám Tử, Tần Gia Trại Lâu La, Tần Gia Trại Thân Binh.",,
27,Location,42,Ma Nhai Động,Nha_5,"1330,1050",true,"Từ Nhạn Nam tiến vào<br>Quái vật đẳng cấp 30-35<br>Chủng loại quái vật:<br>Tần Gia Trại Ác Bá, Tần Gia Trại Hộ Vệ Sứ, Tần Gia Trại Thủ Lĩnh, Tần Gia Trại Thổ Phỉ, Tần Gia Trại Vệ Binh.",,
28,Location,31,Nhạn Bắc,Diadiem_2,"1210,1100",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 45-51<br>Loại quái vật gồm:<br>Hồng Phong Hùng, Tần Gia Trại Thổ Phỉ, Khôi Hùng, Hồng Phong Tri Thù, Tần Gia Trại Hộ Vệ, Tần Gia Trại Giáo Đầu, Đả Thảo Cốc Liêu Binh.",,
29,Location,32,Thảo Liệu Trường,Nha_5,"1120,1050",true,,,
30,Location,33,Yến Vương Cổ Mộ Tầng 1,Diadiem_17,"1120,1140",true,"Yến Vương Cổ Mộ Tầng 1<br>Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 50-75<br>Chủng loại quái vật:<br>Thâu Liệp Giả, Quỷ Kiếm, Thạch Nhân, Thụ Nhân, Nham Ma, Huyệt Mộ Độc Thù, Huyệt Mộ Độc Phong, Độc Ty Tri Thù Vương, Khô Ban Độc Thù, Hấp Huyết Biên Phúc, Xuân Thập Tam Nương, Tuỷ Độc Thù, Khô Tâu Binh, Phục Địa Ma, Quỷ Hồn, U Linh, Bạch Đế Âm Ảnh, Vong Linh Khải Giáp Võ Sĩ, Tử Vong Tần Phi, Minh Tướng, Hỏa Thuẫn Nê, Nê Tương Võ Sĩ, Huyết Ẩm Cuồng Đao, Bác Mã, Dung Nham Thạch Nhân, Xích Tiêu.",,
31,Location,43,Thảo Nguyên,Diadiem_2,"1250,1220",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 60-66<br>Loại quái vật gồm:<br>Thảo Nguyên Lang, Đả Thảo Cốc Tống Binh, Mông Cổ Hắc Phong, Thiểm Điện Mã Phỉ, Truy Phong Mã Phỉ, Loan Đao Mã Phỉ.",,
32,Location,44,Thủy Kính Hồ,Nha_5,"1130,1260",true,"Từ Thảo Nguyên tiến vào<br>Quái vật đẳng cấp 60-65<br>Chủng loại quái vật:<br>Đả Thảo Cốc Tống Binh, Mông Cổ Hắc Phong, Thiểm Điện Mã Phỉ, Truy Phong Mã Phỉ, Loan Đao Mã Phỉ, Thảo Nguyên Lang.",,
33,Location,45,Liêu Tây,Diadiem_2,"1250,1300",true,"Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 75-81<br>Chủng loại quái vật:<br>Nhất Phẩm Đường Thích Khách, Bạch Lang Vương, Đại Hắc Phong, Hồng Y Mã Phỉ, Hắc Y Mã Phỉ, Khinh Giáp Mãng Cái.",,
34,Location,46,Tiên Vương Phần,Nha_5,"1130,1340",true,"Từ Liêu Tây tiến vào<br>Quái vật đẳng cấp 75-80<br>Chủng loại quái vật:<br>Nhất Phẩm Đường Thích Khách, Quỷ Lang, Đạo Mộ Mã Phỉ, Hắc độc phong, Hộ Mộ Mãng Cái, Khô Lâu.",,
35,Location,47,Ngân Ngai Tuyết Nguyên,Diadiem_7,"1240,1400",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 75-80<br>Loại quái vật gồm:<br>Xí Nga, Xí Nga Vương, Tuyết Nguyên Lang, Ngân Ngai Tuyết Nhân, Tuyết Nguyên Mãng Cái.",,
36,Location,48,Trường Bạch Sơn,Diadiem_2,"1450,1250",true,"Toàn cảnh dã ngoại<br>Quái vật đẳng cấp 88-93<br>Chủng loại quái vật:<br>Hắc Hùng, Đông Bắc Hổ, Tuyết Nhân, Tuyết Sơn Liệp Nhân.",,
37,Location,49,Hoàng Long Phủ,Diadiem_2,"1410,1320",true,"Hoàng Long Phủ<br>Quái vật đẳng cấp 100-105<br>Chủng loại quái vật:<br>Đại Hắc Hùng, Tuyết Sơn Mãng Cái, Trọng Giáp Mãng Cái.",,
38,Location,6,Thiếu Lâm Tự,Diadiem_18,"1310,850",true,Môn Phái<br>Tổng đà phái Thiếu Lâm,,
39,Location,17,Đường Môn,Diadiem_18,"980,690",true,Môn Phái<br>Tổng đà phái Đường Môn,,
40,Location,1,Phụng Minh Trấn,Thanh_10,"1000,600",true,Phụng Minh Trấn,,
41,Location,8,Quang Minh Điện,Nui_5,"1410,950",true,Môn Phái<br>Tổng đà phái Minh Giáo,,
42,Location,7,Cái Bang Tổng Đà,Diadiem_18,"1470,1080",true,Môn Phái<br>Tổng đà phái Cái Bang,,
43,Location,25,Thái Hồ,Diadiem_20,"1430,810",true,Trường cảnh dã ngoại.,,
44,Location,23,Tung Sơn,Diadiem_20,"1270,750",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 15-21<br>Loại quái vật gồm:<br>Bạch Ngạch Hổ, Di Khí Mộc Nhân, Di Khí Đồng Nhân, Ác Viên, Dĩnh Thuỷ Lang, Lư Nhai Đồng Nhân.",,
45,Location,4,Tô Châu,Thanh_13,"1540,690",true,Thành Tô Châu,,
46,Location,14,Núi Võ Đang,Diadiem_19,"1170,630",true,Môn Phái<br>Tổng đà phái Võ Đang,,
47,Location,30,Kính Hồ,Diadiem_20,"1360,610",true,Trường cảnh dã ngoại.,,
48,Location,81,Huyền Vũ Đảo,Diadiem_4,"1690,600",true,Huyền Vũ Đảo<br>Cảnh bắt trân thú<br>Vào Thánh Thú Sơn.,,
49,Location,26,Tây Hồ,Diadiem_2,"1440,530",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 20-26<br>Loại quái vật gồm:<br>Thuỷ Quỷ Thám Tử, Hoa Cảng Độc Phong, Đoạn Kiều Hoa Yêu, Bạch Đê Liễu Quỷ, Long Tỉnh Thuỷ Tặc, Quy Phong Trang Trang Khách.",,
50,Location,29,Thanh Nguyên,Diadiem_2,"1470,430",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 45-57<br>Loại quái vật gồm:<br>Nghênh Khách Mao Tặc, Hắc Viên, Cự Hạt, Đoạn Kiều Hoa Yêu, Cẩm Y Khất Cái, Hoa Tửu Hoà Thượng, Yêu Tà Tri Thù, Thiềm Thừ Quái.",,
51,Location,27,Long Tuyền,Diadiem_2,"1540,570",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 35-41<br>Loại quái vật gồm:<br>Lạn Lộ Thuỷ Quỷ, Hắc Viên, Tung Hoả Thuỷ Quỷ, Thủy Quỷ Thích Khách, Tạc Thuyền Thuỷ Quỷ, Long Tuyền Báo, Quy Phong Trang Kiếm Sư.",,
52,Location,83,Võ Di,Diadiem_2,"1320,410",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 50-56<br>Loại quái vật gồm:<br>Thâm Cốc Bạch Viên, Bạch Hoa Tri Thù, Sơn Việt Chiến Sĩ, Sơn Việt Đạo Phỉ, Thụ Giáp Tiêu Binh, Sơn Việt Đao Khách.",,
53,Location,84,Mai Lĩnh,Diadiem_2,"1200,360",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 65-71<br>Loại quái vật gồm:<br>Hồng Bào Tri Thù, Lưu Khấu, Tùng Lâm Dã Nhân, Sơn Việt Tư Tế, Bằng Dân, Sơn Việt Hộ Pháp.",,
54,Location,85,Nam Hải,Diadiem_2,"1160,260",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 80-85<br>Loại quái vật gồm:<br>Nam Hải Ngạc Ngư, Thạch Lão Nhân, Nam Hải Hải Đạo, Ngạc Ngư Bang Tặc Đồ, Ngạc Ngư Bang Đả Thủ.",,
55,Location,86,Quỳnh Châu,Diadiem_2,"1190,190",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 92-97<br>Loại quái vật gồm:<br>Ngạc Ngư Bang Sát Thủ, Thị Huyết Ngạc Ngư, Ngạc Ngư Bang Đường Chủ, Nam Hải Đạo Thần, Ngạc Ngư Bang Dũng Sĩ.",,
56,Location,99,Hoàng Long Động,Nha_5,"1270,470",true,"Từ Võ Di tiến vào<br>Quái vật đẳng cấp 50-55<br>Loại quái vật gồm:<br>Thâm Cốc Bạch Viên, Bạch Hoa Tri Thù, Sơn Việt Chiến Sĩ, Sơn Việt Hộ Pháp, Thụ Giáp Tiêu Binh, Sơn Việt Tế Ty.",,
57,Location,28,Kiếm Gia,Nha_5,"1530,490",true,"Từ Long Tuyền tiến vào<br>Quái vật đẳng cấp 35-41<br>Chủng loại quái vật:<br>Kiếm Xỉ Báo, Kiếm Chủng Thích Khách, Ám Sát Giả, Kiếm Linh.",,
58,Location,5,Lâu Lan,Thanh_12,"460,1050",true,Thành Lâu Lan,,
59,Location,68,Cao Xương,Diadiem_19,"570,990",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 95-100<br>Loại quái vật gồm:<br>Phế Khư Khủng Yết, Khô Tâu Binh, Tây Vực Tát Mãn, Tây Vực Vu Y, Tây Vực Thiết Tặc, Tây Vực Kiếp Phỉ.",,
60,Location,69,Cao Xương Mê Cung,Nha_5,"650,920",true,"Từ Cao Xương tiến vào<br>Quái vật đẳng cấp 95-100<br>Chủng loại quái vật:<br>Phế Khư Khủng Yết, Khô Tâu Binh, Tây Vực Tát Mãn, Tây Vực Vu Y, Tây Vực Thiết Tặc, Tây Vực Kiếp Phỉ.",,
61,Location,73,Tháp Lý Mộc,Diadiem_2,"440,930",true,"Bản đồ dã ngoại<br>Quái vật đẳng cấp 100-105<br>Quái vật loại:<br>Thực Hủ Điểu, Sa Mạc Dã Nhân, Sa Trần, Sa Mạc Liệp Cẩu, Sa Mạc Chiến Sĩ, Sa Mạc Vu Sư.",,
62,Location,55,Hỏa Diệm Sơn,Diadiem_16,"650,1100",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 90-95<br>Quái vật loại:<br>Tây Vực Mã Phỉ, Hoang Nguyên Yết, Bắc Phương Đạo Tặc, Thiết Dực Ngưu.",,
63,Location,70,Hỏa Diệm Cốc,Nha_5,"570,1160",true,"Từ Hỏa Diệm Sơn tiến vào<br>Quái vật đẳng cấp 90-95<br>Tây Vực Mã Phỉ, Hoang Nguyên Yết, Bắc Phương Đạo Tặc, Dực Ngưu, Bắc Phương Cường Đạo, Thiết Dực Ngưu.",,
64,Location,71,Đại Uyển,Diadiem_2,"340,1040",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 105-110<br>Quái vật loại:<br>Đại Uyển Mã, Mã Trường Thủ Vệ, Tuần Mã Sư, Liêu Quốc Chiến Sĩ, Liêu Quốc Tát Mãn.",,
65,Location,74,Tháp Khắc Lạp Mã Can,Nha_5,"490,860",true,"Từ Tháp Lý Mộc tiến vào<br>Quái vật đẳng cấp 100-105<br>Loại quái vật gồm:<br>Thực Hủ Điểu, Sa Mạc Dã Nhân, Sa Trần, Sa Mạc Liệp Cẩu, Sa Mạc Chiến Sĩ, Sa Mạc Vu Sư.",,
66,Location,72,Hãn Huyết Lĩnh,Nha_5,"250,1000",true,"Từ Đại Uyển tiến vào<br>Quái vật đẳng cấp 105-110<br>Quái vật loại:<br>Đại Uyển Mã, Mã Trường Thủ Vệ, Tuần Mã Sư, Liêu Quốc Chiến Sĩ, Liêu Quốc Tát Mãn.",,
67,Location,75,Côn Lôn Sơn,Diadiem_19,"320,860",true,"Trường cảnh dã ngoại<br>Quái vật đẳng cấp 105-110<br>Loại quái vật:<br>Tiên Lộc, Linh Hạc, Khai Minh Thú, Tiểu Đạo Đồng, Thái Vân Tiên, Linh Kiếm Sĩ.",,
68,Location,76,Côn Lôn Phúc Địa,Diadiem_5,"260,920",true,"Từ Côn Lôn Sơn vào<br>Quái vật đẳng cấp 105-110<br>Loại quái vật:<br>Tiên Lộc, Linh Hạc, Khai Minh Thú, Tiểu Đạo Đồng, Thái Vân Tiên, Linh Kiếm Sĩ.",,
69,Location,16,Quỷ Cốc,Nha_2,"1000,1010",true,Môn Phái<br>Tổng đà phái Quỷ Cốc,,
70,Location,18,Đào Hoa,Diadiem_2,"1630,410",true,Môn Phái<br>Tổng đà phái Đào Hoa,,
71,Location,137,Mạn Đà Sơn Trang,Diadiem_6,"1580,860",true,Môn Phái<br>Tổng đà phái Mạn Đà,,
72,Location,143,Tuyệt Tình Cốc,Nui_2,"900,810",true,Môn Phái<br>Tổng đà phái Tuyệt Tình,,
