ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,NPCID,TemplatesJSON,Text,Timeout,MapID,Seconds,X,Y,Count,Radius,Desc,PosX,PosY
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,5,boss2,Ngụy Tống Quân Phó Đô Thống,120,retry,,,1,GoTo,,,,,,,2354,2351,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,5,boss2,Ngụy Tống Quân Phó Đô Thống,120,retry,,,2,Kill,,"[{""MonsterID"":""4080"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4081"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4082"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4083"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4084"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4085"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4086"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4087"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4088"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4089"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Ngụy Tống Quân Phó Đô Thống,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,6,boss3,Dư Độc,120,retry,,,1,GoTo,,,,,,,1861,1865,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,6,boss3,Dư Độc,120,retry,,,2,Kill,,"[{""MonsterID"":""4100"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4101"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4102"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4103"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4104"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4105"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4106"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4107"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4108"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4109"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Dư Độc,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,7,Wait,,120,retry,,,1,Wait,,,,,,10,,,,,,,
Q1_ToChau,Biên Giới Tống Liêu,93,Biên Giới Tống Liêu,8,finish,hoàn thành,30,skip,,,1,Notify,,,Hoàn thành chiến trường tống liêu!,,,,,,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,1,enter,Vào Trúc Lâm,6,retry,,,1,GoToNPC,707,,,,4,,,,,,,11300,9890
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,1,enter,Vào Trúc Lâm,6,retry,,,2,InteractNPC,707,,,,,,,,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,1,enter,Vào Trúc Lâm,6,retry,,,3,SelectDialog,,,Trừ hại,3,,,,,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,1,enter,Vào Trúc Lâm,6,retry,,,4,WaitMapChange,,,,6,94,,,,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,1,enter,Vào Trúc Lâm,6,retry,,,5,Wait,,,,,,2,,,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,2,zone1,Dã Hùng,120,retry,,,1,GoTo,,,,,,,2113,485,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,2,zone1,Dã Hùng,120,retry,,,2,Kill,,"[{""MonsterID"":""4110"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4111"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4112"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4113"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4114"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4115"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4116"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4117"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4118"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4119"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,80,800,Dã Hùng,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,3,boss,Hồng Hùng Vương,180,retry,,,1,GoTo,,,,,,,1461,2970,,,,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,3,boss,Hồng Hùng Vương,180,retry,,,2,Kill,,"[{""MonsterID"":""4120"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4121"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4122"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4123"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4124"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4125"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4126"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4127"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4128"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4129"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Hồng Hùng Vương,,
Q2_ToChau,Trúc Lâm,94,Trúc Lâm,4,finish,hoàn thành,30,skip,,,1,Notify,,,Hoàn thành Trúc Lâm!,,,,,,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,1,enter,Vào Dã Ngoại Trại Phỉ,6,retry,,,1,GoToNPC,674,,,,4,,,,,,,4400,8090
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,1,enter,Vào Dã Ngoại Trại Phỉ,6,retry,,,2,InteractNPC,674,,,,,,,,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,1,enter,Vào Dã Ngoại Trại Phỉ,6,retry,,,3,SelectDialog,,,Doanh trại của phỉ,3,,,,,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,1,enter,Vào Dã Ngoại Trại Phỉ,6,retry,,,4,WaitMapChange,,,,6,95,,,,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,1,enter,Vào Dã Ngoại Trại Phỉ,6,retry,,,5,Wait,,,,,,2,,,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,2,boss,Cát Vinh,180,retry,,,1,GoTo,,,,,,,1856,2208,,,,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,2,boss,Cát Vinh,180,retry,,,2,Kill,,"[{""MonsterID"":""4130"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""4131"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""4132"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""4133"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""4134"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""4135"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""4136"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""4137"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""4138"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""4139"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Cát Vinh,,
Q3_ToChau,Dã Ngoại Trại Phỉ,95,Dã Ngoại Trại Phỉ,3,finish,hoàn thành,30,skip,,,1,Notify,,,Hoàn thành Dã Ngoại Trại Phỉ!,,,,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,1,GoToNPC,717,,,,4,,,,,,,8600,8600
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,2,InteractNPC,717,,,,,,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,3,SelectDialog,,,Trân Long Kỳ Cuộc (thường),3,,,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,4,WaitMapChange,,,,6,77,,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,5,Wait,,,,,,2,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,1,Wait,,,,,,25,,,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,2,GoTo,,,,,,,1704,2503,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,3,Kill,,"[{""MonsterID"":""1770"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1771"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1772"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1773"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1774"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1775"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1776"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1777"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1778"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1779"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1780"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1781"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1782"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1783"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1784"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1785"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1786"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1787"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1788"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1789"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1790"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1791"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1792"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1793"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1794"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1795"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1796"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1797"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1798"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1799"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1800"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1801"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1802"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1803"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1804"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1805"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1806"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1807"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1808"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1809"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,200,800,Tiêu diệt quân cờ,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,3,boss,Viễn Cổ Kỳ Hồn,180,retry,,,1,GoTo,,,,,,,2016,2080,,,,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,3,boss,Viễn Cổ Kỳ Hồn,180,retry,,,2,Kill,,"[{""MonsterID"":""1850"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1851"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1852"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1853"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1854"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1855"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1856"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1857"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1858"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1859"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Viễn Cổ Kỳ Hồn,,
DanhCo1,Trân Long Kỳ Cuộc (thường),77,Trân Long Kỳ Cuộc,4,finish,hoàn thành,30,skip,,,1,Notify,,,Hoàn thành Trân Long Kỳ Cuộc!,,,,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,1,GoToNPC,717,,,,4,,,,,,,8600,8600
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,2,InteractNPC,717,,,,,,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,3,SelectDialog,,,Trân Long Kỳ Cuộc (nhanh),3,,,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,4,WaitMapChange,,,,6,77,,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,5,Wait,,,,,,2,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,1,Wait,,,,,,25,,,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,2,GoTo,,,,,,,1704,2503,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,3,Kill,,"[{""MonsterID"":""1770"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1771"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1772"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1773"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1774"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1775"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1776"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1777"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1778"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1779"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1780"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1781"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1782"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1783"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1784"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1785"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1786"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1787"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1788"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1789"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1790"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1791"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1792"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1793"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1794"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1795"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1796"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1797"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1798"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1799"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1800"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1801"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1802"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1803"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1804"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1805"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1806"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1807"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1808"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1809"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,200,800,Tiêu diệt quân cờ,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,3,boss,Viễn Cổ Kỳ Hồn,180,retry,,,1,GoTo,,,,,,,2016,2080,,,,,
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,3,boss,Viễn Cổ Kỳ Hồn,180,retry,,,2,Kill,,"[{""MonsterID"":""1850"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1851"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1852"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1853"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1854"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1855"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1856"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1857"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1858"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1859"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,1,800,Viễn Cổ Kỳ Hồn,,
