RowIndex,Tag,Name,AnimationSpeed,Text,ChildrenJSON
16,Sticker,#9,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""52""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""53""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""54""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""55""}}]"
17,Sticker,#10,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""56""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""57""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""58""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""59""}}]"
18,Sticker,#11,1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""60""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""61""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""62""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""63""}}]"
19,Sticker,#12,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""64""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""65""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""66""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""67""}}]"
20,Sticker,#13,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""68""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""69""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""70""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""71""}}]"
21,Sticker,#14,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""72""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""73""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""74""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""75""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""76""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""77""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""78""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""79""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""80""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""81""}}]"
22,Sticker,#15,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""82""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""83""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""84""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""85""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""86""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""87""}}]"
23,Sticker,#16,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""88""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""89""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""90""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""91""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""92""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""93""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""94""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""95""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""96""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""97""}}]"
24,Sticker,#17,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""98""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""99""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""100""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""101""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""102""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""103""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""104""}}]"
25,Sticker,#18,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""105""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""106""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""107""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""108""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""109""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""110""}}]"
26,Sticker,#19,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""111""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""112""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""113""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""114""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""115""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""116""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""117""}}]"
27,Sticker,#20,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""118""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""119""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""120""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""121""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""122""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""123""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""124""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""125""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""126""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""127""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""128""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""129""}}]"
28,Sticker,#21,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""130""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""131""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""132""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""133""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""134""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""135""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""136""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""137""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""138""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""139""}}]"
29,Sticker,#22,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""140""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""141""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""142""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""143""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""144""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""145""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""146""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""147""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""148""}}]"
30,Sticker,#23,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""149""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""150""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""151""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""152""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""153""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""154""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""155""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""156""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""157""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""158""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""159""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""160""}}]"
31,Sticker,#24,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""161""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""162""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""163""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""164""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""165""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""166""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""167""}}]"
32,Sticker,#25,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""177""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""178""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""179""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""180""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""181""}}]"
33,Sticker,#26,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""182""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""183""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""184""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""185""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""186""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""187""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""188""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""189""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""190""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""191""}}]"
34,Sticker,#27,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""192""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""193""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""194""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""195""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""196""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""197""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""198""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""199""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""200""}}]"
35,Sticker,#28,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""201""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""202""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""203""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""204""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""205""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""206""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""207""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""208""}}]"
36,Sticker,#29,4,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""209""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""210""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""211""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""212""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""213""}}]"
37,Sticker,#30,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""214""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""215""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""216""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""217""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""218""}}]"
38,Sticker,#31,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""219""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""220""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""221""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""222""}}]"
39,Sticker,#32,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""223""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""224""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""225""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""226""}}]"
40,Sticker,#33,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""227""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""228""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""229""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""230""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""231""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""232""}}]"
41,Sticker,#34,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""233""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""234""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""235""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""236""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""237""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""238""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""239""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""240""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""241""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""242""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""243""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""244""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""245""}}]"
42,Sticker,#35,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""246""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""247""}}]"
43,Sticker,#36,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""248""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""249""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""250""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""251""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""252""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""253""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""254""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""255""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""256""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""257""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""258""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""259""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""260""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""261""}}]"
44,Sticker,#37,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""262""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""263""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""264""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""265""}}]"
45,Sticker,#38,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""266""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""267""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""268""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""269""}}]"
46,Sticker,#39,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""270""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""271""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""272""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""273""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""274""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""275""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""276""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""277""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""278""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""279""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""280""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""281""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""282""}}]"
47,Sticker,#40,3,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""283""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""284""}}]"
48,Sticker,#41,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""285""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""286""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""287""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""288""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""289""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""290""}}]"
49,Sticker,#42,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""291""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""292""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""293""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""294""}}]"
50,Sticker,#43,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""295""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""296""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""297""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""298""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""299""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""300""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""301""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""302""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""303""}}]"
51,Sticker,#44,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""304""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""305""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""306""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""307""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""308""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""309""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""310""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""311""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""312""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""313""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""314""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""315""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""316""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""317""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""318""}}]"
52,Sticker,#45,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""319""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""320""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""321""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""322""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""323""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""324""}}]"
53,Sticker,#46,5,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""325""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""326""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""327""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""328""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""329""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""330""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""331""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""332""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""333""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""334""}}]"
54,Sticker,#47,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""335""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""336""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""337""}}]"
55,Sticker,#48,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""338""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""339""}}]"
56,Sticker,#49,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""340""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""341""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""342""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""343""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""344""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""345""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""346""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""347""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""348""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""349""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""350""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""351""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""352""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""353""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""354""}}]"
57,Sticker,#50,10,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""355""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""356""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""357""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""358""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""359""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""360""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""361""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""362""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""363""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""364""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""365""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""366""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""367""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""368""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""369""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""370""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""371""}}]"
58,Sticker,#51,8,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""372""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""373""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""374""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""375""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""376""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""377""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""378""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""379""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""380""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""381""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""382""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""383""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""384""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""385""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""386""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""387""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""388""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""389""}}]"
59,Sticker,#52,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""390""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""391""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""392""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""393""}}]"
60,Sticker,#53,6,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""394""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""395""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""396""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""397""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""398""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""399""}}]"
