ID,Name,Icon,TypeDesc,TargetType,ItemLevel,RequireLevel,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ProgressTime,ProgressTick,MaxUsageTimesPerDay
30101020,Phát Cao,Food2_4,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101021,Mễ Cao,Food2_13,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101022,Hạnh Đào Tô,Food_13,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101023,Phấn Bì,Food_9,Thực phẩm,Self,11,60,1528,100,true,true,false,5000,-1,-1,,10000,1000,
30101024,Oa Oa Đầu,Food_3,Thực phẩm,Self,12,60,1744,100,true,true,false,5000,-1,-1,,10000,1000,
30101031,Bạch Phong Cao,Food_1,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101032,Ngưu Hoàn Phấn,Food_9,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101033,Hạnh Đào Lạc,Food_3,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101034,Kim Tiền Ma Hoa,Food_16,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101035,Xuân Bính,Food2_4,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101036,Đậu Muộn Phạn,Food_2,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101037,Trùng Dương Cao,Food2_13,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101038,Băng Hoa Cầu,Food2_1,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101039,Ba Kê,Food_11,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101040,Vân Thuẫn Diện,Food_9,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101041,Tang Cúc Chúc,Food_7,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101042,Sơn Dược Chúc,Food2_5,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101043,Tùng Tử Chúc,Food2_5,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101044,Hắc Mễ Chúc,Food_7,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101045,Hồ Đào Chúc,Food_7,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101046,Hải Tiên Chúc,Food2_5,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101047,Sa Sâm Ngân Nhĩ Chúc,Food_7,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101048,Xuyên Bối Bách Hợp Chúc,Food_7,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101049,Sinh Địa Mạch Đông Chúc,Food2_5,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101050,Bách Quả Dưỡng Sinh Chúc,Food_7,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101051,Dầu tiền,Food_13,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101052,Khảo Ngọc Mễ,Food3_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101053,Cẩm Sắc Sao Phạn,Food2_6,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101054,Bánh khoai,Food2_4,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101055,Nhu Mễ Cao,Food2_8,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101056,Hương Cô Thái Bao,Food_6,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101057,Tàm Đậu Ngân Ty Cao,Food2_6,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101058,Cam Thảo Ý Mễ Bính,Food_3,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101059,Bách Vị Thanh Ti Diện,Food_9,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101060,Tiêu Hồn Ý Vị Cao,Food2_6,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101061,Lục Đậu Cao,Food_3,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101062,Chi Ma Bính,Food2_3,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101063,Dầu Diện Cân,Food2_5,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101064,Hạnh Nhân Tô,Food_3,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101065,Thanh Minh Ba,Food_13,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101066,Ba Tiêu Ham Phạn,Food2_5,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101067,Hoàng Dầu Phát Cao,Food2_4,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101068,Tứ Bảo Chi Ma Chúc,Food2_5,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101069,Ty Qua Diện Tuyến Thang,Food_7,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101070,Bánh Thiên Đao Tô Tuyết,Food2_4,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101071,Nhục Ty Hương Cô,Food2_10,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101072,Cô Thương Nhục,Food_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101073,Khiếu Hóa Kê,Food_11,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101074,Kiêu Chấp Ngư Phiến,Food_12,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101075,Mã Nghĩa Thượng Thụ,Food_2,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101076,Bát Trân Thuẫn Kê Thang,Food2_6,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101077,Ô Kê Thang,Food2_6,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101078,Bão Tiêu Phụng Trảo,Meet_2,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101079,Ngư Phúc Dương Nhục,Meet_9,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101080,Triều Châu Thiện Bao,Food2_5,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101081,Sinh Thái Nhục Tùng,Food_2,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101082,Tương Ngưu Nhục,Meet_4,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101083,Tạc Hoàng Hoa Ngư,Food_10,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101084,Quan Thang Bao,Food_6,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101085,Lạp Thiêu Hương Loa,Food_5,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101086,Phấn Chưng Áp Nhục,Meet_2,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101087,Hà Bao Tức Ngư,Food_12,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101088,Hào Dầu Ngưu Nhục,Meet_3,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101089,Hồng Muộn Ngưu Nạm,Food_2,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101090,Túy Phi Bạch Nhục,Meet_12,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101091,Phao bính,Food2_3,Thực phẩm,Self,1,1,54,1,true,true,false,5000,-1,-1,,10000,1000,
30101092,Hồng tảo phạn,Food2_5,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101093,Thổ đậu phạn,Food2_5,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101094,Hương mễ phạn,Food_7,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101095,Sơn quỳ phạn,Food_7,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101096,Đậu khấu phạn,Food2_5,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101097,Hồng hoa mễ phạn,Food_7,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101098,Thổ đậu tiên bính,Food2_3,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101099,Du tiên thổ đậu bính,Food_15,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101100,Ngưu nhục muộn phạn,Food_7,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101101,Diện bao hãm bính,Food2_4,Thực phẩm,Self,11,60,2091,100,true,true,false,5000,-1,-1,,10000,1000,
30101102,Đỗ nhĩ mạch phạn,Food3_3,Thực phẩm,Self,12,60,2388,100,true,true,false,5000,-1,-1,,10000,1000,
30101103,Thuý mễ bính,Food_3,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101104,Bân thảo cao,Food2_13,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101105,Hồng thự cao,Food2_8,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101106,Vân đậu cao,Food2_13,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101107,Phi tân giang,Food3_4,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101108,Sa đường cao,Food2_13,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101109,Ba tư tảo cao,Food2_4,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101110,Sa nhân vu cao,Food_3,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101111,Hồ trăn tử cao,Food2_4,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101112,Nhũ hương nhu cao,Function_6,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101113,Ý mễ phấn cao,Food_3,Thực phẩm,Self,11,60,1528,100,true,true,false,5000,-1,-1,,10000,1000,
30101114,Bổ cốt chi phạn,Food2_5,Thực phẩm,Self,12,60,1744,100,true,true,false,5000,-1,-1,,10000,1000,
30101115,Huân thảo cao,Food2_8,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101116,Bạc hà cao,Food2_4,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101117,Thủ trảo phạn,Food_2,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101118,Đại bàn kê,Food_11,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101119,Tô du trà,Food3_5,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101120,Mạch phiến chúc,Food2_6,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101121,Tô lạc cao,Food_3,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101122,Trân châu tửu nhưỡng,Food2_1,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101123,Tây mễ da lộ,Food3_6,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101124,Ba tư dương thối,Meet_11,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101125,Bì bát chúc,Food_7,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101126,Xích đậu chúc,Food2_5,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101127,Hồ Đào Chúc,Food_7,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101128,Hồi hương chúc,Food2_5,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101129,Kê nhục chúc,Food_7,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101130,Quả tử tương bao,Food_13,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101131,Hổ phách tùng tử chúc,Food2_5,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101132,Thẩm hương liên tâm chúc,Food_7,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101133,Lô oái thanh duẩn chúc,Food2_5,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101134,Tô hợp hương đậu chúc,Food_7,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101135,Du tiên bính,Food2_3,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101136,Hà nhân bính,Food_3,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101137,Tàng hồng lao phạn,Food2_5,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101138,Bạc nang,Food2_3,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101139,Thuỷ quả trà,Food3_7,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101140,Oản đậu ta ba,Food2_8,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101141,Thanh chưng tứ sắc ngư,Food_12,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101142,Hồ đào mộc khảo nhục,Meet_6,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101143,Đinh hương tiểu ngưu nhục,Meet_4,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101144,Ba gia ngưu nhục thang,Food2_6,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101145,Hồ bính,Food2_3,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101146,Trăn hạt cao,Food_3,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101147,Sa quả bính,Food2_13,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101148,Ba lạp bính,Food2_4,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101149,Dưa Cáp mật,Food3_8,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101150,Mã não bồ đào,Food2_11,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101151,Da tử lạc,Function_9,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101152,Mạt trát mã quả,Food2_11,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101153,Lưu ly bồ đào,Food2_11,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101154,Tô du nhân sâm quả,Food3_9,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30101155,Sơn thông nhục,Food_2,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,
30101156,Khảo ba ba,Food_13,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,
30101157,Bồ diệp ngư,Food_12,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,
30101158,Bạc hà hoàn tử,Food2_2,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,
30101159,Hắc tử kê bài,Food3_10,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,
30101160,Mã cáp ngư bài,Food_12,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,
30101161,Hắc ngư tử tương,Food2_12,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,
30101162,Dương nhục muộn thổ đậu,Food3_11,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,
30101163,Bồ đào trấp thiêu nhục,Meet_3,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,
30101164,Ba gia toán thiêu gia,Food_2,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,
30101165,Anh đào kê,Food_11,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,
30101166,Ô hương dương bài,Food3_12,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,
30101167,Nhũ hương cáp tử,Food3_13,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,
30101168,Cảm lãm nhũ cáp,Food3_14,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,
30101169,Khảo tầm ngư,Food_10,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,
30101170,Thạch lưu hương áp,Meet_2,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,
30101171,Đậu đốn tân nhục,Food_2,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,
30101172,Hạt đào chưng nga,Meet_2,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,
30101173,Ba thái kê nhục quyển,Food_15,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,
30101174,Dương nhục đốn nhu cao,Food3_15,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,
30102001,Mễ Chỉ Bính,Food_3,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30102002,Nhất Phẩm Chúc,Food_5,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30102003,Hoa Sinh Thang Viên,Food2_1,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30102004,Hồng Đậu Phạn,Food2_5,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30102005,Quả Nhân Đậu Bì,Food_7,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30102006,Dương Xuân Diện,Food2_5,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30102007,Nam Qua Hàm Phạn,Food2_6,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30102008,Xích Đậu Phật Thủ,Food_2,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30102009,Mai Can Mễ Phạn,Food2_5,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30102010,Kê Dầu Lạc Bính,Food2_3,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30102011,Đào Tô,Food2_4,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30102012,Đồng Tử Cao,Food_3,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30102013,Diệp Nhi Ba,Food2_3,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30102014,Từ Ba,Food2_8,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30102015,Tam Tiên Quyển,Food_15,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30102016,Khuẩn Tử Diện,Food_9,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
30102017,Tiên Tầng Phát Cao,Food2_4,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
30102018,Bạt Ty Cam Thử,Food_4,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
30102019,Nãi Du Tiên Bính,Food_3,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
30102020,Tương Tư Hồng Đậu Chúc,Food2_5,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
30102021,Đề Ty Phát Cao,Food_3,Thực phẩm,Self,7,60,8400,2100,true,true,false,5000,-1,-1,,-1,-1,
30102022,Bánh Hồng Đậu Bản Tử,Food2_4,Thực phẩm,Self,7,60,8400,2100,true,true,false,5000,-1,-1,,-1,-1,
30102023,Kim Bao Ngân,Food_2,Thực phẩm,Self,7,60,8400,2100,true,true,false,5000,-1,-1,,-1,-1,
30102024,Liên Tử Ý Mễ Canh,Food_7,Thực phẩm,Self,7,60,8400,2100,true,true,false,5000,-1,-1,,-1,-1,
30102025,Thanh Tố Nhu Mễ Từ,Food_3,Thực phẩm,Self,7,60,8400,2100,true,true,false,5000,-1,-1,,-1,-1,
30102026,Thủy Áp Nhuận Phế Thang,Food2_5,Thực phẩm,Self,9,60,14400,3600,true,true,false,5000,-1,-1,,-1,-1,
30102027,Hạnh Đào Kê Đinh,Food_2,Thực phẩm,Self,9,60,14400,3600,true,true,false,5000,-1,-1,,-1,-1,
30102028,Ngư Hương Toái Bạch Nhục,Food_5,Thực phẩm,Self,9,60,14400,3600,true,true,false,5000,-1,-1,,-1,-1,
30102029,Sơn Tiêu Túy Kê Si,Meet_9,Thực phẩm,Self,9,60,14400,3600,true,true,false,5000,-1,-1,,-1,-1,
30102030,Hoàng Dầu Bạt Ngư,Food_10,Thực phẩm,Self,9,60,14400,3600,true,true,false,5000,-1,-1,,-1,-1,
30103001,Dương Sâm Thổ Biết Chúc,Food_7,Thực phẩm,Self,4,30,6430,1607,true,true,false,5000,-1,-1,,-1,-1,
30103002,Tứ Hỷ Hoàn Tử,Food3_1,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30103003,Bánh Ngư Hương Gia,Food2_3,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30103004,Toan Lạp Ngư Phiến,Food_10,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30103005,Tửu Chưng Kê,Food_11,Thực phẩm,Self,1,10,200,50,true,true,false,5000,-1,-1,,-1,-1,
30103006,Hải Đái Ngưu Nhục Thang,Food2_6,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30103007,Can Tạc Tức Ngư,Food_10,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30103008,Mộc Nhĩ Trư Nhục Phiến,Food2_12,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30103009,Khảo Nhục Cái Phạn,Food_9,Thực phẩm,Self,3,10,1200,300,true,true,false,5000,-1,-1,,-1,-1,
30103010,Hồng Muộn Hùng Trảo,Meet_5,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30103011,Tử Thái Thang,Food2_5,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30103012,Hồng Thiêu Giáp Ngư,Meet_8,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30103013,Bài Cốt Chúc,Food2_6,Thực phẩm,Self,4,40,2400,600,true,true,false,5000,-1,-1,,-1,-1,
30103014,Ôi Khảo Khuê Ngư,Food_10,Thực phẩm,Self,6,40,6000,1500,true,true,false,5000,-1,-1,,-1,-1,
