RowIndex,Tag,Name,ScaleP,UIHeaderOffset,PreviewCameraPosition,PreviewCameraRotation,Text,ChildrenJSON
1575,Model,npc150210XuanbossMengJiang,39,"0,450","0,60,70","165,0,-180",,
1576,Model,npc150212Bingboss,39,"0,450","0,60,70","165,0,-180",,
1577,Model,bosskvkChengShiChanChuFuBenWangLingJian110812,39,"0,450","0,60,70","165,0,-180",,
1578,Model,Duboos,39,"0,470","0,60,70","165,0,-180",,
1579,Model,HuoboosSiZu,39,"0,470","0,60,70","165,0,-180",,
1580,Model,DuboosSiZu,39,"0,470","0,60,70","165,0,-180",,
1581,Model,XuanbossMengJiang,39,"0,470","0,60,70","165,0,-180",,
1582,Model,boosLiuZhua,39,"0,470","0,60,70","165,0,-180",,
1583,Model,Bingboos,39,"0,470","0,60,70","165,0,-180",,
1584,Model,Huoboos,39,"0,470","0,60,70","165,0,-180",,
1585,Model,boss170920FuXi,50,"0,220","0,60,70","170,0,-180",,
1586,Model,bossWuYaZi20120926BaiSe,50,"0,220","0,60,70","170,0,-180",,
1587,Model,ZhenShou191125ZuanShivip_GuangMing,70,"0,220","0,60,70","170,0,-180",,
1588,Model,ZhenShou191125PuTongvip_LuSeBianSe,70,"0,220","0,60,70","170,0,-180",,
1589,Model,MuRenXiangShouLing,39,"0,450","0,60,70","170,0,-180",,
1590,Model,npcGuaiXiYuXianHe,39,"0,450","0,60,70","170,0,-180",,
1591,Model,RenLeiShouLing2,39,"0,320","0,60,70","170,0,-180",,
1592,Model,RenLeiShouLing,39,"0,320","0,60,70","170,0,-180",,
1593,Model,bossJiuLiZhiHuiGuan20120911BianSe1,39,"0,430","0,60,70","170,0,-180",,
1594,Model,bossGeRongShengJi090801,39,"0,450","0,60,70","170,0,-180",,
1595,Model,RenLeiShouLing2,39,"0,250","0,60,70","170,0,-180",,
1596,Model,YeWaiShouLing,39,"0,490","0,60,70","170,0,-180",,
1597,Model,bossShengSiLeiTaiHuYanZhuo,39,"0,310","0,60,70","170,0,-180",,
1598,Model,bossShengSiLeiTaiLuZhiShen,39,"0,310","0,60,70","170,0,-180",,
1599,Model,bossShengSiLeiTaiWuYong,39,"0,310","0,60,70","170,0,-180",,
1600,Model,bossShengSiLeiTaiGuanSheng,39,"0,310","0,60,70","170,0,-180",,
1601,Model,bossShengSiLeiTaiSongJiang,39,"0,310","0,60,70","170,0,-180",,
1602,Model,bossShengSiLeiTaiLiKui,39,"0,310","0,60,70","170,0,-180",,
1603,Model,DiGongbossGuMuYouJinShouWei,39,"0,290","0,60,70","170,0,-180",,
1604,Model,XiaoNanHai2,39,"0,130","0,70,100","170,0,-180",,
1605,Model,XiaoNanHai3,39,"0,130","0,70,100","170,0,-180",,
1606,Model,XiaoNanHai,39,"0,130","0,70,100","170,0,-180",,
1607,Model,JingHuEYuTouMu,39,"0,130","0,70,100","170,0,-180",,
1608,Model,DuLangZhuTouMu,39,"0,130","0,70,100","170,0,-180",,
1609,Model,YiQiMuRen,39,"0,250","0,70,100","170,0,-180",,
1610,Model,YiQiMuRen1,39,"0,250","0,70,100","170,0,-180",,
1611,Model,YiQiMuRen2,39,"0,250","0,70,100","170,0,-180",,
1612,Model,YiQiMuRen3,39,"0,250","0,70,100","170,0,-180",,
1613,Model,YanHuKuGong,39,"0,190","0,70,100","170,0,-180",,
1614,Model,ZaoChuanShuiGui,39,"0,180","0,70,100","170,0,-180",,
1615,Model,LanLuShuiGui,39,"0,180","0,70,100","170,0,-180",,
1616,Model,ZongHuoShuiGuiTouMu,39,"0,180","0,70,100","170,0,-180",,
1617,Model,LanLuShuiGuiTouMu,39,"0,180","0,70,100","170,0,-180",,
1618,Model,HuiXiong,39,"0,180","0,70,100","170,0,-180",,
1619,Model,DaHeiXiong,39,"0,180","0,70,100","170,0,-180",,
1620,Model,HuiXiongTouMu,39,"0,180","0,70,100","170,0,-180",,
1621,Model,HongXiongWang,39,"0,290","0,70,100","170,0,-180",,
1622,Model,YanHuXiong,39,"0,180","0,70,100","170,0,-180",,
1623,Model,ShuDaoBaiYuan,39,"0,110","0,70,100","170,0,-180",,
1624,Model,npcGuaiShuDaoHeiYuan20090807,39,"0,110","0,70,100","170,0,-180",,
1625,Model,TaiHuEYu,39,"0,110","0,70,100","170,0,-180",,
1626,Model,JingHuEYu,39,"0,110","0,70,100","170,0,-180",,
1627,Model,YanHuEYu,39,"0,110","0,70,100","170,0,-180",,
1628,Model,LuSeChongWuEYu,39,"0,110","0,50,100","170,0,-180",,
1629,Model,QingSeChongWuEYu,39,"0,110","0,50,100","170,0,-180",,
1630,Model,HeSeChongWuEYu,39,"0,110","0,50,100","170,0,-180",,
1631,Model,ZhaoZeEYu,39,"0,110","0,70,130","170,0,-180",,
1632,Model,ShiXieEYu,39,"0,110","0,70,130","170,0,-180",,
1633,Model,NanHaiEYu,39,"0,110","0,70,130","170,0,-180",,
1634,Model,ShenGuBaiYuan,39,"0,110","0,70,100","170,0,-180",,
1635,Model,HuangYuanHe,39,"0,110","0,70,100","170,0,-180",,
1636,Model,GaoShanBaiYuan,39,"0,110","0,70,100","170,0,-180",,
1637,Model,LongQuanBaoTouMu,39,"0,140","0,70,100","170,0,-180",,
1638,Model,HuangYuanBaoTouMu,39,"0,140","0,70,100","170,0,-180",,
1639,Model,JinQianBao,39,"0,140","0,70,100","170,0,-180",,
1640,Model,HeiZhaoBao,39,"0,140","0,70,100","170,0,-180",,
1641,Model,ShuJiaShaoBing,39,"0,130","0,70,100","170,0,-180",,
1642,Model,BaiLangWangTouMu,39,"0,130","0,70,100","170,0,-180",,
1643,Model,BaiLang,39,"0,240","0,50,100","170,0,-180",,
1644,Model,YingShuiLang,39,"0,130","0,70,100","170,0,-180",,
1645,Model,BaiLangWang,39,"0,130","0,70,100","170,0,-180",,
1646,Model,CaoYuanLang,39,"0,130","0,70,100","170,0,-180",,
1647,Model,LongQuanBao,39,"0,140","0,70,100","170,0,-180",,
1648,Model,DongBeiHu,39,"0,140","0,70,100","170,0,-180",,
1649,Model,BaiHu,39,"0,220","0,50,130","170,0,-180",,
1650,Model,BaiEHuTouMu,39,"0,140","0,70,100","170,0,-180",,
1651,Model,BaiEHuTouMu,39,"0,140","0,70,100","170,0,-180",,
1652,Model,ShanZhu,39,"0,130","0,70,100","170,0,-180",,
1653,Model,BaiHuaZhiZhu,39,"0,130","0,70,100","170,0,-180",,
1654,Model,HongFengZhiZhu,39,"0,130","0,70,100","170,0,-180",,
1655,Model,ShanZhu1,39,"0,130","0,70,100","170,0,-180",,
1656,Model,HuiBaiSeZhiZhu,39,"0,150","0,70,100","170,0,-180",,
1657,Model,HongPaoZhiZhu,39,"0,130","0,70,100","170,0,-180",,
1658,Model,ShanDianBao,39,"0,140","0,70,100","170,0,-180",,
1659,Model,HuaBanBao,39,"0,140","0,70,100","170,0,-180",,
1660,Model,BaiEHu,39,"0,140","0,70,100","170,0,-180",,
1661,Model,FengLang,39,"0,140","0,70,100","170,0,-180",,
1662,Model,ShaPoLang,39,"0,120","0,70,100","170,0,-180",,
1663,Model,DaHuangFeng,39,"0,190","0,70,100","170,0,-180",,
1664,Model,HuaGangDuFeng,39,"0,190","0,70,100","170,0,-180",,
1665,Model,ShuiGuiTanZi,39,"0,190","0,70,100","170,0,-180",,
1666,Model,ShanZhiZhuTouMu,39,"0,130","0,70,100","170,0,-180",,
1667,Model,DaYanShi,39,"0,270","0,70,100","170,0,-180",,
1668,Model,YiQiMuRen,39,"0,270","0,70,100","170,0,-180",,
1669,Model,HeiYiMaFei,39,"0,270","0,70,100","170,0,-180",,
1670,Model,XiYuMaFei,39,"0,270","0,70,100","170,0,-180",,
1671,Model,ShanDianMaFei,39,"0,270","0,70,100","170,0,-180",,
1672,Model,ZhuiFengMaFei,39,"0,270","0,70,100","170,0,-180",,
1673,Model,WanDaoMaFei,39,"0,270","0,70,100","170,0,-180",,
1674,Model,HongYiMaFei,39,"0,270","0,70,100","170,0,-180",,
1675,Model,YanHuJianGong,39,"0,270","0,70,100","170,0,-180",,
1676,Model,YanHuShouWei,39,"0,270","0,70,100","170,0,-180",,
1677,Model,ShiRenYanShi,39,"0,270","0,70,100","170,0,-180",,
1678,Model,ShiRenYanShiTouMu,39,"0,270","0,70,100","170,0,-180",,
1679,Model,YanShiHuFaTouMu,39,"0,270","0,70,100","170,0,-180",,
1680,Model,DaYanShiTouMu,39,"0,270","0,70,100","170,0,-180",,
1681,Model,YanShi,39,"0,270","0,70,100","170,0,-180",,
1682,Model,npc2010ShiJieBeiHuoDongShiJieBeiGongShiPai100521,39,"0,460","0,70,100","170,0,-180",,
1683,Model,npcXiongMao20090824,39,"0,130","0,70,100","170,0,-180",,
1684,Model,WuDangGaoJiQiChengDiZi,39,"0,450","0,70,100","170,0,-180",,
1685,Model,YuJiuLian,39,"0,450","0,70,100","170,0,-180",,
1686,Model,YeWaiXiaoShouLing,39,"0,270","0,70,100","170,0,-180",,
1687,Model,GuMuYouLing,39,"0,290","0,70,100","170,0,-180",,
1688,Model,GuMuYouLingFaShi,39,"0,440","0,70,100","170,0,-180",,
1689,Model,SuoXiaoChiDi,39,"0,450","0,70,100","170,0,-180",,
1690,Model,ChiDi,39,"0,450","0,70,100","170,0,-180",,
1691,Model,HeiXiong,39,"0,200","0,70,100","170,0,-180",,
1692,Model,HuiXiong,39,"0,200","0,70,100","170,0,-180",,
1693,Model,HuiXiongTouMu,39,"0,200","0,70,100","170,0,-180",,
1694,Model,HongFengXiong,39,"0,200","0,70,100","170,0,-180",,
1695,Model,npcGuaiXiYuYeMa,39,"0,200","0,70,100","170,0,-180",,
1696,Model,npcGuaiXiYuSanTouMan1A,39,"0,200","0,70,100","170,0,-180",,
1697,Model,DuSiZhiZhuWang,39,"0,270","0,70,100","170,0,-180",,
1698,Model,npcGuaiXiYuShaChen,39,"0,270","0,70,100","170,0,-180",,
1699,Model,YiNiu,39,"0,270","0,70,100","170,0,-180",,
1700,Model,TieYiNiu,39,"0,270","0,70,100","170,0,-180",,
1701,Model,bossTongTianTaDiShiTian20110530,39,"0,440","0,70,100","170,0,-180",,
1702,Model,pet_2021gongzhuB01,39,"0,150","0,70,100","170,0,-180",,
1703,Model,pet_2021gongzhuA,39,"0,150","0,70,100","170,0,-180",,
1704,Model,pet_2021gongzhuB,39,"0,150","0,70,100","170,0,-180",,
1705,Model,pet_2021gongzhuC,39,"0,150","0,70,100","170,0,-180",,
1706,Model,pet_2021gongzhuC01,39,"0,150","0,70,100","170,0,-180",,
1707,Model,pet_2021gongzhuD,39,"0,150","0,70,100","170,0,-180",,
1708,Model,pet_2021gongzhuD01,39,"0,150","0,70,100","170,0,-180",,
1709,Model,pet_2021gongzhuE,39,"0,150","0,70,100","170,0,-180",,
1710,Model,pet_2021gongzhuE01,39,"0,150","0,70,100","170,0,-180",,
