RowIndex,Tag,ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction,Text,ChildrenJSON
18,NO_RESET,20,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hư nhược, giảm công kích của mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_weakness_damage,NO_RESET,20,,
19,NO_RESET,21,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hư nhược, giảm phòng ngự của mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_weakness_defense,NO_RESET,20,,
20,NO_RESET,22,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái giảm tốc lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_slow,NO_RESET,20,,
21,NO_RESET,23,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái định thân lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_immobile,NO_RESET,20,,
22,NO_RESET,24,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái tản công lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_silence,NO_RESET,20,,
23,NO_RESET,25,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái thất minh lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_blind,NO_RESET,20,,
24,NO_RESET,26,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái phong huyệt lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_incapacitate,NO_RESET,20,,
25,NO_RESET,27,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái tê liệt lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_paralyse,NO_RESET,20,,
26,NO_RESET,28,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái vây khốn lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_encircle,NO_RESET,20,,
27,NO_RESET,29,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hôn mê lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_sleep,NO_RESET,20,,
28,NO_RESET,30,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái chảy máu liên tục lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_hpleak,NO_RESET,20,,
29,NO_RESET,40,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng cường lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_strength,NO_RESET,20,,
30,NO_RESET,41,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_energy,NO_RESET,20,,
31,NO_RESET,42,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng thể lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_stamina,NO_RESET,20,,
32,NO_RESET,43,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng trí lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_intelligence,NO_RESET,20,,
33,NO_RESET,44,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng thân pháp của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_dexterity,NO_RESET,20,,
34,NO_RESET,45,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng giới hạn máu của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_hp_p,NO_RESET,20,,
35,NO_RESET,46,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng giới hạn khí của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_mp_p,NO_RESET,20,,
36,NO_RESET,47,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng ngoại công của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_physatk_p,NO_RESET,20,,
37,NO_RESET,48,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội công của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_magicatk_p,NO_RESET,20,,
38,NO_RESET,49,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng ngoại thủ của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_physdef_p,NO_RESET,20,,
39,NO_RESET,50,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội thủ của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_magicdef_p,NO_RESET,20,,
40,NO_RESET,51,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, lập tức phục hồi máu và khí cho bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_replenish,NO_RESET,20,,
41,NO_RESET,101,4,Ngự Thể Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv1,NO_RESET,20,,
42,NO_RESET,102,4,Ngự Thể Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv2,NO_RESET,20,,
43,NO_RESET,103,4,Ngự Thể Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv3,NO_RESET,20,,
44,NO_RESET,104,4,Ngự Thể Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv4,NO_RESET,20,,
45,NO_RESET,105,4,Ngự Thể Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv5,NO_RESET,20,,
46,NO_RESET,106,4,Võ Dũng Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv1,NO_RESET,20,,
47,NO_RESET,107,4,Võ Dũng Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv2,NO_RESET,20,,
48,NO_RESET,108,4,Võ Dũng Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv3,NO_RESET,20,,
49,NO_RESET,109,4,Võ Dũng Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv4,NO_RESET,20,,
50,NO_RESET,110,4,Võ Dũng Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv5,NO_RESET,20,,
51,NO_RESET,111,4,Hàn Phong Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv1,NO_RESET,20,,
52,NO_RESET,112,4,Hàn Phong Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv2,NO_RESET,20,,
53,NO_RESET,113,4,Hàn Phong Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv3,NO_RESET,20,,
54,NO_RESET,114,4,Hàn Phong Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv4,NO_RESET,20,,
55,NO_RESET,115,4,Hàn Phong Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv5,NO_RESET,20,,
56,NO_RESET,116,4,Thanh Dật Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv1,NO_RESET,20,,
57,NO_RESET,117,4,Thanh Dật Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv2,NO_RESET,20,,
58,NO_RESET,118,4,Thanh Dật Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv3,NO_RESET,20,,
59,NO_RESET,119,4,Thanh Dật Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv4,NO_RESET,20,,
60,NO_RESET,120,4,Thanh Dật Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv5,NO_RESET,20,,
61,NO_RESET,121,4,Ưng Chuẩn Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv1,NO_RESET,20,,
62,NO_RESET,122,4,Ưng Chuẩn Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv2,NO_RESET,20,,
63,NO_RESET,123,4,Ưng Chuẩn Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv3,NO_RESET,20,,
64,NO_RESET,124,4,Ưng Chuẩn Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv4,NO_RESET,20,,
65,NO_RESET,125,4,Ưng Chuẩn Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv5,NO_RESET,20,,
66,NO_RESET,126,4,Ẩn Dật Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv1,NO_RESET,20,,
67,NO_RESET,127,4,Ẩn Dật Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv2,NO_RESET,20,,
68,NO_RESET,128,4,Ẩn Dật Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv3,NO_RESET,20,,
69,NO_RESET,129,4,Ẩn Dật Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv4,NO_RESET,20,,
70,NO_RESET,130,4,Ẩn Dật Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv5,NO_RESET,20,,
71,NO_RESET,131,4,Thanh Dã Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv1,NO_RESET,20,,
