Name,PacketID
CMD_TRADE_DATA,200053
CMD_ABILITY_ACTION,200054
CMD_ITEM_FEATURE_ACTION,200055
CMD_LUA_CALL_UI,200056
CMD_TEAM_ACTION,200057
CMD_STORE_BUY_REQUEST,200058
CMD_PKMODEL_CHANGE,200059
CMD_PET_FEATURE_ACTION,200060
CMD_ROLE_FEATURE_ACTION,200061
CMD_SAVE_EXTENDED_QUICK_SKILLS,200062
CMD_REVIVE_DATA,200063
CMD_SAVE_QUICK_ITEMS,200064
CMD_GET_ITEMINFO,200065
CMD_GET_OTHER_ROLE_INFO,200066
CMD_RANKING_INFO,200067
CMD_RANKING_GET_TOPAWARD,200068
CMD_MINI_EVENT_BOARD_ACTION,200069
CMD_CLIENT_GUILD_LEAVE,200070
CMD_CLIENT_GUILD_SHOP,200071
CMD_CLIENT_GUILD_TASK_COMMAND,200072
CMD_CLIENT_GUILD_UPDATETASK,200073
CMD_SHOW_SYSTEM_NOTIFICATION,200074
CMD_CHALLENGE,200075
CMD_ACTIVE_GIFTCODE,200076
CMD_BROWSE_PET_INFO,200077
CMD_PK_NOTIFY,200078
CMD_FIND_PLAYERS,200079
CMD_CHECK_PLAYER_INFO,200080
CMD_SELF_INTRO,200081
CMD_GET_SYSTEM_MAILS,200082
CMD_REMOVE_SYSTEM_MAIL,200083
CMD_ADD_SYSTEM_MAIL,200084
CMD_SECOND_PASSWORD_ACTION,200085
CMD_PET_GIVE_BIRTH,200086
CMD_SHOW_INPUT_BOX,200087
CMD_GAMEEVENT_WATER_TRANSPORTATION_DATA,200090
CMD_GAMEEVENT_TRADER_DATA,200091
CMD_GUILD_ACTIVE_FIGHT_CMD,200092
CMD_TEAM_INVITE,200093
CMD_CROSS_SERVER_BOSS_SCOREBOARD,200094
CMD_TARGET_BUG,200095
CMD_LUCKY_CIRCLE,200096
CMD_UPDATE_LOG,200097
CMD_GET_SPECIAL_TITLES,200098
CMD_TOGGLE_SPECIAL_TITLE,200099
CMD_CHARACTER_SELL_STORE_REQUEST,200100
CMD_CHARACTER_SELL_REQUEST_SELL,200101
CMD_CHARACTER_SELL_CANCELSELL_REQUEST,200102
CMD_CHARACTER_SELL_LISTCHAR_SELL,200103
CMD_CHARACTER_SELL_CHECK_INFO,200104
CMD_CHARACTER_SELL_CHARACTER_INITDATA,200105
CMD_CHARACTER_SELL_REQUEST_BUY,200106
CMD_CHARACTER_SELL_GET_MONEY,200107
CMD_ALLIES_GETINFO,200108
CMD_ALLIES_CREATE,200109
CMD_ALLIES_DESTROY,200110
CMD_ALLIES_JOIN,200111
CMD_ALLIES_LEAVE,200112
CMD_ALLIES_CHANGE_ICON,200113
CMD_ALLIES_INVITER_JOIN,200114
CMD_ALLIES_ASK_JOIN,200115
CMD_ALLIES_CHANGE_SLOGAN,200116
CMD_ALLIES_KICK_MEMBER,200117
CMD_CLIENT_GETOPT,200118
CMD_EVENT_SONGLIAOWAR_SCOREBOARD,200119
CMD_EVENT_UPDATE_STRIKES,200120
CMD_EVENT_FACTIONS_COMPETITION_SCOREBOARD,200121
CMD_INBOX_READ_NEXT_MESSAGE,200122
CMD_INBOX_SEND_NEW,200123
CMD_INBOX_NOTIFY_NEW_MESSAGE,200124
CMD_INBOX_GET_MESSAGE_HISTORY,200125
CMD_EVENT_WORLD_COMPETITION_SCOREBOARD,200126
CMD_EVENT_WORLD_COMPETITION_BATTLES,200127
CMD_EVENT_WORLD_COMPETITION_REQUEST_JOIN_AS_OBSERVER,200128
CMD_EVENT_UPDATE_NEWBIECARD_INFO,200129
CMD_EVENT_OPEN_NEWBIECARD,200130
CMD_EVENT_ACTIVATE_NEWBIECARD,200131
CMD_EVENT_GET_NEWBIECARD_AWARD,200132
CMD_EVENT_GLOBAL_COMPETITION_SCOREBOARD,200133
CMD_EVENT_GLOBAL_COMPETITION_BATTLEBOARD,200134
CMD_EVENT_GLOBAL_COMPETITION_REQUEST_JOIN_AS_OBSERVER,200135
CMD_EVENT_ALLIES_BATTLE_RANKING_BOARD,200136
CMD_EVENT_ALLIES_BATTLE_BATTLES_BOARD,200137
CMD_EVENT_ALLIES_BATTLE_REQUEST_JOIN_AS_OBSERVER,200138
CMD_UPDATE_TRAINING_DATA,200139
CMD_GET_TRAINING_DATA,200140
CMD_GET_VOODOOVASE_DATA,200141
CMD_UPDATE_VOODOOVASE_DATA,200142
CMD_GET_DAILY_ACTIVITY_AWARD_DATA,200143
CMD_DAILY_ACTIVITY_AWARD_ACTION,200144
CMD_UPDATE_DAILY_ACTIVITY_AWARD_DATA,200145
CMD_PNEUMA_DATA,200146
CMD_USINGITEM_EVENTCMD,200147
CMD_GOLDEN_TREASURE,200148
CMD_SPIRIT_ACTION,200149
CMD_BROWSE_SPIRIT_INFO,200150
CMD_SPIRIT_FEATURE_ACTION,200151
CMD_NPC_SHOP_EXCHANGE,200152
CMD_NPC_SHOP_EXCHANGE_REQUEST,200153
CMD_EVENT_CHALLENGE_OPEN_BATTLE_BOARD,200154
CMD_EVENT_CHALLENGE_REQUEST_JOIN_AS_OBSERVER,200155
CMD_MARKET_GET_DATA,200156
CMD_MARKET_OPEN_SHOP,200157
CMD_MARKET_ACTION,200158
CMD_EVENT_PVP_ARENA_SCOREBOARD,200159
CMD_EVENT_PVP_ARENA_BATTLES,200160
CMD_EVENT_PVP_ARENA_REQUEST_JOIN_AS_OBSERVER,200161
CMD_GROUP_ACTION,200162
CMD_GROUP_INVITE,200163
CMD_GROUP_INFO,200164
CMD_EVENT_MARTIAL_COMPETITION_SCOREBOARD,200165
CMD_EVENT_MARTIAL_COMPETITION_BATTLEBOARD,200166
CMD_EVENT_MARTIAL_COMPETITION_REQUEST_JOIN_AS_OBSERVER,200167
CMD_FUBEN_AUTO_DATA,200168
CMD_FUBEN_KILL_PROGRESS,200169
CMD_FUBEN_QUERY_ALIVE,200170
CMD_FUBEN_MATCHMAKING,200171
CMD_FUBEN_MATCHMAKING_NOTIFY,200172
CMD_FUBEN_COMPLETE,200173
CMD_FUBEN_SYNC_TARGET,200174
CMD_LUCKY_WHEEL,200175
