RowIndex,Tag,ID,AssetBundle,Atlas,Sprite,Level,Cost,Visible,AnimationDuration,Text,ChildrenJSON
18,Icon,18,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm18,1,5000000,true,,,
19,Icon,19,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm19,1,5000000,true,,,
20,Icon,20,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm20,1,5000000,true,,,
21,Icon,21,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm21,1,5000000,true,,,
22,Icon,22,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm22,1,5000000,true,,,
23,Icon,23,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm23,1,5000000,true,,,
24,Icon,24,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm24,1,5000000,true,,,
25,Icon,25,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm25,1,5000000,true,,,
26,Icon,26,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm26,1,5000000,true,,,
27,Icon,27,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm27,1,5000000,true,,,
28,Icon,28,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm28,1,5000000,true,,,
29,Icon,29,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm29,1,5000000,true,,,
30,Icon,30,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm30,1,5000000,true,,,
31,Icon,31,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm31,1,5000000,true,,,
32,Icon,32,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm32,1,5000000,true,,,
33,Icon,33,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm33,1,5000000,true,,,
34,Icon,34,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm34,1,5000000,true,,,
35,Icon,35,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm35,1,5000000,true,,,
36,Icon,36,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm36,1,5000000,true,,,
37,Icon,37,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm37,1,5000000,true,,,
38,Icon,38,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm38,1,5000000,true,,,
39,Icon,39,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm39,1,5000000,true,,,
40,Icon,40,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm40,1,5000000,true,,,
41,Icon,41,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm41,1,5000000,true,,,
42,Icon,42,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm42,1,5000000,true,,,
43,Icon,43,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm43,1,5000000,true,,,
44,Icon,44,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm44,1,5000000,true,,,
45,Icon,45,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm45,1,5000000,true,,,
46,Icon,46,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm46,1,5000000,true,,,
47,Icon,47,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm47,1,5000000,true,,,
48,Icon,48,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm48,1,5000000,true,,,
49,Icon,49,SpecialTitles/AllyTitles_1.unity3d,AllyTitles_1,Icon_lm49,1,5000000,true,,,
50,Border,1,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_10"",""Visible"":""true""}}]"
51,Border,2,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_10"",""Visible"":""true""}}]"
52,Border,3,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_10"",""Visible"":""true""}}]"
53,Border,4,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_10"",""Visible"":""true""}}]"
54,Border,5,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_10"",""Visible"":""true""}}]"
55,Border,6,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_2_10"",""Visible"":""true""}}]"
56,Border,7,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_2_10"",""Visible"":""true""}}]"
57,Border,8,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_2_10"",""Visible"":""true""}}]"
58,Border,9,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_2_10"",""Visible"":""true""}}]"
59,Border,10,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_2_10"",""Visible"":""true""}}]"
60,Border,11,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_3_10"",""Visible"":""true""}}]"
61,Border,12,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_3_10"",""Visible"":""true""}}]"
62,Border,13,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Orange_3_10"",""Visible"":""true""}}]"
63,Border,14,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_3_10"",""Visible"":""true""}}]"
64,Border,15,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_3_10"",""Visible"":""true""}}]"
65,Border,16,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Yellow_3_10"",""Visible"":""true""}}]"
66,Border,17,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Blue_4_10"",""Visible"":""true""}}]"
67,Border,18,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Green_4_10"",""Visible"":""true""}}]"
68,Border,19,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Purple_4_10"",""Visible"":""true""}}]"
69,Border,20,SpecialTitles/AllyBorder_1.unity3d,AllyBorder_1,,1,5000000,,1000,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_1"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_2"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_3"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_4"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_5"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_6"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_7"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_8"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_9"",""Visible"":""true""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""Red_4_10"",""Visible"":""true""}}]"
