ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,MapID,NPCID,PosX,PosY,TemplatesJSON,Text,Timeout,Seconds,X,Y,Count,Radius,Desc
ThuyLao,Thủy Lao,92,Thuỷ Lao,4,quai2,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,5,boss2,Vân Trung Nhạn,120,retry,,,1,GoTo,,,,,,,,,3808,1312,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,5,boss2,Vân Trung Nhạn,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1660"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1661"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1662"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1663"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1664"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1665"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1666"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1667"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1668"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1669"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Vân Trung Nhạn
ThuyLao,Thủy Lao,92,Thuỷ Lao,6,quai3,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,1568,1280,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,6,quai3,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,7,boss3,Mãng Cái Thám Tử,120,retry,,,1,GoTo,,,,,,,,,1568,1280,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,7,boss3,Mãng Cái Thám Tử,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1670"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1671"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1672"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1673"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1674"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1675"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1676"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1677"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1678"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1679"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Mãng Cái Thám Tử
ThuyLao,Thủy Lao,92,Thuỷ Lao,8,quai4,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,1312,2240,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,8,quai4,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,9,boss4,Điền Doãn,120,retry,,,1,GoTo,,,,,,,,,1312,2240,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,9,boss4,Điền Doãn,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1680"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1681"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1682"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1683"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1684"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1685"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1686"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1687"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1688"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1689"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Điền Doãn
ThuyLao,Thủy Lao,92,Thuỷ Lao,10,quai5,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,1312,3424,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,10,quai5,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,11,boss5,Bách Hoa Sát,120,retry,,,1,GoTo,,,,,,,,,1312,3424,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,11,boss5,Bách Hoa Sát,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1690"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1691"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1692"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1693"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1694"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1695"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1696"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1697"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1698"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1699"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Bách Hoa Sát
ThuyLao,Thủy Lao,92,Thuỷ Lao,12,quai6,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,1280,4672,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,12,quai6,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,13,boss6,Vô Phương Hoà Thượng,120,retry,,,1,GoTo,,,,,,,,,1280,4672,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,13,boss6,Vô Phương Hoà Thượng,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1700"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1701"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1702"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1703"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1704"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1705"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1706"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1707"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1708"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1709"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Vô Phương Hoà Thượng
ThuyLao,Thủy Lao,92,Thuỷ Lao,14,quai7,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,2272,4800,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,14,quai7,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,15,boss7,Cách Liệt Mã,120,retry,,,1,GoTo,,,,,,,,,2272,4800,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,15,boss7,Cách Liệt Mã,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1710"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1711"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1712"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1713"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1714"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1715"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1716"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1717"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1718"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1719"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Cách Liệt Mã
ThuyLao,Thủy Lao,92,Thuỷ Lao,16,quai8,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,3424,4832,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,16,quai8,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,17,boss8,Hô Diên Bình,120,retry,,,1,GoTo,,,,,,,,,3424,4832,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,17,boss8,Hô Diên Bình,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1720"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1721"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1722"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1723"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1724"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1725"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1726"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1727"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1728"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1729"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Hô Diên Bình
ThuyLao,Thủy Lao,92,Thuỷ Lao,18,quai9,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,4608,4832,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,18,quai9,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,19,boss9,Diên Kiên,120,retry,,,1,GoTo,,,,,,,,,4608,4832,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,19,boss9,Diên Kiên,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1730"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1731"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1732"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1733"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1734"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1735"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1736"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1737"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1738"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1739"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Diên Kiên
ThuyLao,Thủy Lao,92,Thuỷ Lao,20,quai10,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,4768,3840,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,20,quai10,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,21,boss10,Hứa Đạo Nhân,120,retry,,,1,GoTo,,,,,,,,,4768,3840,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,21,boss10,Hứa Đạo Nhân,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1740"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1741"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1742"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1743"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1744"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1745"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1746"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1747"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1748"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1749"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Hứa Đạo Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,22,quai11,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,4800,2720,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,22,quai11,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,23,boss11,Tiêu Vu Nhi,120,retry,,,1,GoTo,,,,,,,,,4800,2720,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,23,boss11,Tiêu Vu Nhi,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1750"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1751"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1752"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1753"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1754"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1755"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1756"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1757"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1758"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1759"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Tiêu Vu Nhi
ThuyLao,Thủy Lao,92,Thuỷ Lao,24,quai12,Phạm nhân bình thường,120,retry,,,1,GoTo,,,,,,,,,4832,1376,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,24,quai12,Phạm nhân bình thường,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""2490"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""2491"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""2492"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""2493"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""2494"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""2495"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""2496"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""2497"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""2498"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""2499"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,6,800,Phạm Nhân
ThuyLao,Thủy Lao,92,Thuỷ Lao,25,boss12,Tào Song,120,retry,,,1,GoTo,,,,,,,,,4832,1376,,,
ThuyLao,Thủy Lao,92,Thuỷ Lao,25,boss12,Tào Song,120,retry,,,2,Kill,,,,,"[{""MonsterID"":""1760"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1761"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1762"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1763"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1764"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1765"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1766"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1767"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1768"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1769"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,1,800,Tào Song
ThuyLao,Thủy Lao,92,Thuỷ Lao,26,finish,hoàn thành,30,skip,,,1,Notify,,,,,,Hoàn thành Thủy Lao!,,,,,,,
