RowIndex,Tag,ID,Name,Icon,Type,Text,ChildrenJSON
17,CharFashionOrnament,17,Tình Nhân Lệ,TopDecorate1_11,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023fengqiuhuang"",""BoneName"":""m_Bip01_Head"",""Position"":""-2.8,2.5,27"",""Rotation"":""74,70,70"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023fengqiuhuang"",""BoneName"":""w_Bip01_Head"",""Position"":""-3.5,0,25.5"",""Rotation"":""71,90,90"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
18,CharFashionOrnament,18,,BackDecorate1_2,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2022jinwuCeShi"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2022jinwuCeShi"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
19,CharFashionOrnament,19,,TopDecorate1_5,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2022cjtuerCeShi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2022cjtuerCeShi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
20,CharFashionOrnament,20,Tinh Ý Miên Miên,TopDecorate1_12,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023canglanger"",""BoneName"":""m_Bip01_Head"",""Position"":""0,4,26"",""Rotation"":""80,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023yuetuer"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-1,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
21,CharFashionOrnament,21,Tương Thân Tương Ái,TopDecorate1_13,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023yuetucanglang"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023yuetucanglang"",""BoneName"":""w_Bip01_Spine1_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
22,CharFashionOrnament,22,Hùng Miêu Hiệp,TopDecorate1_15,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023XiongMaoWanOuTouTao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023XiongMaoWanOuTouTao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
23,CharFashionOrnament,23,Người Trong Giang Hồ,TopDecorate1_14,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023RenZaiJiangHuDengPai"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023RenZaiJiangHuDengPai"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
24,CharFashionOrnament,24,Phúc Lộc Bảo Quán,TopDecorate1_16,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023ChunJieCaiShenMao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023ChunJieCaiShenMao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
25,CharFashionOrnament,25,Thần Long Mừng Tuổi,TopDecorate2_2,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023XiaoLongMaoZi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023XiaoLongMaoZi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
26,CharFashionOrnament,26,Giả Diện Mị Ảnh,TopDecorate2_1,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023JingJiMeiGuiNuShenHuan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,3,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023JingJiMeiGuiNuShenHuan"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-1,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
27,CharFashionOrnament,27,Ngọ Dạ Hùng Bá Tước,BackDecorate1_7,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2023JingJiMeiGuiXiong"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""100,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2023JingJiMeiGuiXiong"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,25,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
28,CharFashionOrnament,28,,TopDecorate2_3,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023DanDanJiMaoZi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023DanDanJiMaoZi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
29,CharFashionOrnament,29,,TopDecorate2_4,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024AiAiNiuWanOuTouTao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,22"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024AiAiNiuWanOuTouTao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,33"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
30,CharFashionOrnament,30,,TopDecorate2_5,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023XiaoLongDanDanJi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023XiaoLongDanDanJi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,31"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
31,CharFashionOrnament,31,,TopDecorate2_6,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ChongWuGaiShiDengPai"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ChongWuGaiShiDengPai"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
32,CharFashionOrnament,32,,TopDecorate2_7,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024DaHuaHuan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024DaHuaHuan"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
33,CharFashionOrnament,33,,TopDecorate2_8,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ErTongJieWanJuMao"",""BoneName"":""m_Bip01_Headm_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ErTongJieWanJuMao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
34,CharFashionOrnament,34,,TopDecorate2_9,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2023DaBaiTu"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2023DaBaiTu"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,26"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
35,CharFashionOrnament,35,,TopDecorate2_10,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024LuJiao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024LuJiao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
36,CharFashionOrnament,36,,TopDecorate2_11,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024TangSeng"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024TangSeng"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
37,CharFashionOrnament,37,,BackDecorate1_8,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2024YueGuangBaoHe"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2024YueGuangBaoHe"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
38,CharFashionOrnament,38,,TopDecorate2_12,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024MuDanHuaHuanNan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,28"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024MuDanHuaHuan"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,29"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
39,CharFashionOrnament,39,,TopDecorate2_13,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ZuiJingDeZiDengPai"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ZuiJingDeZiDengPai"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,25.5"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
40,CharFashionOrnament,40,,TopDecorate2_14,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024RouJiaMo"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,28"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024RouJiaMo"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,28"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
41,CharFashionOrnament,41,,BackDecorate1_9,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2024BingFengQiShui"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,10"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2024BingFengQiShui"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,25,10"",""Rotation"":""110,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
42,CharFashionOrnament,42,,TopDecorate2_15,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024HuDieJie"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,23"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024HuDieJie"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
43,CharFashionOrnament,43,,BackDecorate1_10,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2024DongLi"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2024DongLi"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
44,CharFashionOrnament,44,,TopDecorate2_16,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024XueRenWanOuTouTao"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024XueRenWanOuTouTao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,30"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
45,CharFashionOrnament,45,,TopDecorate3_1,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024LeiFengMaoNan"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,29"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024LeiFengMao"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,27"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
46,CharFashionOrnament,46,,TopDecorate3_2,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2024ZiDingYiMaoMiTouShi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,-3,23"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2024ZiDingYiMaoMiTouShi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,-3.5,23"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
47,CharFashionOrnament,47,,BackDecorate1_13,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025FengQiWuTong"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025FengQiWuTong"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
48,CharFashionOrnament,48,,TopDecorate3_3,Head,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""top_2025FaCaiSheTouShi"",""BoneName"":""m_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""top_2025FaCaiSheTouShi"",""BoneName"":""w_Bip01_Head"",""Position"":""0,0,24"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
49,CharFashionOrnament,49,,,Back,,"[{""Tag"":""Man"",""Attributes"":{""Model"":""back_2025YinLangBeiShi"",""BoneName"":""m_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""90,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}},{""Tag"":""Woman"",""Attributes"":{""Model"":""back_2025YinLangBeiShi"",""BoneName"":""w_Bip01_Spine1"",""Position"":""0,30,0"",""Rotation"":""120,0,0"",""Scale"":""1,1,1"",""UseAdditiveShader"":""false""}}]"
