ID,Name,TaskType,TaskRule,FactionID,RequireLevel,NextTaskID,CopySceneScriptID,OfferMapID,OfferMapName,OfferNPCID,OfferNPCName,CompleteMapID,CompleteMapName,CompleteNPCID,CompleteNPCName
10028001,Tiếp Dẫn Môn Phái Mạn Đà,0,0,-1,9,10029,-1,2,Đại Lý,861,Hoàng Thời Vũ,2,Đại Lý,979,Vương Khuê Vân
10029001,Tiếp Dẫn Môn Phái Tuyệt Tình,0,0,-1,9,10030,-1,2,Đại Lý,979,Vương Khuê Vân,2,Đại Lý,863,Cảnh Ngôn
10030001,Tiếp Dẫn Môn Phái Ác Nhân Cốc,0,0,-1,9,10100,-1,2,Đại Lý,863,Cảnh Ngôn,2,Đại Lý,980,Sơn Phong
10100001,Báo Cáo Với Tôn Bát Gia,0,0,-1,9,10101,-1,2,Đại Lý,980,Sơn Phong,2,Đại Lý,130,Tôn Bát Gia
10101001,Danh Môn Chính Phái,8,0,-1,10,10102,-1,2,Đại Lý,130,Tôn Bát Gia,2,Đại Lý,130,Tôn Bát Gia
10102001,Tăng Cường Tu Luyện,6,0,-1,10,10103,-1,2,Đại Lý,130,Tôn Bát Gia,2,Đại Lý,112,Triệu Thiên Sư
10103001,Bái Kiến Chưởng Môn Phái Thiếu Lâm,0,0,0,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,6,Thiếu Lâm Tự,541,Huyền Tịch
10103002,Bái Kiến Chưởng Môn Phái Minh Giáo,0,0,1,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,8,Quang Minh Điện,510,Lã Sư Tương
10103003,Bái Kiến Chưởng Môn Phái Cái Bang,0,0,2,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,7,Cái Bang Tổng Đà,241,Trần Cô Nhạn
10103004,Bái Kiến Chưởng Môn Phái Võ Đang,0,0,3,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,14,Núi Võ Đang,754,Trương Huyền Tố
10103005,Bái Kiến Chưởng Môn Phái Nga My,0,0,4,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,9,Nga My Sơn,181,Lý Thập Nhĩ Nương
10103006,Bái Kiến Chưởng Môn Phái Tinh Túc,0,0,5,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,12,Tinh Túc Hải,823,Hàn Thế Trung
10103007,Bái Kiến Chưởng Môn Phái Thiên Long,0,0,6,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,10,Thiên Long Tự,738,Bản Nhân
10103008,Bái Kiến Chưởng Môn Phái Thiên Sơn,0,0,7,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,13,Thiên Sơn,746,Mai Kiếm
10103009,Bái Kiến Chưởng Môn Phái Tiêu Dao,0,0,8,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,11,Lăng Ba Động ,803,Tô Tinh Hà
10103010,Bái Kiến Chưởng Môn Phái Mộ Dung,0,0,10,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,15,Mộ Dung,261,Mộ Dung Thùy
10103011,Bái Kiến Chưởng Môn Phái Quỷ Cốc,0,0,12,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,16,Quỷ Cốc,917,Vương Hử Chi
10103012,Bái Kiến Chưởng Môn Phái Đường Môn,0,0,11,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,17,Đường Môn,948,Đường Nhạc Thiên
10103013,Bái Kiến Chưởng Môn Phái Đào Hoa,0,0,13,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,18,Đào Hoa,972,Chẩm Mộng Quy
10103014,Bái Kiến Chưởng Môn Phái Mạn Đà,0,0,100,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,137,Mạn Đà Sơn Trang,985,Vương Phu Nhân
10103015,Bái Kiến Chưởng Môn Phái Tuyệt Tình,0,0,14,11,10104,-1,2,Đại Lý,112,Triệu Thiên Sư,143,Tuyệt Tình Cốc,995,Mục Vũ
10104001,Chiến Đấu Vì Sư Môn,0,0,0,11,10105,-1,6,Thiếu Lâm Tự,541,Huyền Tịch,6,Thiếu Lâm Tự,538,Tuệ Phương
10104002,Chiến Đấu Vì Sư Môn,0,0,1,11,10105,-1,8,Quang Minh Điện,510,Lã Sư Tương,8,Quang Minh Điện,508,Lâm Nham
10104003,Chiến Đấu Vì Sư Môn,0,0,2,11,10105,-1,7,Cái Bang Tổng Đà,241,Trần Cô Nhạn,7,Cái Bang Tổng Đà,239,Hồng Thông
10104004,Chiến Đấu Vì Sư Môn,0,0,3,11,10105,-1,14,Núi Võ Đang,754,Trương Huyền Tố,14,Núi Võ Đang,752,Trương Trung Hành
10104005,Chiến Đấu Vì Sư Môn,0,0,4,11,10105,-1,9,Nga My Sơn,181,Lý Thập Nhĩ Nương,9,Nga My Sơn,179,Mãnh Long
10104006,Chiến Đấu Vì Sư Môn,0,0,5,11,10105,-1,12,Tinh Túc Hải,823,Hàn Thế Trung,12,Tinh Túc Hải,821,Vương Ngạn
10104007,Chiến Đấu Vì Sư Môn,0,0,6,11,10105,-1,10,Thiên Long Tự,738,Bản Nhân,10,Thiên Long Tự,736,Bản Phàm
10104008,Chiến Đấu Vì Sư Môn,0,0,7,11,10105,-1,13,Thiên Sơn,746,Mai Kiếm,13,Thiên Sơn,744,Phù Mẫn Nghi
10104009,Chiến Đấu Vì Sư Môn,0,0,8,11,10105,-1,11,Lăng Ba Động ,803,Tô Tinh Hà,11,Lăng Ba Động ,801,Tần Quán
10104010,Chiến Đấu Vì Sư Môn,0,0,10,11,10105,-1,15,Mộ Dung,261,Mộ Dung Thùy,15,Mộ Dung,256,Mộ Dung Thắng
10104011,Chiến Đấu Vì Sư Môn,0,0,12,11,10105,-1,16,Quỷ Cốc,917,Vương Hử Chi,16,Quỷ Cốc,928,Vương Huyền Phong
10104012,Chiến Đấu Vì Sư Môn,0,0,11,11,10105,-1,17,Đường Môn,948,Đường Nhạc Thiên,17,Đường Môn,956,Đường Thanh Thu
10104013,Chiến Đấu Vì Sư Môn,0,0,13,11,10105,-1,18,Đào Hoa,972,Chẩm Mộng Quy,18,Đào Hoa,970,Tiêu Thanh Yết
10104014,Chiến Đấu Vì Sư Môn,0,0,100,11,10105,-1,137,Mạn Đà Sơn Trang,985,Vương Phu Nhân,137,Mạn Đà Sơn Trang,987,Vương An Ca
10104015,Chiến Đấu Vì Sư Môn,0,0,14,11,10105,-1,143,Tuyệt Tình Cốc,995,Mục Vũ,143,Tuyệt Tình Cốc,999,Thất Thúc
10105001,Viện Trợ Của Phái Thiếu Lâm,0,0,0,11,10212,-1,6,Thiếu Lâm Tự,538,Tuệ Phương,22,Đôn Hoàng,157,Dương Văn Quảng
10105002,Viện Trợ Của Phái Minh Giáo,0,0,1,11,10212,-1,8,Quang Minh Điện,508,Lâm Nham,22,Đôn Hoàng,157,Dương Văn Quảng
10105003,Viện Trợ Của Phái Cái Bang,0,0,2,11,10212,-1,7,Cái Bang Tổng Đà,239,Hồng Thông,22,Đôn Hoàng,157,Dương Văn Quảng
10105004,Viện Trợ Của Phái Võ Đang,0,0,3,11,10212,-1,14,Núi Võ Đang,752,Trương Trung Hành,22,Đôn Hoàng,157,Dương Văn Quảng
10105005,Viện Trợ Của Phái Nga My,0,0,4,11,10212,-1,9,Nga My Sơn,179,Mãnh Long,22,Đôn Hoàng,157,Dương Văn Quảng
10105006,Viện Trợ Của Phái Tinh Túc,0,0,5,11,10212,-1,12,Tinh Túc Hải,821,Vương Ngạn,22,Đôn Hoàng,157,Dương Văn Quảng
10105007,Viện Trợ Của Phái Thiên Long,0,0,6,11,10212,-1,10,Thiên Long Tự,736,Bản Phàm,22,Đôn Hoàng,157,Dương Văn Quảng
10105008,Viện Trợ Của Phái Thiên Sơn,0,0,7,11,10212,-1,13,Thiên Sơn,744,Phù Mẫn Nghi,22,Đôn Hoàng,157,Dương Văn Quảng
10105009,Viện Trợ Của Phái Tiêu Dao,0,0,8,11,10212,-1,11,Lăng Ba Động ,801,Tần Quán,22,Đôn Hoàng,157,Dương Văn Quảng
10105010,Viện Trợ Của Phái Mộ Dung,0,0,10,11,10212,-1,15,Mộ Dung,256,Mộ Dung Thắng,22,Đôn Hoàng,157,Dương Văn Quảng
10105011,Viện Trợ Của Phái Quỷ Cốc,0,0,12,11,10212,-1,16,Quỷ Cốc,928,Vương Huyền Phong,22,Đôn Hoàng,157,Dương Văn Quảng
10105012,Viện Trợ Của Phái Đường Môn,0,0,11,11,10212,-1,17,Đường Môn,956,Đường Thanh Thu,22,Đôn Hoàng,157,Dương Văn Quảng
10105013,Viện Trợ Của Phái Đào Hoa,0,0,13,11,10212,-1,18,Đào Hoa,970,Tiêu Thanh Yết,22,Đôn Hoàng,157,Dương Văn Quảng
10105014,Viện Trợ Của Phái Mạn Đà,0,0,100,11,10212,-1,137,Mạn Đà Sơn Trang,987,Vương An Ca,22,Đôn Hoàng,157,Dương Văn Quảng
10105015,Viện Trợ Của Phái Tuyệt Tình,0,0,14,11,10212,-1,143,Tuyệt Tình Cốc,999,Thất Thúc,22,Đôn Hoàng,157,Dương Văn Quảng
10212001,Tâm Nguyện,1,0,-1,11,10213,-1,22,Đôn Hoàng,157,Dương Văn Quảng,22,Đôn Hoàng,157,Dương Văn Quảng
10213001,Sức Yếu,0,0,-1,12,10214,-1,22,Đôn Hoàng,157,Dương Văn Quảng,22,Đôn Hoàng,155,Hồi Cốt Vương Nữ
10214001,Mông Trần,0,0,-1,12,10215,-1,22,Đôn Hoàng,155,Hồi Cốt Vương Nữ,22,Đôn Hoàng,165,Triệu Hành Đức
10215001,Nghĩ Cách Cứu Viện,0,0,-1,12,10216,-1,22,Đôn Hoàng,165,Triệu Hành Đức,22,Đôn Hoàng,161,Chu Vương Lễ
10216001,Giáp Kích,2,0,-1,13,10217,-1,22,Đôn Hoàng,161,Chu Vương Lễ,22,Đôn Hoàng,157,Dương Văn Quảng
10217001,Quay Trở Lại,0,0,-1,13,10218,-1,22,Đôn Hoàng,157,Dương Văn Quảng,22,Đôn Hoàng,161,Chu Vương Lễ
10218001,Nghệ Thuật,0,0,-1,13,10219,-1,22,Đôn Hoàng,161,Chu Vương Lễ,22,Đôn Hoàng,168,Tào Diên Huệ
10219001,Mạc Cao Khất,1,0,-1,13,10220,-1,22,Đôn Hoàng,168,Tào Diên Huệ,22,Đôn Hoàng,165,Triệu Hành Đức
10220001,Binh Mộ,1,0,-1,14,10221,-1,22,Đôn Hoàng,165,Triệu Hành Đức,22,Đôn Hoàng,165,Triệu Hành Đức
10221001,Hoang Nguyên Báo,1,0,-1,14,10222,-1,22,Đôn Hoàng,165,Triệu Hành Đức,22,Đôn Hoàng,157,Dương Văn Quảng
10222001,Thử Luyện Nghị Lực,0,0,-1,14,10223,-1,22,Đôn Hoàng,157,Dương Văn Quảng,22,Đôn Hoàng,174,Chu Đức Hưng
10223001,Thử Luyện Tính Nhẫn Nại,0,0,-1,14,10224,-1,22,Đôn Hoàng,174,Chu Đức Hưng,50,Bảo Tàng Động Tầng 1,2,Hồ Đức Hải
10224001,Thử Luyện Trí Tuệ,0,0,-1,15,10225,-1,50,Bảo Tàng Động Tầng 1,2,Hồ Đức Hải,50,Bảo Tàng Động Tầng 1,3,Tôn Đức Long
10225001,Thử Luyện Võ Nghệ,1,0,-1,15,10226,-1,50,Bảo Tàng Động Tầng 1,3,Tôn Đức Long,50,Bảo Tàng Động Tầng 1,3,Tôn Đức Long
10226001,Thử Luyện Sự Tin Cậy,0,0,-1,15,10227,-1,50,Bảo Tàng Động Tầng 1,3,Tôn Đức Long,22,Đôn Hoàng,157,Dương Văn Quảng
10227001,Chiến Tranh,0,0,-1,15,10228,-1,22,Đôn Hoàng,157,Dương Văn Quảng,22,Đôn Hoàng,168,Tào Diên Huệ
10228001,Chôn Vùi,0,0,-1,16,10229,-1,22,Đôn Hoàng,168,Tào Diên Huệ,22,Đôn Hoàng,157,Dương Văn Quảng
10229001,Gặp Gỡ Châu Thiên Sư,0,0,-1,16,10230,-1,22,Đôn Hoàng,157,Dương Văn Quảng,3,Lạc Dương,477,Châu Thiên Sư
10230001,Sức Chiến Đấu,0,0,-1,16,10231,-1,3,Lạc Dương,477,Châu Thiên Sư,23,Tung Sơn,609,Sài Tiến
10231001,Tiếp Đón,0,0,-1,16,10232,-1,23,Tung Sơn,609,Sài Tiến,23,Tung Sơn,611,Tiêu Nhượng
10232001,Xua Đuổi Ác Viên,1,0,-1,17,10233,-1,23,Tung Sơn,611,Tiêu Nhượng,23,Tung Sơn,615,Sách Lâm
10233001,Học Hỏi,0,0,-1,17,10234,-1,23,Tung Sơn,615,Sách Lâm,23,Tung Sơn,611,Tiêu Nhượng
10234001,Ngọn Nguồn,0,0,-1,17,10235,-1,23,Tung Sơn,611,Tiêu Nhượng,23,Tung Sơn,613,Lục Tùng
10235001,An Thần Dược,0,0,-1,17,10236,-1,23,Tung Sơn,613,Lục Tùng,23,Tung Sơn,609,Sài Tiến
10236001,Bạch Ngạch Hổ,1,0,-1,18,10237,-1,23,Tung Sơn,609,Sài Tiến,23,Tung Sơn,609,Sài Tiến
10237001,Di Khí Mộc Nhân,1,0,-1,18,10238,-1,23,Tung Sơn,609,Sài Tiến,23,Tung Sơn,609,Sài Tiến
10238001,Dĩnh Thủy Lang,1,0,-1,18,10239,-1,23,Tung Sơn,609,Sài Tiến,23,Tung Sơn,609,Sài Tiến
10239001,Hồi Tuyệt,0,0,-1,18,10240,-1,23,Tung Sơn,609,Sài Tiến,23,Tung Sơn,612,Lục Ngưng Sương
10240001,Người Cởi Chuông,2,0,-1,19,10241,-1,23,Tung Sơn,612,Lục Ngưng Sương,23,Tung Sơn,612,Lục Ngưng Sương
10241001,Dấu Vết Chứng Cứ Lờ Mờ,2,0,-1,19,10242,-1,23,Tung Sơn,612,Lục Ngưng Sương,23,Tung Sơn,612,Lục Ngưng Sương
10242001,Họa Từ Tiêu Nhượng,0,0,-1,19,10243,-1,23,Tung Sơn,612,Lục Ngưng Sương,23,Tung Sơn,611,Tiêu Nhượng
10243001,Kim Ty Hương Nang,0,0,-1,19,10244,-1,23,Tung Sơn,611,Tiêu Nhượng,23,Tung Sơn,613,Lục Tùng
10244001,Tung Dương Đoạn Trường Thảo,2,0,-1,20,10245,-1,23,Tung Sơn,613,Lục Tùng,23,Tung Sơn,611,Tiêu Nhượng
10245001,Xua Đuổi Đồng Nhân,1,0,-1,20,10246,-1,23,Tung Sơn,611,Tiêu Nhượng,23,Tung Sơn,611,Tiêu Nhượng
10246001,Trở Về Lạc Dương,0,0,-1,20,10247,-1,23,Tung Sơn,611,Tiêu Nhượng,3,Lạc Dương,477,Châu Thiên Sư
10247001,Tầm Sư Học Nghệ,0,0,-1,21,10250,-1,3,Lạc Dương,477,Châu Thiên Sư,3,Lạc Dương,430,Vương Đức Qúy
10250001,Thỉnh Giáo Phùng Mẫn Chi,0,0,-1,22,10253,-1,3,Lạc Dương,430,Vương Đức Qúy,3,Lạc Dương,431,Phù Mẫn Chi
10253001,Thỉnh Giáo Giả Tác Trân,0,0,-1,23,10256,-1,3,Lạc Dương,431,Phù Mẫn Chi,3,Lạc Dương,428,Giả Tác Trân
10256001,Thỉnh Giáo Lý Đại Chủy,0,0,-1,23,10259,-1,3,Lạc Dương,428,Giả Tác Trân,3,Lạc Dương,444,Lý Đại Chủy
10259001,Thỉnh Giáo Châu Thiên Sư,0,0,-1,25,10260,-1,3,Lạc Dương,444,Lý Đại Chủy,3,Lạc Dương,477,Châu Thiên Sư
10260001,Tìm Hiểu Giám Định,0,0,-1,25,10261,-1,3,Lạc Dương,477,Châu Thiên Sư,3,Lạc Dương,866,Phong Hồ Tử
10261001,Lần Đầu Giám Định,0,0,-1,25,10262,-1,3,Lạc Dương,866,Phong Hồ Tử,3,Lạc Dương,866,Phong Hồ Tử
10262001,Thu Thập Cương Sa,2,0,-1,25,10263,-1,3,Lạc Dương,866,Phong Hồ Tử,3,Lạc Dương,866,Phong Hồ Tử
10263001,Tìm Hiểu Cường Hóa,0,0,-1,25,10264,-1,3,Lạc Dương,866,Phong Hồ Tử,3,Lạc Dương,866,Phong Hồ Tử
10264001,Thu Thập Nguyên Liệu,2,0,-1,25,10265,-1,3,Lạc Dương,866,Phong Hồ Tử,3,Lạc Dương,866,Phong Hồ Tử
10265001,Đối Thoại Với Bành Đại Sư,0,0,-1,26,10266,-1,3,Lạc Dương,866,Phong Hồ Tử,3,Lạc Dương,407,Bành Hoài Ngọc
10266001,Tìm Hiểu Đục Lỗ Trang Bị,0,0,-1,26,10267,-1,3,Lạc Dương,407,Bành Hoài Ngọc,3,Lạc Dương,407,Bành Hoài Ngọc
10267001,Tiêu Diệt Đạo Tặc,1,0,-1,26,10268,-1,3,Lạc Dương,407,Bành Hoài Ngọc,3,Lạc Dương,407,Bành Hoài Ngọc
10268001,Tìm Hiểu Ngoại Hình,0,0,-1,27,10269,-1,3,Lạc Dương,407,Bành Hoài Ngọc,3,Lạc Dương,409,Y Thiên Thái
10269001,Thay Đổi Ngoại Trang,0,0,-1,27,10270,-1,3,Lạc Dương,409,Y Thiên Thái,3,Lạc Dương,410,Yến Như Tuyết
10270001,Thay Đổi Kiểu Tóc,0,0,-1,27,10271,-1,3,Lạc Dương,410,Yến Như Tuyết,3,Lạc Dương,410,Yến Như Tuyết
10271001,Thợ Nhuộn Tóc,0,0,-1,27,10272,-1,3,Lạc Dương,410,Yến Như Tuyết,3,Lạc Dương,411,Hà Linh Chi
10272001,Thợ Trang Điểm,0,0,-1,27,10273,-1,3,Lạc Dương,411,Hà Linh Chi,3,Lạc Dương,412,Nhan Như Ngọc
10273001,Hồi Báo Châu Thiên Sư,0,0,-1,27,10274,-1,3,Lạc Dương,412,Nhan Như Ngọc,3,Lạc Dương,477,Châu Thiên Sư
10274001,Tâm Tư Của Tiêu Nhượng,0,0,-1,28,10275,-1,3,Lạc Dương,477,Châu Thiên Sư,23,Tung Sơn,611,Tiêu Nhượng
10275001,Đan Thư Thiết Khoán,0,0,-1,28,10276,-1,23,Tung Sơn,611,Tiêu Nhượng,26,Tây Hồ,808,Trương Thúc Dạ
10276001,Mỹ Tửu Ca Dao,0,0,-1,28,10277,-1,26,Tây Hồ,808,Trương Thúc Dạ,26,Tây Hồ,812,Tô Phi
10277001,Nghiên Cứu Con Rối,0,0,-1,28,10278,-1,26,Tây Hồ,812,Tô Phi,26,Tây Hồ,809,Kim Đại Kiên
10278001,Tu La Thuật,0,0,-1,28,10279,-1,26,Tây Hồ,809,Kim Đại Kiên,26,Tây Hồ,812,Tô Phi
10279001,Đoạn Kiều Hoa Yêu,2,0,-1,29,10280,-1,26,Tây Hồ,812,Tô Phi,26,Tây Hồ,812,Tô Phi
10280001,Bạch Đê Liễu Quỷ,2,0,-1,29,10281,-1,26,Tây Hồ,812,Tô Phi,26,Tây Hồ,812,Tô Phi
10281001,Quy Phong Trang,2,0,-1,29,10282,-1,26,Tây Hồ,812,Tô Phi,26,Tây Hồ,812,Tô Phi
10282001,Thái Dược Liêm Của Tô Phi,0,0,-1,29,10283,-1,26,Tây Hồ,812,Tô Phi,20,Nhĩ Hải,195,Đao Lang Cang
10283001,Quét Sạch Người Rừng,1,0,-1,29,10284,-1,20,Nhĩ Hải,195,Đao Lang Cang,20,Nhĩ Hải,195,Đao Lang Cang
10284001,Hoa Ban Báo,1,0,-1,29,10285,-1,20,Nhĩ Hải,195,Đao Lang Cang,20,Nhĩ Hải,195,Đao Lang Cang
10285001,Đi Tìm Thảo Dược,2,0,-1,29,10286,-1,20,Nhĩ Hải,195,Đao Lang Cang,20,Nhĩ Hải,195,Đao Lang Cang
10286001,Muội muội về nhà,5,0,-1,29,10287,-1,20,Nhĩ Hải,195,Đao Lang Cang,20,Nhĩ Hải,191,Đao Nghiêu
10287001,Bằng Hữu Của Đao Nghêu,6,0,-1,30,10288,-1,20,Nhĩ Hải,191,Đao Nghiêu,2,Đại Lý,35,Vương Thiều
10288001,Tam Nhân Đồng Hành,0,0,-1,31,10289,-1,2,Đại Lý,35,Vương Thiều,4,Tô Châu,635,Bàng An Thời
10289001,Nhất Đại Kỳ Tài,0,0,-1,31,10290,-1,4,Tô Châu,635,Bàng An Thời,2,Đại Lý,35,Vương Thiều
10290001,Tam Nhân Tịnh Hành,0,0,-1,32,10291,-1,2,Đại Lý,35,Vương Thiều,24,Nhạn Nam,850,Chủng Thế Hoành
10291001,Tam Sinh Hữu Hạnh,0,0,-1,32,10292,-1,24,Nhạn Nam,850,Chủng Thế Hoành,2,Đại Lý,35,Vương Thiều
10292001,Nhung Mã Không Tổng,2,0,-1,32,10293,-1,2,Đại Lý,35,Vương Thiều,2,Đại Lý,35,Vương Thiều
10293001,Tử Ngọ Châm Cứu Kinh,2,0,-1,33,10294,-1,2,Đại Lý,35,Vương Thiều,2,Đại Lý,35,Vương Thiều
10294001,Quay Lại Nhạn Nam,0,0,-1,33,10295,-1,2,Đại Lý,35,Vương Thiều,24,Nhạn Nam,842,Châu Vô Úy
10295001,Lang Hại,1,0,-1,33,10296,-1,24,Nhạn Nam,842,Châu Vô Úy,24,Nhạn Nam,842,Châu Vô Úy
10296001,Báo Hại,1,0,-1,33,10297,-1,24,Nhạn Nam,842,Châu Vô Úy,24,Nhạn Nam,842,Châu Vô Úy
10297001,Chu Xứ Quét Sạch Ba Nạn,1,0,-1,33,10298,-1,24,Nhạn Nam,842,Châu Vô Úy,24,Nhạn Nam,843,Khấu Phong
10298001,Bí Mật Liên Lạc,2,0,-1,34,10299,-1,24,Nhạn Nam,843,Khấu Phong,24,Nhạn Nam,843,Khấu Phong
10299001,Hoàn mỹ Khôi Hùng Bì,2,0,-1,34,10300,-1,24,Nhạn Nam,843,Khấu Phong,24,Nhạn Nam,841,Gia Luật Mạc Ca
