ID,Icon,Name,Description,Type,Duration,VisibleForClient,ChildrenJSON
11,Hd_BossYenVuong,Boss Yến Vương Cổ Mộ,Tiêu diệt Boss nhận phần thưởng hấp dẫn,Everyday,36000000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""03:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""12:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""19:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":"""",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Boss Yến Vương Cổ Mộ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10401004"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10401003"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10401002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20310000"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""20310000"",""Bound"":""true""}}]}]"
13,Hd_TaoVan,Tào Vận,"Hoạt động vận chuyển nguyên liệu, giao thương từ các thành thị, chọn giá cả phù hợp để tăng lợi nhuận mua bán!",Everyday,-1,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.WaterTransportation"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""6"",""LimitLevel"":""40"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Dạ Tây Hồ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308501"",""Bound"":""false""}}]}]"
14,Hd_ThuongNhan,Thương Nhân,"Hoạt động vận chuyển nguyên liệu, giao thương từ các thành thị, chọn giá cả phù hợp để tăng lợi nhuận mua bán!",Everyday,-1,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""-1:-1""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.Trader"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""3"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Dạ Tây Hồ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30001000"",""Bound"":""false""}}]}]"
15,Hd_DaTayHo,Dạ Tây Hồ,Thu thập đom đóm.,EveryWeek,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Monday"",""Time"":""20:00""}},{""Tag"":""Time"",""Attributes"":{""Day"":""Friday"",""Time"":""20:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MidnightWestLake"",""Arguments"":""1""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""30"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""2600""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Dạ Tây Hồ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30501104"",""Bound"":""false""}}]}]"
16,Hd_DaTayHo,Dạ Tây Hồ,Khai mở bảo sương.,EveryWeek,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Monday"",""Time"":""21:00""}},{""Tag"":""Time"",""Attributes"":{""Day"":""Friday"",""Time"":""21:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MidnightWestLake"",""Arguments"":""2""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""30"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""2600""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Dạ Tây Hồ""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30505125"",""Bound"":""false""}}]}]"
17,Hd_BossThuongSon,Boss Thương Sơn,Tiêu diệt Boss nhận phần thưởng hấp dẫn,Everyday,14400000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""19:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":"""",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Boss Thương Sơn""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308154"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308150"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308151"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308152"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308153"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308155"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308156"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308157"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308158"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308159"",""Bound"":""false""}}]}]"
18,Hd_LauLan,Lâu Lan Tầm Bảo,Đánh bại 200 bảo sương và sau cùng là Trấn Bảo Long Vương để chiến thắng Lâu Lan Tầm Bảo.,Everyday,7200000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""11:30""}},{""Tag"":""Time"",""Attributes"":{""Time"":""20:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.KrorainaTreasureHunt"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""1"",""LimitLevel"":""75"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""101""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""5"",""Position"":""-1,-1"",""Name"":""Lâu Lan Tầm Bảo""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
19,Hd_BachMinhKhoi,Boss Thảo Nguyên,Tiêu diệt Boss nhận phần thưởng hấp dẫn,Everyday,14400000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""13:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":"""",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Boss Thảo Nguyên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308200"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308201"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308202"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308203"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308204"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308205"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308206"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308207"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308208"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""30308209"",""Bound"":""false""}}]}]"
20,Hd_TongLieu,Chiến Trường Tống Liêu,Tiêu diệt Boss nhận phần thưởng hấp dẫn,EveryWeek,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Saturday"",""Time"":""21:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.SongLiaoWar"",""Arguments"":""0""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""3"",""Position"":""-1,-1"",""Name"":""Tông Tán""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""39920002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10130798"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10130800"",""Bound"":""false""}}]}]"
21,Hd_TongLieu,Chiến Trường Tống Liêu,Tiêu diệt Boss nhận phần thưởng hấp dẫn,EveryWeek,3000000,false,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Saturday"",""Time"":""21:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.SongLiaoWar"",""Arguments"":""1""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""-1"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10008""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Tông Tán""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""39920002"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10130798"",""Bound"":""false""}},{""Tag"":""AwardItem"",""Attributes"":{""ItemID"":""10130800"",""Bound"":""false""}}]}]"
22,Hd_TucCau,Túc Cầu,Đánh bại 149 túc cầu và sau cùng là Túc Cầu Thập Tam Muội Muội - Tôn mỹ Mỹ để chiến thắng.,EveryWeek,54000000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Sunday"",""Time"":""08:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.PeonyGarden"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""1"",""LimitLevel"":""40"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""9300,9170"",""Name"":""Vu Thiên Thiên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
23,Hd_DietPhi,Diệt phỉ Kính Hồ,"Đánh bại toàn bộ phỉ tặc lâu la, tinh anh cùng đầu lĩnh phỉ tặc.",EveryWeek,54000000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Saturday"",""Time"":""08:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.TwinIslandThievesCamp"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""1"",""LimitLevel"":""40"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""30"",""Position"":""6400,2300"",""Name"":""Tề Sát Vân""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
24,Hd_HoaSon,Hoa Sơn Luận Kiếm,Báo danh tham dự Hoa Sơn Luận Kiếm.,EveryWeek,900000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Sunday"",""Time"":""19:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.FactionsCompetition"",""Arguments"":""1""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""80"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""-1""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""4"",""Position"":""-1,-1"",""Name"":""Tô Kiếm Lĩnh""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
25,Hd_HoaSon,Bắt đầu Hoa Sơn Luận Kiếm,"Đánh bại người chơi các môn phái khác, tăng điểm tích lũy.",EveryWeek,900000,false,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Sunday"",""Time"":""19:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.FactionsCompetition"",""Arguments"":""2""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""80"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""106""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Tô Kiếm Lĩnh""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}},{""Tag"":""Award"",""Attributes"":{""Type"":""Gold""}}]}]"
50,Hoatdong_AcTac,Dã Trư Bạo Loạn,"Tiêu diệt Dã Trư cùng Tiêm Nha Dã Trư Vương, bảo vệ linh thú.",Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""02:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""13:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""15:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""17:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""19:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""21:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.PigFarm"",""Arguments"":""""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""30"",""LimitMembers"":""3""}},{""Tag"":""Map"",""Attributes"":{""ID"":""6""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Linh Thú""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
51,Hoatdong_AcTac,Báo Danh Cạnh Kỹ Trường,Báo danh Cạnh Kỹ Trường.,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""11:30""}},{""Tag"":""Time"",""Attributes"":{""Time"":""21:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""0""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10000""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
52,Hoatdong_AcTac,Bắt đầu Cạnh Kỹ Trường,Tiêu diệt toàn bộ Nhất Phẩm Đường lâu la cùng các thủ lĩnh tối cao.,Everyday,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:00""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""1""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""129""}},{""Tag"":""Map"",""Attributes"":{""ID"":""130""}},{""Tag"":""Map"",""Attributes"":{""ID"":""131""}},{""Tag"":""Map"",""Attributes"":{""ID"":""132""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
53,Hoatdong_AcTac,Cạnh Kỹ Trường - 1 - Boss,,Everyday,60000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:10""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:10""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""2""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""133""}},{""Tag"":""Map"",""Attributes"":{""ID"":""134""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
54,Hoatdong_AcTac,Cạnh Kỹ Trường - 2,,Everyday,1800000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:15""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:15""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""3""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""133""}},{""Tag"":""Map"",""Attributes"":{""ID"":""134""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
55,Hoatdong_AcTac,Cạnh Kỹ Trường - 2 - Boss,,Everyday,60000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:25""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:25""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""4""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""133""}},{""Tag"":""Map"",""Attributes"":{""ID"":""134""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
56,Hoatdong_AcTac,Cạnh Kỹ Trường - 3,,Everyday,1800000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:30""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""5""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""135""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
57,Hoatdong_AcTac,Cạnh Kỹ Trường - 3 - Boss,,Everyday,60000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:40""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:40""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""6""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""135""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
58,Hoatdong_AcTac,Cạnh Kỹ Trường - Kết thúc,,Everyday,60000,false,"[{""Tag"":""Time"",""Attributes"":{""Time"":""12:45""}},{""Tag"":""Time"",""Attributes"":{""Time"":""22:45""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.MartialArena"",""Arguments"":""7""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""135""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Vu Cửu Liên""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
59,Hoatdong_AcTac,Chuẩn bị Tranh đoạt lãnh thổ,"Chuẩn bị sự kiện tranh đoạt lãnh thổ, một trong 4 bản đồ: Vong Xuyên Hoa Hải, Thiên Kỳ Nam Hoài, Mạc Nam Thanh Nguyên, Lâm Hải Khê Cốc.",EveryWeek,1800000,false,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Monday"",""Time"":""19:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.PhoenixBattleField"",""Arguments"":""0""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10000""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Châu Thiên Sư""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
60,Hoatdong_AcTac,Tranh đoạt lãnh thổ,"Sự kiện tranh đoạt lãnh thổ, một trong 4 bản đồ: Vong Xuyên Hoa Hải, Thiên Kỳ Nam Hoài, Mạc Nam Thanh Nguyên, Lâm Hải Khê Cốc.",EveryWeek,3600000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Monday"",""Time"":""20:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.PhoenixBattleField"",""Arguments"":""1""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10000""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Châu Thiên Sư""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
61,Hoatdong_AcTac,Chuẩn bị chiến trường Phụng Hoàng Cổ Thành,"Chuẩn bị sự kiện chiến trường Phụng Hoàng Cổ Thành, 4 bang hội chủ lãnh địa Vong Xuyên Hoa Hải, Thiên Kỳ Nam Hoài, Mạc Nam Thanh Nguyên, Lâm Hải Khê Cốc sẽ tham gia tranh đoạt Phụng Hoàng Chiến Kỳ.",EveryWeek,1800000,false,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Sunday"",""Time"":""19:30""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.PhoenixBattleField"",""Arguments"":""2""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10000""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Châu Thiên Sư""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
62,Hoatdong_AcTac,Chiến trường Phụng Hoàng Cổ Thành,"Sự kiện chiến trường Phụng Hoàng Cổ Thành, 4 bang hội chủ lãnh địa Vong Xuyên Hoa Hải, Thiên Kỳ Nam Hoài, Mạc Nam Thanh Nguyên, Lâm Hải Khê Cốc sẽ tham gia tranh đoạt Phụng Hoàng Chiến Kỳ.",EveryWeek,3600000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Sunday"",""Time"":""20:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.MapEvents.PhoenixBattleField"",""Arguments"":""3""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""60"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""10000""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""10000"",""Position"":""-1,-1"",""Name"":""Châu Thiên Sư""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
63,Hd_HoaSon,Báo danh Đại hội Tỷ võ,Đánh bại người chơi khác tăng điểm tích lũy.,EveryWeek,1800000,true,"[{""Tag"":""Time"",""Attributes"":{""Day"":""Saturday"",""Time"":""15:00""}},{""Tag"":""Script"",""Attributes"":{""Name"":""FGStudio.Game.Event.CopyScenes.MartialCompetition"",""Arguments"":""0""}},{""Tag"":""Condition"",""Attributes"":{""LimitTimes"":""-1"",""LimitLevel"":""40"",""LimitMembers"":""-1""}},{""Tag"":""Map"",""Attributes"":{""ID"":""4""}},{""Tag"":""NPC"",""Attributes"":{""MapID"":""-1"",""Position"":""-1,-1"",""Name"":""Tùy Báo Minh""}},{""Tag"":""Awards"",""Attributes"":{},""Children"":[{""Tag"":""Award"",""Attributes"":{""Type"":""Exp""}}]}]"
