TaskID,TaskName,TaskDescription,TaskType,TaskCondition,ChildrenJSON
100010,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|200,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100011,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|200,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100012,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|200,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100013,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|200,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100014,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|200,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100015,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|250,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100016,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|250,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100017,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|250,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100018,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|250,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100019,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|250,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100020,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|300,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100021,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|300,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100022,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|300,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100023,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|300,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100024,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|300,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100025,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|350,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100026,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|350,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100027,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|350,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100028,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|350,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100029,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|350,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100030,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|400,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100031,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|400,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100032,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|400,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100033,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|400,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100034,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|400,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100035,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|450,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100036,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|450,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100037,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|450,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100038,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|450,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100039,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|450,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100040,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|500,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100041,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|500,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100042,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|500,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100043,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|500,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100044,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|500,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100045,Nâng Cao Danh Tiếng,"Dạo gần đây lãnh địa của chúng ta đang bị xâm lấn, chúng ta hãy hành động để <color=#f78908>bảo vệ lãnh địa<color=#473115> trước khi quá muộn. Tiêu diệt bang khác trên mọi bản đồ!!!",KIllOtherGuild,5,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
100046,Nâng Cao Danh Tiếng,"Dạo gần đây lãnh địa của chúng ta đang bị xâm lấn, chúng ta hãy hành động để <color=#f78908>bảo vệ lãnh địa<color=#473115> trước khi quá muộn. Tiêu diệt bang khác trên mọi bản đồ!!!",KIllOtherGuild,10,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
