RowIndex,Tag,ID,Name,Text,ChildrenJSON
23,Set,22,Lãnh Nguyệt,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_fireatk"",""Value"":""24""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
24,Set,23,Cửu Dương,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
25,Set,24,Hàng Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""48""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""3""}}]"
26,Set,25,Tiềm Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""31""}}]"
27,Set,26,Kiến Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
28,Set,27,Long Chiến,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""17""}}]"
29,Set,28,Thần Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""197""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_poisonres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
30,Set,29,Tù Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_poisonatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
31,Set,30,Thang Lung,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""272""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""16""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
32,Set,31,Du Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""32""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""35""}}]"
33,Set,32,Cầm Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""346""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""129""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
34,Set,33,Đồ Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""143""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
35,Set,34,Trảm Long,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""427""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
36,Set,35,Côn Bằng,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
37,Set,36,Vô Cực,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""48""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""6""}}]"
38,Set,37,Lưỡng nghi,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp"",""Value"":""500""}}]"
39,Set,38,Tứ Tượng,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
40,Set,39,Lục Hợp,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""17""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""9""}}]"
41,Set,40,Bát quái,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""197""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
42,Set,41,Âm Dương,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
43,Set,42,Hình Ý,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""272""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""29""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
44,Set,43,Ngũ Hành,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk_p"",""Value"":""35""}}]"
45,Set,44,Thái Cực,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""346""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp"",""Value"":""2017""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
46,Set,45,Hàn Vụ,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""143""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
47,Set,46,Thủy Diệu,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_lightatk"",""Value"":""24""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
48,Set,47,Huyền Cơ,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
49,Set,48,Cửu Âm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""46""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""5""}}]"
50,Set,49,Thủ Tâm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_intelligence"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp"",""Value"":""966""}}]"
51,Set,50,Cửu Ảnh,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
52,Set,51,Nhiếp Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""17""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_intelligence"",""Value"":""17""}}]"
53,Set,52,Khống Hạc,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""196""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_iceres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
54,Set,53,Phiêu Tuyết,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_iceatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
55,Set,54,Hạc Ảnh,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""270""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""28""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
56,Set,55,Ngọc Nữ,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""32""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp_p"",""Value"":""20""}}]"
57,Set,56,Hồi Tâm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""345""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp"",""Value"":""3919""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
58,Set,57,Tố Nữ,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp"",""Value"":""2233""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
59,Set,58,Trảm Tình,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_iceatk"",""Value"":""24""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
60,Set,59,Thần Phệ,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_intelligence"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
61,Set,60,Trích Tinh,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""48""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""3""}}]"
62,Set,61,Tam Âm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp"",""Value"":""500""}}]"
63,Set,62,Trừu Tủy,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
64,Set,63,Triền Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""17""}}]"
65,Set,64,Tỏa Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""197""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_poisonres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
66,Set,65,Đoạt Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_poisonatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
67,Set,66,Luyện Tâm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""272""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""16""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
68,Set,67,Bích Diệm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""32""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk_p"",""Value"":""35""}}]"
69,Set,68,Thần Mộc,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""346""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxmp"",""Value"":""2017""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
70,Set,69,Tam Tiếu,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp"",""Value"":""4340""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
71,Set,70,Tàn hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_poisonatk"",""Value"":""24""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""384""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
72,Set,71,Lưu Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""40""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""7""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
73,Set,72,Đạp Tuyết,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""48""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""3""}}]"
74,Set,73,Táng Hoa,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""10""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""91""}}]"
75,Set,74,Quyển Vô,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""3""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""3""}}]"
76,Set,75,Chân Thủy,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""9""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""17""}}]"
77,Set,76,Bát Hoang,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""197""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_iceres"",""Value"":""2""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
78,Set,77,Lục Dương,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_iceatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""5""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
79,Set,78,Nguyệt Phàm,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""272""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""16""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""3""}}]"
80,Set,79,Địa Hạc,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""33""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""309""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""307""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk_p"",""Value"":""35""}}]"
81,Set,80,Tâm Vân,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""346""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critdef"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""385""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_critatk"",""Value"":""6""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_maxhp_p"",""Value"":""20""}}]"
82,Set,81,Toái Hồn,,"[{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""382""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_dodge"",""Value"":""143""}},{""Tag"":""Line"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""12""}}]"
