RowIndex,Tag,TaskID,TaskName,TaskDescription,TaskType,TaskCondition,Text,ChildrenJSON
12,GuildTaskData,100011,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|200,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
13,GuildTaskData,100012,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|200,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
14,GuildTaskData,100013,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|200,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
15,GuildTaskData,100014,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|200,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
16,GuildTaskData,100015,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|250,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
17,GuildTaskData,100016,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|250,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
18,GuildTaskData,100017,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|250,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
19,GuildTaskData,100018,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|250,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
20,GuildTaskData,100019,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|250,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
21,GuildTaskData,100020,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|300,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
22,GuildTaskData,100021,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|300,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
23,GuildTaskData,100022,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|300,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
24,GuildTaskData,100023,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|300,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
25,GuildTaskData,100024,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|300,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
26,GuildTaskData,100025,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|350,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
27,GuildTaskData,100026,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|350,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
28,GuildTaskData,100027,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|350,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
29,GuildTaskData,100028,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|350,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
30,GuildTaskData,100029,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|350,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
31,GuildTaskData,100030,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|400,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
32,GuildTaskData,100031,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|400,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
33,GuildTaskData,100032,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|400,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
34,GuildTaskData,100033,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|400,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
35,GuildTaskData,100034,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|400,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
36,GuildTaskData,100035,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|450,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
37,GuildTaskData,100036,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|450,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
38,GuildTaskData,100037,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|450,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
39,GuildTaskData,100038,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|450,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
40,GuildTaskData,100039,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|450,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
41,GuildTaskData,100040,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 1 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Mê Ảnh Yển Sư<color=#473115>!!!",KillMonster,1347|500,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
42,GuildTaskData,100041,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 2 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Thạch Nhân<color=#473115>!!!",KillMonster,1349|500,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
43,GuildTaskData,100042,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 3 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Huyệt Mộ Độc Phong<color=#473115>!!!",KillMonster,1353|500,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
44,GuildTaskData,100043,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 4 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Hấp Huyết Biên Phúc<color=#473115>!!!",KillMonster,1356|500,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
45,GuildTaskData,100044,Trừ Hại Giúp Dân,"Gần đây tại <color=#f78908>Yến Vương Cổ Mộ<color=#473115> Tầng 5 xuất hiện nhiều ác tặc,cướp bóc và hãm hại dân chúng,hãy mau chóng tới đây trừ hại cho dân chúng, Tiêu diệt <color=#1f05fa>Khô Tâu Binh<color=#473115>!!!",KillMonster,1359|500,,"[{""Tag"":""GuildAward"",""Attributes"":{""GuildExp"":""500"",""GuildMoney"":""1000"",""Items"":""40010958|2;40010959|2""}},{""Tag"":""StepAward"",""Attributes"":{""WeeklyScore"":""5"",""GuildMoney"":""5""}}]"
