RowIndex,Tag,ID,NextID,Name,Type,Level,Model,ScaleP,ManPosition,WomanPosition,ManRotation,WomanRotation,UseAdditiveShader,Alpha,Text,ChildrenJSON
22,Wing,123,133,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe3,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
23,Wing,124,134,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe4,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
24,Wing,125,135,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe5,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
25,Wing,126,136,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe6,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
26,Wing,127,137,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe7,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
27,Wing,128,138,Phụ thể - Đôi Cánh Biến Sắc (Cấp 3),Wing,3,HeTiChiBangSanJi120726BianSe8,"220,220,220","0,-30,-70","0,-45,-58","60,-1,0","55,0,0",false,50,,
28,Wing,130,-1,Phụ thể - Đôi Cánh (Cấp 4),Wing,4,HeTiChiBangSiJi120726,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
29,Wing,131,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe1,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
30,Wing,132,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe2,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
31,Wing,133,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe3,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
32,Wing,134,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe4,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
33,Wing,135,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe5,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
34,Wing,136,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe6,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
35,Wing,137,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe7,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
36,Wing,138,-1,Phụ thể - Đôi Cánh Biến Sắc (Cấp 4),Wing,4,HeTiChiBangSiJi120726BianSe8,"220,220,220","0,-30,-70","0,-40,-58","60,-1,0","55,-3,0",false,50,,
37,Wing,300,310,Phụ thể - Hồ Điệp (Cấp 1),Butterfly,1,HeTiHuDieJiBie1,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
38,Wing,301,311,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe7,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
39,Wing,302,312,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe2,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
40,Wing,303,313,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe3,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
41,Wing,304,314,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe4,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
42,Wing,305,315,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe5,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
43,Wing,306,316,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe6,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
44,Wing,307,317,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe9,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
45,Wing,308,318,Phụ thể - Hồ Điệp Biến Sắc (Cấp 1),Butterfly,1,HeTiHuDieJiBie1BianSe8,"180,180,180","0,-20,-50","0,-29,-50","50,0,0","50,0,0",false,50,,
46,Wing,310,320,Phụ thể - Hồ Điệp (Cấp 2),Butterfly,2,HeTiHuDieJiBie2,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
47,Wing,311,321,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe7,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
48,Wing,312,322,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe2,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
49,Wing,313,323,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe3,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
50,Wing,314,324,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe4,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
51,Wing,315,325,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe5,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
52,Wing,316,326,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe6,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
53,Wing,317,327,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe9,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
54,Wing,318,328,Phụ thể - Hồ Điệp Biến Sắc (Cấp 2),Butterfly,2,HeTiHuDieJiBie2BianSe8,"180,180,180","0,-20,-50","0,-29,-55","50,0,0","60,0,0",false,50,,
55,Wing,320,330,Phụ thể - Hồ Điệp (Cấp 3),Butterfly,3,HeTiHuDieJiBie3,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
56,Wing,321,331,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe7,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
57,Wing,322,332,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe2,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
58,Wing,323,333,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe3,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
59,Wing,324,334,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe4,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
60,Wing,325,335,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe5,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
61,Wing,326,336,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe6,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
62,Wing,327,337,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe9,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
63,Wing,328,338,Phụ thể - Hồ Điệp Biến Sắc (Cấp 3),Butterfly,3,HeTiHuDieJiBie3BianSe8,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
64,Wing,330,-1,Phụ thể - Hồ Điệp (Cấp 4),Butterfly,4,HeTiHuDieJiBie4,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
65,Wing,331,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe7,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
66,Wing,332,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe2,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
67,Wing,333,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe3,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
68,Wing,334,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe4,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
69,Wing,335,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe5,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
70,Wing,336,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe6,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
71,Wing,337,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe9,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
72,Wing,338,-1,Phụ thể - Hồ Điệp Biến Sắc (Cấp 4),Butterfly,4,HeTiHuDieJiBie4BianSe8,"180,180,180","0,-20,-50","0,-29,-53","50,0,0","50,0,0",false,50,,
73,Wing,200,210,Phụ thể - Phượng Hoàng (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1,"100,100,100","0,-10,-15","0,-5,-17","0,30,30","0,35,0",true,70,,
74,Wing,201,211,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe1,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
75,Wing,202,212,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe2,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
76,Wing,203,213,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe3,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
77,Wing,204,214,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe4,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
78,Wing,205,215,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe5,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
79,Wing,206,216,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe6,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
80,Wing,207,217,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe7,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
81,Wing,208,218,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 1),Phoenix,1,HeTiFengHuangJiBie1BianSe8,"100,100,100","0,-10,-15","0,-7,-17","0,30,30","0,35,0",false,70,,
82,Wing,210,220,Phụ thể - Phượng Hoàng (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",true,70,,
83,Wing,211,221,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe1,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
84,Wing,212,222,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe2,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
85,Wing,213,223,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe3,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
86,Wing,214,224,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe4,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
87,Wing,215,225,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe5,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
88,Wing,216,226,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe6,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
89,Wing,217,227,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe7,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
90,Wing,218,228,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 2),Phoenix,2,HeTiFengHuangJiBie2BianSe8,"100,100,100","0,-10,-20","0,-5,-19","0,30,30","100,0,30",false,70,,
91,Wing,220,230,Phụ thể - Phượng Hoàng (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",true,70,,
92,Wing,221,231,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe1,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
93,Wing,222,232,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe2,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
94,Wing,223,233,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe3,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
95,Wing,224,234,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe4,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
96,Wing,225,235,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe5,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
97,Wing,226,236,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe6,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
98,Wing,227,237,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe7,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
99,Wing,228,238,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 3),Phoenix,3,HeTiFengHuangJiBie3BianSe8,"100,100,100","0,0,-20","0,-9,-25","0,60,60","60,0,-30",false,70,,
100,Wing,230,240,Phụ thể - Phượng Hoàng (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",true,70,,
101,Wing,231,241,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe1,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
102,Wing,232,242,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe2,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
103,Wing,233,243,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe3,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
104,Wing,234,244,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe4,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
105,Wing,235,245,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe5,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
106,Wing,236,246,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe6,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
107,Wing,237,247,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe7,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
108,Wing,238,248,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 4),Phoenix,4,HeTiFengHuangJiBie4BianSe8,"100,100,100","0,-20,-20","-15,8,-26","0,120,60","60,180,150",false,70,,
109,Wing,240,-1,Phụ thể - Phượng Hoàng (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",true,70,,
110,Wing,241,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe1,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
111,Wing,242,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe2,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
112,Wing,243,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe3,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
113,Wing,244,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe4,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
114,Wing,245,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe5,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
115,Wing,246,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe6,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
116,Wing,247,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe7,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
117,Wing,248,-1,Phụ thể - Phượng Hoàng Biến Sắc (Cấp 5),Phoenix,5,HeTiFengHuangJiBie5BianSe8,"100,100,100","0,0,-20","0,0,-20","0,180,0","180,0,0",false,70,,
118,Wing,400,410,Phụ thể - Long (Cấp 1),Dragon,1,HeTiLongJiBie1,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",true,70,,
119,Wing,401,411,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe1,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
120,Wing,402,412,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe2,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
121,Wing,403,413,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe3,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
122,Wing,404,414,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe4,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
123,Wing,405,415,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe5,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
124,Wing,406,416,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe6,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
125,Wing,407,417,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe7,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
126,Wing,408,418,Phụ thể - Long Biến Sắc (Cấp 1),Dragon,1,HeTiLongJiBie1BianSe8,"100,100,100","0,0,-20","0,-8,-15","0,140,160","0,45,0",false,70,,
127,Wing,410,420,Phụ thể - Long (Cấp 2),Dragon,2,HeTiLongJiBie2,"100,100,100","0,0,-20","0,-5,-15","0,110,130","0,-100,-40",true,70,,
128,Wing,411,421,Phụ thể - Long Biến Sắc (Cấp 2),Dragon,2,HeTiLongJiBie2BianSe1,"100,100,100","0,0,-20","0,-5,-15","0,110,130","0,-100,-40",false,70,,
129,Wing,412,422,Phụ thể - Long Biến Sắc (Cấp 2),Dragon,2,HeTiLongJiBie2BianSe2,"100,100,100","0,0,-20","0,-5,-15","0,110,130","0,-100,-40",false,70,,
130,Wing,413,423,Phụ thể - Long Biến Sắc (Cấp 2),Dragon,2,HeTiLongJiBie2BianSe3,"100,100,100","0,0,-20","0,-5,-15","0,110,130","0,-100,-40",false,70,,
