RowIndex,Tag,ID,GroupID,Name,ActivatePercent,SkillIDs,ActivateType,ActivateValue,Cooldown,Text,ChildrenJSON
25,Skill,25,25,Quảng Lăng Tán,"{1,100}",95001,EveryPeriod,3000,0,,
26,Skill,26,26,Phi Hoa - Loạn Hồng Thâm Xử,"{1,100}",95301,EveryPeriod,1000,0,,
27,Skill,27,27,Đãng Thiên Quân,"{1,100}",96001;96002,HitTarget,0,0,,
28,Skill,28,28,Hòa Quang Đồng Trần - Phục hồi,"{1,100}",96001,EveryPeriod,60000,0,,
29,Skill,29,29,Hòa Quang Đồng Trần - Khống chế,"{1,50}",97101,AmplifyState,0,0,,
30,Skill,30,30,Hòa Quang Đồng Trần - Bị khống chế,"{1,50}",97102,TakeState,0,0,,
31,Skill,31,31,Liên Khống,"{1,100}",96001,AmplifyState,0,0,,
32,Skill,32,32,Phi Thanh Bất Độ,"{1,25}",96003,AmplifyState,0,0,,
33,Skill,33,33,Tình Tận Doanh Huyết,"{1,100}",97901,EveryPeriod,500,0,,
34,Skill,34,34,Câu Hồn - Mệnh,"{1,100}",99703,EveryPeriod,3000,0,,
35,Skill,40,40,Hỏa Thần Hạ Phàm,"{1,30},{12,52}",32201,HitTarget,-1,0,,
36,Skill,41,41,Nộ Hỏa Liên Trảm,"{1,100}",33501,HitTarget,-1,0,,
37,Skill,100,100,Liệt Hỏa Thần Long,"{1,100}",150201,EveryPeriod,2000,0,,
38,Skill,101,101,Hỏa Thiêu Thiên Xích,"{1,100}",150401,EveryPeriod,2000,0,,
39,Skill,102,102,Hỏa Thiêu Thiên Xích,"{1,100}",10006,EveryPeriod,2000,0,,
40,Skill,103,103,Lục Ba Hương Lộ,"{1,100}",1101100,HitTarget,0,0,,
41,Skill,104,104,Lục Ba Hương Lộ,"{1,100}",1201100,HitTarget,0,0,,
42,Skill,105,105,Sát Khí Ôn Dịch,"{1,100}",1301801,EveryPeriod,2000,0,,
43,Skill,17002,17002,Thú Chi Tù Lưỡng,"{1,100}",1700201,EveryPeriod,1000,0,,
44,Skill,17003,17003,Mãn Thiên Băng Tuyết,"{1,100}",1700301,EveryPeriod,2000,0,,
45,Skill,17006,17006,Phóng Thiên Phạt,"{1,100}",1700601,EveryPeriod,1000,0,,
46,Skill,1000,1000,Phấn Lực Nhất Kích (Cấp 1),"{1,20}",200001;200002;200003,HitTarget,-1,0,,
47,Skill,1001,1001,Phấn Lực Nhất Kích (Cấp 2),"{1,20}",200101;200102;200103,HitTarget,-1,0,,
48,Skill,1002,1002,Phấn Lực Nhất Kích (Cấp 3),"{1,20}",200201;200202;200203,HitTarget,-1,0,,
49,Skill,1003,1003,Phấn Lực Nhất Kích (Cấp 4),"{1,20}",200301;200302;200303,HitTarget,-1,0,,
50,Skill,1004,1004,Phấn Lực Nhất Kích (Cấp 5),"{1,20}",200401;200402;200403,HitTarget,-1,0,,
51,Skill,1005,1005,Phấn Lực Nhất Kích (Cấp 6),"{1,20}",200501;200502;200503,HitTarget,-1,0,,
52,Skill,1006,1006,Phấn Lực Nhất Kích (Cấp 1),"{1,20}",200601;200602;200603,HitTarget,-1,0,,
53,Skill,1007,1007,Phấn Lực Nhất Kích (Cấp 2),"{1,20}",200701;200702;200703,HitTarget,-1,0,,
54,Skill,1008,1008,Phấn Lực Nhất Kích (Cấp 3),"{1,20}",200801;200802;200803,HitTarget,-1,0,,
55,Skill,1009,1009,Phấn Lực Nhất Kích (Cấp 4),"{1,20}",200901;200902;200903,HitTarget,-1,0,,
56,Skill,1010,1010,Phấn Lực Nhất Kích (Cấp 5),"{1,20}",201001;201002;201003,HitTarget,-1,0,,
57,Skill,1011,1011,Phấn Lực Nhất Kích (Cấp 6),"{1,20}",201101;201102;201103,HitTarget,-1,0,,
58,Skill,1012,1012,Tinh Diệu Nhất Kích (Cấp 1),"{1,20}",201201;201202;201203,HitTarget,-1,0,,
59,Skill,1013,1013,Tinh Diệu Nhất Kích (Cấp 2),"{1,20}",201301;201302;201303,HitTarget,-1,0,,
60,Skill,1014,1014,Tinh Diệu Nhất Kích (Cấp 3),"{1,20}",201401;201402;201403,HitTarget,-1,0,,
61,Skill,1015,1015,Tinh Diệu Nhất Kích (Cấp 4),"{1,20}",201501;201502;201503,HitTarget,-1,0,,
62,Skill,1016,1016,Tinh Diệu Nhất Kích (Cấp 5),"{1,20}",201601;201602;201603,HitTarget,-1,0,,
63,Skill,1017,1017,Tinh Diệu Nhất Kích (Cấp 6),"{1,20}",201701;201702;201703,HitTarget,-1,0,,
64,Skill,1018,1018,Tuyệt Diệu Nhất Kích (Cấp 1),"{1,20}",201801;201802;201803,HitTarget,-1,0,,
65,Skill,1019,1019,Tuyệt Diệu Nhất Kích (Cấp 2),"{1,20}",201901;201902;201903,HitTarget,-1,0,,
66,Skill,1020,1020,Tuyệt Diệu Nhất Kích (Cấp 3),"{1,20}",202001;202002;202003,HitTarget,-1,0,,
67,Skill,1021,1021,Tuyệt Diệu Nhất Kích (Cấp 4),"{1,20}",202101;202102;202103,HitTarget,-1,0,,
68,Skill,1022,1022,Tuyệt Diệu Nhất Kích (Cấp 5),"{1,20}",202201;202202;202203,HitTarget,-1,0,,
69,Skill,1023,1023,Tuyệt Diệu Nhất Kích (Cấp 6),"{1,20}",202301;202302;202303,HitTarget,-1,0,,
70,Skill,1024,1024,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 1),"{1,20}",202401;202402;202403,HitTarget,-1,0,,
71,Skill,1025,1025,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 2),"{1,20}",202501;202502;202503,HitTarget,-1,0,,
72,Skill,1026,1026,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 1),"{1,20}",202601;202602;202603,HitTarget,-1,0,,
73,Skill,1027,1027,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 2),"{1,20}",202701;202702;202703,HitTarget,-1,0,,
74,Skill,1028,1028,Luyện Hồn - Tinh Diệu Nhất Kích (Cấp 1),"{1,20}",202801;202802;202803,HitTarget,-1,0,,
75,Skill,1029,1029,Luyện Hồn - Tinh Diệu Nhất Kích (Cấp 2),"{1,20}",202901;202902;202903,HitTarget,-1,0,,
76,Skill,1030,1030,Luyện Hồn - Tuyệt Diệu Nhất Kích (Cấp 1),"{1,20}",203001;203002;203003,HitTarget,-1,0,,
77,Skill,1031,1031,Luyện Hồn - Tuyệt Diệu Nhất Kích (Cấp 2),"{1,20}",203101;203102;203103,HitTarget,-1,0,,
78,Skill,1032,1032,Hấp Huyết Nhất Kích,"{1,20}",203201,HitTarget,-1,0,,
79,Skill,1033,1033,Hấp Khí Nhất Kích,"{1,20}",203301,HitTarget,-1,0,,
80,Skill,1034,1034,Phá Trán Nhất Kích,"{1,20}",203401,HitTarget,-1,0,,
81,Skill,1035,1035,Cương Ngạnh Nhất Kích,"{1,20}",203501,HitTarget,-1,0,,
82,Skill,1036,1036,Hư Nhược Nhất Kích,"{1,20}",203601,HitTarget,-1,0,,
83,Skill,1037,1037,Đả Nộ Nhất Kích,"{1,20}",203701,HitTarget,-1,0,,
84,Skill,1038,1038,Thông Linh - Hấp Huyết Nhất Kích,"{1,20}",203801,HitTarget,-1,0,,
85,Skill,1039,1039,Thông Linh - Hấp Khí Nhất Kích,"{1,20}",203901,HitTarget,-1,0,,
86,Skill,1040,1040,Thông Linh - Phá Trán Nhất Kích,"{1,20}",204001,HitTarget,-1,0,,
87,Skill,1041,1041,Thông Linh - Cương Ngạnh Nhất Kích,"{1,20}",204101,HitTarget,-1,0,,
88,Skill,1042,1042,Thông Linh - Hư Nhược Nhất Kích,"{1,20}",204201,HitTarget,-1,0,,
89,Skill,1043,1043,Thông Linh - Đả Nộ Nhất Kích,"{1,20}",204301,HitTarget,-1,0,,
90,Skill,2000,2000,Trùng Lâu Giới,"{1,2}",300001,HitTarget,-1,0,,
91,Skill,2001,2001,Trùng Lâu Ngọc,"{1,2}",300101,HitTarget,-1,0,,
92,Skill,2002,2002,Trùng Lâu Liên,"{1,2}",300301,HitTarget,-1,0,,
93,Skill,2003,2003,Trùng Lâu Đới,"{1,2}",300901;300902,HitTarget,-1,0,,
94,Skill,55001,55000,Hàn Băng Hóa Kinh (Cấp 1),"{1,100}",5000011,HitTarget,-1,30000,,
95,Skill,55002,55000,Hàn Băng Hóa Kinh (Cấp 2),"{1,100}",5000012,HitTarget,-1,30000,,
96,Skill,55003,55000,Hàn Băng Hóa Kinh (Cấp 3),"{1,100}",5000013,HitTarget,-1,30000,,
97,Skill,55004,55000,Hàn Băng Hóa Kinh (Cấp 4),"{1,100}",5000014,HitTarget,-1,30000,,
98,Skill,55005,55000,Hàn Băng Hóa Kinh (Cấp 5),"{1,100}",5000015,HitTarget,-1,30000,,
99,Skill,55006,55000,Hàn Băng Hóa Kinh (Cấp 6),"{1,100}",5000016,HitTarget,-1,30000,,
100,Skill,55007,55000,Hàn Băng Hóa Kinh (Cấp 7),"{1,100}",5000017,HitTarget,-1,30000,,
101,Skill,55008,55000,Hàn Băng Hóa Kinh (Cấp 8),"{1,100}",5000018,HitTarget,-1,30000,,
102,Skill,55009,55000,Hàn Băng Hóa Kinh (Cấp 9),"{1,100}",5000019,HitTarget,-1,30000,,
103,Skill,55011,55000,Viêm Khí Hóa Kinh (Cấp 1),"{1,100}",5001011,HitTarget,-1,30000,,
104,Skill,55012,55000,Viêm Khí Hóa Kinh (Cấp 2),"{1,100}",5001012,HitTarget,-1,30000,,
105,Skill,55013,55000,Viêm Khí Hóa Kinh (Cấp 3),"{1,100}",5001013,HitTarget,-1,30000,,
106,Skill,55014,55000,Viêm Khí Hóa Kinh (Cấp 4),"{1,100}",5001014,HitTarget,-1,30000,,
107,Skill,55015,55000,Viêm Khí Hóa Kinh (Cấp 5),"{1,100}",5001015,HitTarget,-1,30000,,
108,Skill,55016,55000,Viêm Khí Hóa Kinh (Cấp 6),"{1,100}",5001016,HitTarget,-1,30000,,
109,Skill,55017,55000,Viêm Khí Hóa Kinh (Cấp 7),"{1,100}",5001017,HitTarget,-1,30000,,
110,Skill,55018,55000,Viêm Khí Hóa Kinh (Cấp 8),"{1,100}",5001018,HitTarget,-1,30000,,
111,Skill,55019,55000,Viêm Khí Hóa Kinh (Cấp 9),"{1,100}",5001019,HitTarget,-1,30000,,
112,Skill,55021,55000,Huyền Pháp Hóa Kinh (Cấp 1),"{1,100}",5002011,HitTarget,-1,30000,,
113,Skill,55022,55000,Huyền Pháp Hóa Kinh (Cấp 2),"{1,100}",5002012,HitTarget,-1,30000,,
114,Skill,55023,55000,Huyền Pháp Hóa Kinh (Cấp 3),"{1,100}",5002013,HitTarget,-1,30000,,
115,Skill,55024,55000,Huyền Pháp Hóa Kinh (Cấp 4),"{1,100}",5002014,HitTarget,-1,30000,,
116,Skill,55025,55000,Huyền Pháp Hóa Kinh (Cấp 5),"{1,100}",5002015,HitTarget,-1,30000,,
117,Skill,55026,55000,Huyền Pháp Hóa Kinh (Cấp 6),"{1,100}",5002016,HitTarget,-1,30000,,
118,Skill,55027,55000,Huyền Pháp Hóa Kinh (Cấp 7),"{1,100}",5002017,HitTarget,-1,30000,,
119,Skill,55028,55000,Huyền Pháp Hóa Kinh (Cấp 8),"{1,100}",5002018,HitTarget,-1,30000,,
120,Skill,55029,55000,Huyền Pháp Hóa Kinh (Cấp 9),"{1,100}",5002019,HitTarget,-1,30000,,
121,Skill,55031,55000,Bách Độc Hóa Kinh (Cấp 1),"{1,100}",5003011,HitTarget,-1,30000,,
122,Skill,55032,55000,Bách Độc Hóa Kinh (Cấp 2),"{1,100}",5003012,HitTarget,-1,30000,,
123,Skill,55033,55000,Bách Độc Hóa Kinh (Cấp 3),"{1,100}",5003013,HitTarget,-1,30000,,
124,Skill,55034,55000,Bách Độc Hóa Kinh (Cấp 4),"{1,100}",5003014,HitTarget,-1,30000,,
125,Skill,55035,55000,Bách Độc Hóa Kinh (Cấp 5),"{1,100}",5003015,HitTarget,-1,30000,,
126,Skill,55036,55000,Bách Độc Hóa Kinh (Cấp 6),"{1,100}",5003016,HitTarget,-1,30000,,
127,Skill,55037,55000,Bách Độc Hóa Kinh (Cấp 7),"{1,100}",5003017,HitTarget,-1,30000,,
128,Skill,55038,55000,Bách Độc Hóa Kinh (Cấp 8),"{1,100}",5003018,HitTarget,-1,30000,,
129,Skill,55039,55000,Bách Độc Hóa Kinh (Cấp 9),"{1,100}",5003019,HitTarget,-1,30000,,
130,Skill,55041,55000,Liễm Thần Quan Quang (Cấp 1),"{1,100}",5004011,HitTarget,-1,30000,,
131,Skill,55042,55000,Liễm Thần Quan Quang (Cấp 2),"{1,100}",5004012,HitTarget,-1,30000,,
132,Skill,55043,55000,Liễm Thần Quan Quang (Cấp 3),"{1,100}",5004013,HitTarget,-1,30000,,
133,Skill,55044,55000,Liễm Thần Quan Quang (Cấp 4),"{1,100}",5004014,HitTarget,-1,30000,,
134,Skill,55045,55000,Liễm Thần Quan Quang (Cấp 5),"{1,100}",5004015,HitTarget,-1,30000,,
135,Skill,55046,55000,Liễm Thần Quan Quang (Cấp 6),"{1,100}",5004016,HitTarget,-1,30000,,
136,Skill,55047,55000,Liễm Thần Quan Quang (Cấp 7),"{1,100}",5004017,HitTarget,-1,30000,,
137,Skill,55048,55000,Liễm Thần Quan Quang (Cấp 8),"{1,100}",5004018,HitTarget,-1,30000,,
138,Skill,55049,55000,Liễm Thần Quan Quang (Cấp 9),"{1,100}",5004019,HitTarget,-1,30000,,
139,Skill,55051,55000,Bằng Hư Ngự Phong (Cấp 1),"{1,100}",5005011,HitTarget,-1,30000,,
140,Skill,55052,55000,Bằng Hư Ngự Phong (Cấp 2),"{1,100}",5005012,HitTarget,-1,30000,,
141,Skill,55053,55000,Bằng Hư Ngự Phong (Cấp 3),"{1,100}",5005013,HitTarget,-1,30000,,
142,Skill,55054,55000,Bằng Hư Ngự Phong (Cấp 4),"{1,100}",5005014,HitTarget,-1,30000,,
143,Skill,55055,55000,Bằng Hư Ngự Phong (Cấp 5),"{1,100}",5005015,HitTarget,-1,30000,,
144,Skill,55056,55000,Bằng Hư Ngự Phong (Cấp 6),"{1,100}",5005016,HitTarget,-1,30000,,
145,Skill,55057,55000,Bằng Hư Ngự Phong (Cấp 7),"{1,100}",5005017,HitTarget,-1,30000,,
146,Skill,55058,55000,Bằng Hư Ngự Phong (Cấp 8),"{1,100}",5005018,HitTarget,-1,30000,,
147,Skill,55059,55000,Bằng Hư Ngự Phong (Cấp 9),"{1,100}",5005019,HitTarget,-1,30000,,
148,Skill,55061,55000,Tứ Tượng Quy Nhất - Băng (Cấp 1),"{1,100}",5006011,HitTarget,-1,30000,,
149,Skill,55062,55000,Tứ Tượng Quy Nhất - Băng (Cấp 2),"{1,100}",5006012,HitTarget,-1,30000,,
150,Skill,55063,55000,Tứ Tượng Quy Nhất - Băng (Cấp 3),"{1,100}",5006013,HitTarget,-1,30000,,
151,Skill,55064,55000,Tứ Tượng Quy Nhất - Băng (Cấp 4),"{1,100}",5006014,HitTarget,-1,30000,,
152,Skill,55065,55000,Tứ Tượng Quy Nhất - Băng (Cấp 5),"{1,100}",5006015,HitTarget,-1,30000,,
153,Skill,55066,55000,Tứ Tượng Quy Nhất - Băng (Cấp 6),"{1,100}",5006016,HitTarget,-1,30000,,
154,Skill,55067,55000,Tứ Tượng Quy Nhất - Băng (Cấp 7),"{1,100}",5006017,HitTarget,-1,30000,,
155,Skill,55068,55000,Tứ Tượng Quy Nhất - Băng (Cấp 8),"{1,100}",5006018,HitTarget,-1,30000,,
156,Skill,55069,55000,Tứ Tượng Quy Nhất - Băng (Cấp 9),"{1,100}",5006019,HitTarget,-1,30000,,
157,Skill,55071,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 1),"{1,100}",5007011,HitTarget,-1,30000,,
158,Skill,55072,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 2),"{1,100}",5007012,HitTarget,-1,30000,,
159,Skill,55073,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 3),"{1,100}",5007013,HitTarget,-1,30000,,
160,Skill,55074,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 4),"{1,100}",5007014,HitTarget,-1,30000,,
161,Skill,55075,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 5),"{1,100}",5007015,HitTarget,-1,30000,,
162,Skill,55076,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 6),"{1,100}",5007016,HitTarget,-1,30000,,
163,Skill,55077,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 7),"{1,100}",5007017,HitTarget,-1,30000,,
164,Skill,55078,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 8),"{1,100}",5007018,HitTarget,-1,30000,,
165,Skill,55079,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 9),"{1,100}",5007019,HitTarget,-1,30000,,
166,Skill,55081,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 1),"{1,100}",5008011,HitTarget,-1,30000,,
167,Skill,55082,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 2),"{1,100}",5008012,HitTarget,-1,30000,,
168,Skill,55083,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 3),"{1,100}",5008013,HitTarget,-1,30000,,
169,Skill,55084,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 4),"{1,100}",5008014,HitTarget,-1,30000,,
170,Skill,55085,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 5),"{1,100}",5008015,HitTarget,-1,30000,,
171,Skill,55086,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 6),"{1,100}",5008016,HitTarget,-1,30000,,
172,Skill,55087,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 7),"{1,100}",5008017,HitTarget,-1,30000,,
173,Skill,55088,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 8),"{1,100}",5008018,HitTarget,-1,30000,,
174,Skill,55089,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 9),"{1,100}",5008019,HitTarget,-1,30000,,
175,Skill,55091,55000,Tứ Tượng Quy Nhất - Độc (Cấp 1),"{1,100}",5009011,HitTarget,-1,30000,,
176,Skill,55092,55000,Tứ Tượng Quy Nhất - Độc (Cấp 2),"{1,100}",5009012,HitTarget,-1,30000,,
177,Skill,55093,55000,Tứ Tượng Quy Nhất - Độc (Cấp 3),"{1,100}",5009013,HitTarget,-1,30000,,
178,Skill,55094,55000,Tứ Tượng Quy Nhất - Độc (Cấp 4),"{1,100}",5009014,HitTarget,-1,30000,,
179,Skill,55095,55000,Tứ Tượng Quy Nhất - Độc (Cấp 5),"{1,100}",5009015,HitTarget,-1,30000,,
180,Skill,55096,55000,Tứ Tượng Quy Nhất - Độc (Cấp 6),"{1,100}",5009016,HitTarget,-1,30000,,
181,Skill,55097,55000,Tứ Tượng Quy Nhất - Độc (Cấp 7),"{1,100}",5009017,HitTarget,-1,30000,,
182,Skill,55098,55000,Tứ Tượng Quy Nhất - Độc (Cấp 8),"{1,100}",5009018,HitTarget,-1,30000,,
183,Skill,55099,55000,Tứ Tượng Quy Nhất - Độc (Cấp 9),"{1,100}",5009019,HitTarget,-1,30000,,
184,Skill,55101,55000,Khí Định Thần Nhàn (Cấp 1),"{1,100}",5010011,HitTarget,-1,30000,,
185,Skill,55102,55000,Khí Định Thần Nhàn (Cấp 2),"{1,100}",5010012,HitTarget,-1,30000,,
186,Skill,55103,55000,Khí Định Thần Nhàn (Cấp 3),"{1,100}",5010013,HitTarget,-1,30000,,
187,Skill,55104,55000,Khí Định Thần Nhàn (Cấp 4),"{1,100}",5010014,HitTarget,-1,30000,,
188,Skill,55105,55000,Khí Định Thần Nhàn (Cấp 5),"{1,100}",5010015,HitTarget,-1,30000,,
189,Skill,55106,55000,Khí Định Thần Nhàn (Cấp 6),"{1,100}",5010016,HitTarget,-1,30000,,
190,Skill,55107,55000,Khí Định Thần Nhàn (Cấp 7),"{1,100}",5010017,HitTarget,-1,30000,,
191,Skill,55108,55000,Khí Định Thần Nhàn (Cấp 8),"{1,100}",5010018,HitTarget,-1,30000,,
192,Skill,55109,55000,Khí Định Thần Nhàn (Cấp 9),"{1,100}",5010019,HitTarget,-1,30000,,
193,Skill,55111,55000,Lực Phá Càn Khôn (Cấp 1),"{1,100}",5011011,HitTarget,-1,30000,,
194,Skill,55112,55000,Lực Phá Càn Khôn (Cấp 2),"{1,100}",5011012,HitTarget,-1,30000,,
195,Skill,55113,55000,Lực Phá Càn Khôn (Cấp 3),"{1,100}",5011013,HitTarget,-1,30000,,
196,Skill,55114,55000,Lực Phá Càn Khôn (Cấp 4),"{1,100}",5011014,HitTarget,-1,30000,,
197,Skill,55115,55000,Lực Phá Càn Khôn (Cấp 5),"{1,100}",5011015,HitTarget,-1,30000,,
198,Skill,55116,55000,Lực Phá Càn Khôn (Cấp 6),"{1,100}",5011016,HitTarget,-1,30000,,
199,Skill,55117,55000,Lực Phá Càn Khôn (Cấp 7),"{1,100}",5011017,HitTarget,-1,30000,,
200,Skill,55118,55000,Lực Phá Càn Khôn (Cấp 8),"{1,100}",5011018,HitTarget,-1,30000,,
201,Skill,55119,55000,Lực Phá Càn Khôn (Cấp 9),"{1,100}",5011019,HitTarget,-1,30000,,
202,Skill,55121,55000,Canh Khí Hộ Thể (Cấp 1),"{1,100}",5012011,HitTarget,-1,30000,,
203,Skill,55122,55000,Canh Khí Hộ Thể (Cấp 2),"{1,100}",5012012,HitTarget,-1,30000,,
204,Skill,55123,55000,Canh Khí Hộ Thể (Cấp 3),"{1,100}",5012013,HitTarget,-1,30000,,
205,Skill,55124,55000,Canh Khí Hộ Thể (Cấp 4),"{1,100}",5012014,HitTarget,-1,30000,,
206,Skill,55125,55000,Canh Khí Hộ Thể (Cấp 5),"{1,100}",5012015,HitTarget,-1,30000,,
207,Skill,55126,55000,Canh Khí Hộ Thể (Cấp 6),"{1,100}",5012016,HitTarget,-1,30000,,
208,Skill,55127,55000,Canh Khí Hộ Thể (Cấp 7),"{1,100}",5012017,HitTarget,-1,30000,,
209,Skill,55128,55000,Canh Khí Hộ Thể (Cấp 8),"{1,100}",5012018,HitTarget,-1,30000,,
210,Skill,55129,55000,Canh Khí Hộ Thể (Cấp 9),"{1,100}",5012019,HitTarget,-1,30000,,
211,Skill,55131,55000,Tán Hồn Trận Thuật (Cấp 1),"{1,100}",5013011,HitTarget,-1,30000,,
212,Skill,55132,55000,Tán Hồn Trận Thuật (Cấp 2),"{1,100}",5013012,HitTarget,-1,30000,,
213,Skill,55133,55000,Tán Hồn Trận Thuật (Cấp 3),"{1,100}",5013013,HitTarget,-1,30000,,
214,Skill,55134,55000,Tán Hồn Trận Thuật (Cấp 4),"{1,100}",5013014,HitTarget,-1,30000,,
215,Skill,55135,55000,Tán Hồn Trận Thuật (Cấp 5),"{1,100}",5013015,HitTarget,-1,30000,,
216,Skill,55136,55000,Tán Hồn Trận Thuật (Cấp 6),"{1,100}",5013016,HitTarget,-1,30000,,
217,Skill,55137,55000,Tán Hồn Trận Thuật (Cấp 7),"{1,100}",5013017,HitTarget,-1,30000,,
218,Skill,55138,55000,Tán Hồn Trận Thuật (Cấp 8),"{1,100}",5013018,HitTarget,-1,30000,,
219,Skill,55139,55000,Tán Hồn Trận Thuật (Cấp 9),"{1,100}",5013019,HitTarget,-1,30000,,
220,Skill,55141,55000,Khí Xung Tiêu Hán (Cấp 1),"{1,100}",5014011,HitTarget,-1,30000,,
221,Skill,55142,55000,Khí Xung Tiêu Hán (Cấp 2),"{1,100}",5014012,HitTarget,-1,30000,,
222,Skill,55143,55000,Khí Xung Tiêu Hán (Cấp 3),"{1,100}",5014013,HitTarget,-1,30000,,
223,Skill,55144,55000,Khí Xung Tiêu Hán (Cấp 4),"{1,100}",5014014,HitTarget,-1,30000,,
224,Skill,55145,55000,Khí Xung Tiêu Hán (Cấp 5),"{1,100}",5014015,HitTarget,-1,30000,,
225,Skill,55146,55000,Khí Xung Tiêu Hán (Cấp 6),"{1,100}",5014016,HitTarget,-1,30000,,
226,Skill,55147,55000,Khí Xung Tiêu Hán (Cấp 7),"{1,100}",5014017,HitTarget,-1,30000,,
227,Skill,55148,55000,Khí Xung Tiêu Hán (Cấp 8),"{1,100}",5014018,HitTarget,-1,30000,,
228,Skill,55149,55000,Khí Xung Tiêu Hán (Cấp 9),"{1,100}",5014019,HitTarget,-1,30000,,
229,Skill,55151,55000,Thập Tam Thái Bảo (Cấp 1),"{1,100}",5015011,HitTarget,-1,30000,,
230,Skill,55152,55000,Thập Tam Thái Bảo (Cấp 2),"{1,100}",5015012,HitTarget,-1,30000,,
231,Skill,55153,55000,Thập Tam Thái Bảo (Cấp 3),"{1,100}",5015013,HitTarget,-1,30000,,
232,Skill,55154,55000,Thập Tam Thái Bảo (Cấp 4),"{1,100}",5015014,HitTarget,-1,30000,,
233,Skill,55155,55000,Thập Tam Thái Bảo (Cấp 5),"{1,100}",5015015,HitTarget,-1,30000,,
234,Skill,55156,55000,Thập Tam Thái Bảo (Cấp 6),"{1,100}",5015016,HitTarget,-1,30000,,
235,Skill,55157,55000,Thập Tam Thái Bảo (Cấp 7),"{1,100}",5015017,HitTarget,-1,30000,,
236,Skill,55158,55000,Thập Tam Thái Bảo (Cấp 8),"{1,100}",5015018,HitTarget,-1,30000,,
