Symbol,Description,IncludeSign
magic_dodge_p,Né tránh: <color=#FFFF00>{0}%</color>,true
magic_critatk_p,Hội công: <color=#FFFF00>{0}%</color>,true
magic_critdef_p,Hội thủ: <color=#FFFF00>{0}%</color>,true
magic_strength_p,Cường lực: <color=#FFFF00>{0}%</color>,true
magic_energy_p,Nội lực: <color=#FFFF00>{0}%</color>,true
magic_stamina_p,Thể lực: <color=#FFFF00>{0}%</color>,true
magic_intelligence_p,Trí lực: <color=#FFFF00>{0}%</color>,true
magic_dexterity_p,Thân pháp: <color=#FFFF00>{0}%</color>,true
magic_hpleak_p,Mất máu liên tục: <color=#FFFF00>{0}% lượng máu hiện tại</color> mỗi giây,false
magic_hpsteal_p,Hút máu: <color=#FFFF00>{0}%</color>,false
magic_mpsteal_p,Hút khí: <color=#FFFF00>{0}%</color>,false
magic_ragesteal_p,Hút nộ khí: <color=#FFFF00>{0}%</color>,false
magic_hpleak_max_p,Mất máu liên tục: <color=#FFFF00>{0}% lượng máu tối đa</color> mỗi giây,false
magic_replenish_datura_flower,Hồi phục: <color=#FFFF00>{0} Mạn Đà Hoa</color>,false
magic_replenish_hp_rate,Hiệu quả hồi phục huyết: <color=#FFFF00>{0}%</color>,true
magic_replenish_mp_rate,Hiệu quả hồi phục khí: <color=#FFFF00>{0}%</color>,true
magic_critdamage_amplify_p,Sát thương khi đánh hội tâm nhất kích: <color=#FFFF00>{0}%</color>,true
magic_critdamage_taken_p,Sát thương khi bị đánh hội tâm nhất kích: <color=#FFFF00>{0}%</color>,true
magic_replenish_blade_count,Hồi phục: <color=#FFFF00>{0} Đao Ý</color>,false
magic_append_max_blade_count,Tăng giới hạn: <color=#FFFF00>{0} Đao Ý</color>,false
magic_blade_base_damage_p,Sát thương: <color=#FFFF00>{0}%</color> lực đánh thường (sử dụng 1 Đao Ý)<br>Sát thương: <color=#FFFF00>{1}%</color> lực đánh thường (sử dụng 2 Đao Ý)<br>Sát thương: <color=#FFFF00>{2}%</color> lực đánh thường (sử dụng 3 Đao Ý),false
magic_add_evil_mark,Đánh dấu: <color=#FFFF00>{0} Ác Nhân Ấn Ký</color>,false
magic_evil_mark_base_damage_p,Sát thương: <color=#FFFF00>{0}%</color> lực đánh thường (1 Ác Nhân Ấn Ký)<br>Sát thương: <color=#FFFF00>{1}%</color> lực đánh thường (2 Ác Nhân Ấn Ký)<br>Sát thương: <color=#FFFF00>{2}%</color> lực đánh thường (3 Ác Nhân Ấn Ký),false
magic_damage_amplify_to_faction,Tăng sát thương với mục tiêu phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false
magic_damage_reduce_from_faction,Giảm sát thương gây ra bởi phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false
magic_damage_p_to_player,Tăng sát thương lên mục tiêu là <color=#00FF00>người chơi</color>: <color=#FFFF00>{0}%</color>,false
magic_damage_p_to_pet,"Tăng sát thương lên mục tiêu là <color=#00FF00>trân thú, trận pháp</color>: <color=#FFFF00>{0}%</color>",false
magic_damage_p_to_monster,Tăng sát thương lên mục tiêu là <color=#00FF00>quái vật</color>: <color=#FFFF00>{0}%</color>,false
magic_damage_p_to_boss,Tăng sát thương lên mục tiêu là <color=#00FF00>boss</color>: <color=#FFFF00>{0}%</color>,false
magic_damage_reduce_p_from_player,Giảm sát thương gây ra bởi <color=#00FF00>người chơi</color>: <color=#FFFF00>{0}%</color>,false
magic_damage_reduce_p_from_pet,"Giảm sát thương gây ra bởi <color=#00FF00>trân thú, trận pháp</color>: <color=#FFFF00>{0}%</color>",false
magic_damage_reduce_p_from_monster,Giảm sát thương gây ra bởi <color=#00FF00>quái vật</color>: <color=#FFFF00>{0}%</color>,false
magic_damage_reduce_p_from_boss,Giảm sát thương gây ra bởi <color=#00FF00>boss</color>: <color=#FFFF00>{0}%</color>,false
magic_directdamage_depends_on_iceatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% băng công</color>,false
magic_directdamage_depends_on_fireatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% hỏa công</color>,false
magic_directdamage_depends_on_lightatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% huyền công</color>,false
magic_directdamage_depends_on_poisonatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% độc công</color>,false
magic_directdamage_depends_on_physatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% ngoại công</color>,false
magic_directdamage_depends_on_magicatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% nội công</color>,false
magic_icedamage_p,Băng công: <color=#FFFF00>{0}%</color>,false
magic_firedamage_p,Hỏa công: <color=#FFFF00>{0}%</color>,false
magic_lightdamage_p,Huyền công: <color=#FFFF00>{0}%</color>,false
magic_poisondamage_p,Độc công: <color=#FFFF00>{0}%</color>,false
magic_physdamage_p,Ngoại công: <color=#FFFF00>{0}%</color>,false
magic_magicdamage_p,Nội công: <color=#FFFF00>{0}%</color>,false
magic_directdamage_depends_on_iceatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% băng công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% băng công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% băng công</color> (liên kích đoạn 3),false
magic_directdamage_depends_on_fireatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% hỏa công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% hỏa công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% hỏa công</color> (liên kích đoạn 3),false
magic_directdamage_depends_on_lightatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% huyền công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% huyền công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% huyền công</color> (liên kích đoạn 3),false
magic_directdamage_depends_on_poisonatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% độc công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% độc công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% độc công</color> (liên kích đoạn 3),false
magic_directdamage_depends_on_physatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% ngoại công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% ngoại công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% ngoại công</color> (liên kích đoạn 3),false
magic_directdamage_depends_on_magicatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% nội công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% nội công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% nội công</color> (liên kích đoạn 3),false
magic_icedamage_p_strike,Băng công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Băng công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Băng công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_firedamage_p_strike,Hỏa công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Hỏa công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Hỏa công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_lightdamage_p_strike,Huyền công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Huyền công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Huyền công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_poisondamage_p_strike,Độc công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Độc công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Độc công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_physdamage_p_strike,Ngoại công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Ngoại công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Ngoại công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_magicdamage_p_strike,Nội công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Nội công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Nội công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false
magic_break_hp,Triệt tiêu huyết: <color=#FFFF00>{0} điểm</color>,false
magic_break_hp_p,Triệt tiêu huyết: <color=#FFFF00>{0}%</color>,false
magic_break_mp,Triệt tiêu khí: <color=#FFFF00>{0} điểm</color>,false
magic_break_mp_p,Triệt tiêu khí: <color=#FFFF00>{0}%</color>,false
magic_break_rage,Triệt tiêu nộ khí: <color=#FFFF00>{0} điểm</color>,false
magic_break_rage_p,Triệt tiêu nộ khí: <color=#FFFF00>{0}%</color>,false
magic_pet_sacrify_hp_for_owner_hp,"Hy sinh <color=#FFFF00>{0}%</color> lượng máu hiện có, giúp phục hồi cho chủ nhân bằng <color=#FFFF00>{1}%</color> lượng máu tương ứng",false
magic_pet_sacrify_hp_for_owner_mp,"Hy sinh <color=#FFFF00>{0}%</color> lượng máu hiện có, giúp phục hồi cho chủ nhân bằng <color=#FFFF00>{1}%</color> lượng khí tương ứng",false
magic_pet_take_damage_for_owner,Chịu <color=#FFFF00>{0}%</color> sát thương chủ nhân phải nhận,false
magic_pet_take_state_for_owner,Có tỷ lệ <color=#FFFF00>{0}%</color> thay chủ nhân chịu hiệu quả xấu,false
magic_pet_reflect_with_attack,Tỷ lệ phản đòn khi bị tấn công: <color=#FFFF00>{0}%</color>,false
magic_pet_replenish_hp_base_on_damage_p,Phục hồi máu: <color=#FFFF00>{0}%</color> sát thương gây ra,false
magic_pet_reflect_damage_p,Phản đòn sát thương: <color=#FFFF00>{0}%</color>,false
magic_pet_reduce_damage_p,Giảm sát thương phải chịu: <color=#FFFF00>{0}%</color>,false
magic_pet_enemy_mp_break,Triệt tiêu khí của mục tiêu: <color=#FFFF00>{0}%</color> sát thương gây ra,false
magic_pet_enemy_rage_break,Triệt tiêu nộ khí của mục tiêu: <color=#FFFF00>{0}%</color> sát thương gây ra,false
magic_spirit_replenish_energy,Hồi phục năng lượng: <color=#FFFF00>{0} điểm</color>,false
magic_appendstate_immune_damage,Miễn dịch toàn bộ <color=#00FF00>sát thương</color>,false
magic_appendstate_immune_state,Miễn nhiễm <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_all,Miễn dịch <color=#00FF00>toàn bộ</color>,false
magic_appendstate_immune_immobile,Miễn dịch <color=#00FF00>định thân</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_paralyse,Miễn dịch <color=#00FF00>tê liệt</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_blind,Miễn dịch <color=#00FF00>thất minh</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_incapacitate,Miễn dịch <color=#00FF00>phong huyệt</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_encircle,Miễn dịch <color=#00FF00>vây khốn</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_silence,Miễn dịch <color=#00FF00>tản công</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_weakness,Miễn dịch <color=#00FF00>hư nhược</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_slow,Miễn dịch <color=#00FF00>giảm tốc</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_hpleak,Miễn dịch <color=#00FF00>mất máu liên tục</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immune_sleep,Miễn dịch <color=#00FF00>hôn mê</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_all,Hóa giải toàn bộ <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_random,Hóa giải ngẫu nhiên <color=#FFFF00>{0}</color> <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_immobile,Hóa giải <color=#00FF00>định thân</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_paralyse,Hóa giải <color=#00FF00>tê liệt</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_blind,Hóa giải <color=#00FF00>thất minh</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_incapacitate,Hóa giải <color=#00FF00>phong huyệt</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_encircle,Hóa giải <color=#00FF00>vây khốn</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_silence,Hóa giải <color=#00FF00>tản công</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_weakness,Hóa giải <color=#00FF00>hư nhược</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_slow,Hóa giải <color=#00FF00>giảm tốc</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_hpleak,Hóa giải <color=#00FF00>mất máu liên tục</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_removestate_sleep,Hóa giải <color=#00FF00>hôn mê</color> <color=#FFFF00>cấp thấp hơn</color>,false
magic_appendstate_immobile,Gây trạng thái <color=#00FF00>định thân</color>,false
magic_appendstate_paralyse,Gây trạng thái <color=#00FF00>tê liệt</color>,false
magic_appendstate_blind,Gây trạng thái <color=#00FF00>thất minh</color>,false
magic_appendstate_incapacitate,Gây trạng thái <color=#00FF00>phong huyệt</color>,false
magic_appendstate_encircle,Gây trạng thái <color=#00FF00>vây khốn</color>,false
magic_appendstate_silence,Gây trạng thái <color=#00FF00>tản công</color>,false
magic_appendstate_weakness,Gây trạng thái <color=#00FF00>hư nhược</color>,false
magic_appendstate_slow,Gây trạng thái <color=#00FF00>giảm tốc</color>,false
magic_appendstate_hpleak,Gây trạng thái <color=#00FF00>mất máu liên tục</color>,false
magic_appendstate_sleep,Gây trạng thái <color=#00FF00>hôn mê</color>,false
magic_statetime_taken_percent_immobile,Thời gian bị <color=#00FF00>định thân</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_paralyse,Thời gian bị <color=#00FF00>tê liệt</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_blind,Thời gian bị <color=#00FF00>thất minh</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_incapacitate,Thời gian bị <color=#00FF00>phong huyệt</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_encircle,Thời gian bị <color=#00FF00>vây khốn</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_silence,Thời gian bị <color=#00FF00>tản công</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_weakness,Thời gian bị <color=#00FF00>hư nhược</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_slow,Thời gian bị <color=#00FF00>giảm tốc</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_hpleak,Thời gian bị <color=#00FF00>mất máu liên tục</color>: <color=#FFFF00>{0}%</color>,true
magic_statetime_taken_percent_sleep,Thời gian bị <color=#00FF00>hôn mê</color>: <color=#FFFF00>{0}%</color>,true
magic_add_enchant_skill,,false
magic_cooldown,Thời gian phục hồi: <color=#FFFF00>{0}</color>,false
magic_cooldown_with_puppet,<color=#ffb3eb>Thời gian phục hồi khi có ly nhân: <color=#FFFF00>{0}</color></color>,false
magic_state_time,Thời gian duy trì: <color=#FFFF00>{0}</color>,false
magic_hp_cost,Tiêu hao máu: <color=#FFFF00>{0} điểm</color>,false
magic_hp_cost_p,Tiêu hao máu: <color=#FFFF00>{0}%</color>,false
magic_mana_cost,Tiêu hao khí: <color=#FFFF00>{0} điểm</color>,false
magic_mana_cost_p,Tiêu hao khí: <color=#FFFF00>{0}%</color>,false
magic_rage_cost,Tiêu hao nộ khí: <color=#FFFF00>{0} điểm</color>,false
magic_rage_cost_p,Tiêu hao nộ khí: <color=#FFFF00>{0}%</color>,false
magic_rage_cost_with_puppet,<color=#ffb3eb>Tiêu hao nộ khí khi có ly nhân: <color=#FFFF00>{0} điểm</color></color>,false
magic_rage_cost_p_with_puppet,<color=#ffb3eb>Tiêu hao nộ khí khi có ly nhân: <color=#FFFF00>{0}%</color></color>,false
magic_cost_all_strike,Tiêu hao toàn bộ liên kích,false
magic_spirit_energy_cost,Tiêu hao năng lượng: <color=#FFFF00>{0} điểm</color>,false
magic_datura_flower_cost,Tiêu hao: <color=#FFFF00>{0} Mạn Đà Hoa</color>,false
magic_blade_cost,Tiêu hao: <color=#FFFF00>{0} Đao Ý</color>,false
