ID,GroupID,Name,ActivatePercent,SkillIDs,ActivateType,ActivateValue,Cooldown
1008,1008,Phấn Lực Nhất Kích (Cấp 3),"{1,20}",200801;200802;200803,HitTarget,-1,0
1009,1009,Phấn Lực Nhất Kích (Cấp 4),"{1,20}",200901;200902;200903,HitTarget,-1,0
1010,1010,Phấn Lực Nhất Kích (Cấp 5),"{1,20}",201001;201002;201003,HitTarget,-1,0
1011,1011,Phấn Lực Nhất Kích (Cấp 6),"{1,20}",201101;201102;201103,HitTarget,-1,0
1012,1012,Tinh Diệu Nhất Kích (Cấp 1),"{1,20}",201201;201202;201203,HitTarget,-1,0
1013,1013,Tinh Diệu Nhất Kích (Cấp 2),"{1,20}",201301;201302;201303,HitTarget,-1,0
1014,1014,Tinh Diệu Nhất Kích (Cấp 3),"{1,20}",201401;201402;201403,HitTarget,-1,0
1015,1015,Tinh Diệu Nhất Kích (Cấp 4),"{1,20}",201501;201502;201503,HitTarget,-1,0
1016,1016,Tinh Diệu Nhất Kích (Cấp 5),"{1,20}",201601;201602;201603,HitTarget,-1,0
1017,1017,Tinh Diệu Nhất Kích (Cấp 6),"{1,20}",201701;201702;201703,HitTarget,-1,0
1018,1018,Tuyệt Diệu Nhất Kích (Cấp 1),"{1,20}",201801;201802;201803,HitTarget,-1,0
1019,1019,Tuyệt Diệu Nhất Kích (Cấp 2),"{1,20}",201901;201902;201903,HitTarget,-1,0
1020,1020,Tuyệt Diệu Nhất Kích (Cấp 3),"{1,20}",202001;202002;202003,HitTarget,-1,0
1021,1021,Tuyệt Diệu Nhất Kích (Cấp 4),"{1,20}",202101;202102;202103,HitTarget,-1,0
1022,1022,Tuyệt Diệu Nhất Kích (Cấp 5),"{1,20}",202201;202202;202203,HitTarget,-1,0
1023,1023,Tuyệt Diệu Nhất Kích (Cấp 6),"{1,20}",202301;202302;202303,HitTarget,-1,0
1024,1024,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 1),"{1,20}",202401;202402;202403,HitTarget,-1,0
1025,1025,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 2),"{1,20}",202501;202502;202503,HitTarget,-1,0
1026,1026,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 1),"{1,20}",202601;202602;202603,HitTarget,-1,0
1027,1027,Luyện Hồn - Phấn Lực Nhất Kích (Cấp 2),"{1,20}",202701;202702;202703,HitTarget,-1,0
1028,1028,Luyện Hồn - Tinh Diệu Nhất Kích (Cấp 1),"{1,20}",202801;202802;202803,HitTarget,-1,0
1029,1029,Luyện Hồn - Tinh Diệu Nhất Kích (Cấp 2),"{1,20}",202901;202902;202903,HitTarget,-1,0
1030,1030,Luyện Hồn - Tuyệt Diệu Nhất Kích (Cấp 1),"{1,20}",203001;203002;203003,HitTarget,-1,0
1031,1031,Luyện Hồn - Tuyệt Diệu Nhất Kích (Cấp 2),"{1,20}",203101;203102;203103,HitTarget,-1,0
1032,1032,Hấp Huyết Nhất Kích,"{1,20}",203201,HitTarget,-1,0
1033,1033,Hấp Khí Nhất Kích,"{1,20}",203301,HitTarget,-1,0
1034,1034,Phá Trán Nhất Kích,"{1,20}",203401,HitTarget,-1,0
1035,1035,Cương Ngạnh Nhất Kích,"{1,20}",203501,HitTarget,-1,0
1036,1036,Hư Nhược Nhất Kích,"{1,20}",203601,HitTarget,-1,0
1037,1037,Đả Nộ Nhất Kích,"{1,20}",203701,HitTarget,-1,0
1038,1038,Thông Linh - Hấp Huyết Nhất Kích,"{1,20}",203801,HitTarget,-1,0
1039,1039,Thông Linh - Hấp Khí Nhất Kích,"{1,20}",203901,HitTarget,-1,0
1040,1040,Thông Linh - Phá Trán Nhất Kích,"{1,20}",204001,HitTarget,-1,0
1041,1041,Thông Linh - Cương Ngạnh Nhất Kích,"{1,20}",204101,HitTarget,-1,0
1042,1042,Thông Linh - Hư Nhược Nhất Kích,"{1,20}",204201,HitTarget,-1,0
1043,1043,Thông Linh - Đả Nộ Nhất Kích,"{1,20}",204301,HitTarget,-1,0
2000,2000,Trùng Lâu Giới,"{1,2}",300001,HitTarget,-1,0
2001,2001,Trùng Lâu Ngọc,"{1,2}",300101,HitTarget,-1,0
2002,2002,Trùng Lâu Liên,"{1,2}",300301,HitTarget,-1,0
2003,2003,Trùng Lâu Đới,"{1,2}",300901;300902,HitTarget,-1,0
55001,55000,Hàn Băng Hóa Kinh (Cấp 1),"{1,100}",5000011,HitTarget,-1,30000
55002,55000,Hàn Băng Hóa Kinh (Cấp 2),"{1,100}",5000012,HitTarget,-1,30000
55003,55000,Hàn Băng Hóa Kinh (Cấp 3),"{1,100}",5000013,HitTarget,-1,30000
55004,55000,Hàn Băng Hóa Kinh (Cấp 4),"{1,100}",5000014,HitTarget,-1,30000
55005,55000,Hàn Băng Hóa Kinh (Cấp 5),"{1,100}",5000015,HitTarget,-1,30000
55006,55000,Hàn Băng Hóa Kinh (Cấp 6),"{1,100}",5000016,HitTarget,-1,30000
55007,55000,Hàn Băng Hóa Kinh (Cấp 7),"{1,100}",5000017,HitTarget,-1,30000
55008,55000,Hàn Băng Hóa Kinh (Cấp 8),"{1,100}",5000018,HitTarget,-1,30000
55009,55000,Hàn Băng Hóa Kinh (Cấp 9),"{1,100}",5000019,HitTarget,-1,30000
55011,55000,Viêm Khí Hóa Kinh (Cấp 1),"{1,100}",5001011,HitTarget,-1,30000
55012,55000,Viêm Khí Hóa Kinh (Cấp 2),"{1,100}",5001012,HitTarget,-1,30000
55013,55000,Viêm Khí Hóa Kinh (Cấp 3),"{1,100}",5001013,HitTarget,-1,30000
55014,55000,Viêm Khí Hóa Kinh (Cấp 4),"{1,100}",5001014,HitTarget,-1,30000
55015,55000,Viêm Khí Hóa Kinh (Cấp 5),"{1,100}",5001015,HitTarget,-1,30000
55016,55000,Viêm Khí Hóa Kinh (Cấp 6),"{1,100}",5001016,HitTarget,-1,30000
55017,55000,Viêm Khí Hóa Kinh (Cấp 7),"{1,100}",5001017,HitTarget,-1,30000
55018,55000,Viêm Khí Hóa Kinh (Cấp 8),"{1,100}",5001018,HitTarget,-1,30000
55019,55000,Viêm Khí Hóa Kinh (Cấp 9),"{1,100}",5001019,HitTarget,-1,30000
55021,55000,Huyền Pháp Hóa Kinh (Cấp 1),"{1,100}",5002011,HitTarget,-1,30000
55022,55000,Huyền Pháp Hóa Kinh (Cấp 2),"{1,100}",5002012,HitTarget,-1,30000
55023,55000,Huyền Pháp Hóa Kinh (Cấp 3),"{1,100}",5002013,HitTarget,-1,30000
55024,55000,Huyền Pháp Hóa Kinh (Cấp 4),"{1,100}",5002014,HitTarget,-1,30000
55025,55000,Huyền Pháp Hóa Kinh (Cấp 5),"{1,100}",5002015,HitTarget,-1,30000
55026,55000,Huyền Pháp Hóa Kinh (Cấp 6),"{1,100}",5002016,HitTarget,-1,30000
55027,55000,Huyền Pháp Hóa Kinh (Cấp 7),"{1,100}",5002017,HitTarget,-1,30000
55028,55000,Huyền Pháp Hóa Kinh (Cấp 8),"{1,100}",5002018,HitTarget,-1,30000
55029,55000,Huyền Pháp Hóa Kinh (Cấp 9),"{1,100}",5002019,HitTarget,-1,30000
55031,55000,Bách Độc Hóa Kinh (Cấp 1),"{1,100}",5003011,HitTarget,-1,30000
55032,55000,Bách Độc Hóa Kinh (Cấp 2),"{1,100}",5003012,HitTarget,-1,30000
55033,55000,Bách Độc Hóa Kinh (Cấp 3),"{1,100}",5003013,HitTarget,-1,30000
55034,55000,Bách Độc Hóa Kinh (Cấp 4),"{1,100}",5003014,HitTarget,-1,30000
55035,55000,Bách Độc Hóa Kinh (Cấp 5),"{1,100}",5003015,HitTarget,-1,30000
55036,55000,Bách Độc Hóa Kinh (Cấp 6),"{1,100}",5003016,HitTarget,-1,30000
55037,55000,Bách Độc Hóa Kinh (Cấp 7),"{1,100}",5003017,HitTarget,-1,30000
55038,55000,Bách Độc Hóa Kinh (Cấp 8),"{1,100}",5003018,HitTarget,-1,30000
55039,55000,Bách Độc Hóa Kinh (Cấp 9),"{1,100}",5003019,HitTarget,-1,30000
55041,55000,Liễm Thần Quan Quang (Cấp 1),"{1,100}",5004011,HitTarget,-1,30000
55042,55000,Liễm Thần Quan Quang (Cấp 2),"{1,100}",5004012,HitTarget,-1,30000
55043,55000,Liễm Thần Quan Quang (Cấp 3),"{1,100}",5004013,HitTarget,-1,30000
55044,55000,Liễm Thần Quan Quang (Cấp 4),"{1,100}",5004014,HitTarget,-1,30000
55045,55000,Liễm Thần Quan Quang (Cấp 5),"{1,100}",5004015,HitTarget,-1,30000
55046,55000,Liễm Thần Quan Quang (Cấp 6),"{1,100}",5004016,HitTarget,-1,30000
55047,55000,Liễm Thần Quan Quang (Cấp 7),"{1,100}",5004017,HitTarget,-1,30000
55048,55000,Liễm Thần Quan Quang (Cấp 8),"{1,100}",5004018,HitTarget,-1,30000
55049,55000,Liễm Thần Quan Quang (Cấp 9),"{1,100}",5004019,HitTarget,-1,30000
55051,55000,Bằng Hư Ngự Phong (Cấp 1),"{1,100}",5005011,HitTarget,-1,30000
55052,55000,Bằng Hư Ngự Phong (Cấp 2),"{1,100}",5005012,HitTarget,-1,30000
55053,55000,Bằng Hư Ngự Phong (Cấp 3),"{1,100}",5005013,HitTarget,-1,30000
55054,55000,Bằng Hư Ngự Phong (Cấp 4),"{1,100}",5005014,HitTarget,-1,30000
55055,55000,Bằng Hư Ngự Phong (Cấp 5),"{1,100}",5005015,HitTarget,-1,30000
55056,55000,Bằng Hư Ngự Phong (Cấp 6),"{1,100}",5005016,HitTarget,-1,30000
55057,55000,Bằng Hư Ngự Phong (Cấp 7),"{1,100}",5005017,HitTarget,-1,30000
55058,55000,Bằng Hư Ngự Phong (Cấp 8),"{1,100}",5005018,HitTarget,-1,30000
55059,55000,Bằng Hư Ngự Phong (Cấp 9),"{1,100}",5005019,HitTarget,-1,30000
55061,55000,Tứ Tượng Quy Nhất - Băng (Cấp 1),"{1,100}",5006011,HitTarget,-1,30000
55062,55000,Tứ Tượng Quy Nhất - Băng (Cấp 2),"{1,100}",5006012,HitTarget,-1,30000
55063,55000,Tứ Tượng Quy Nhất - Băng (Cấp 3),"{1,100}",5006013,HitTarget,-1,30000
55064,55000,Tứ Tượng Quy Nhất - Băng (Cấp 4),"{1,100}",5006014,HitTarget,-1,30000
55065,55000,Tứ Tượng Quy Nhất - Băng (Cấp 5),"{1,100}",5006015,HitTarget,-1,30000
55066,55000,Tứ Tượng Quy Nhất - Băng (Cấp 6),"{1,100}",5006016,HitTarget,-1,30000
55067,55000,Tứ Tượng Quy Nhất - Băng (Cấp 7),"{1,100}",5006017,HitTarget,-1,30000
55068,55000,Tứ Tượng Quy Nhất - Băng (Cấp 8),"{1,100}",5006018,HitTarget,-1,30000
55069,55000,Tứ Tượng Quy Nhất - Băng (Cấp 9),"{1,100}",5006019,HitTarget,-1,30000
55071,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 1),"{1,100}",5007011,HitTarget,-1,30000
55072,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 2),"{1,100}",5007012,HitTarget,-1,30000
55073,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 3),"{1,100}",5007013,HitTarget,-1,30000
55074,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 4),"{1,100}",5007014,HitTarget,-1,30000
55075,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 5),"{1,100}",5007015,HitTarget,-1,30000
55076,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 6),"{1,100}",5007016,HitTarget,-1,30000
55077,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 7),"{1,100}",5007017,HitTarget,-1,30000
55078,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 8),"{1,100}",5007018,HitTarget,-1,30000
55079,55000,Tứ Tượng Quy Nhất - Hỏa (Cấp 9),"{1,100}",5007019,HitTarget,-1,30000
55081,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 1),"{1,100}",5008011,HitTarget,-1,30000
55082,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 2),"{1,100}",5008012,HitTarget,-1,30000
55083,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 3),"{1,100}",5008013,HitTarget,-1,30000
55084,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 4),"{1,100}",5008014,HitTarget,-1,30000
55085,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 5),"{1,100}",5008015,HitTarget,-1,30000
55086,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 6),"{1,100}",5008016,HitTarget,-1,30000
55087,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 7),"{1,100}",5008017,HitTarget,-1,30000
55088,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 8),"{1,100}",5008018,HitTarget,-1,30000
55089,55000,Tứ Tượng Quy Nhất - Huyền (Cấp 9),"{1,100}",5008019,HitTarget,-1,30000
55091,55000,Tứ Tượng Quy Nhất - Độc (Cấp 1),"{1,100}",5009011,HitTarget,-1,30000
55092,55000,Tứ Tượng Quy Nhất - Độc (Cấp 2),"{1,100}",5009012,HitTarget,-1,30000
55093,55000,Tứ Tượng Quy Nhất - Độc (Cấp 3),"{1,100}",5009013,HitTarget,-1,30000
55094,55000,Tứ Tượng Quy Nhất - Độc (Cấp 4),"{1,100}",5009014,HitTarget,-1,30000
55095,55000,Tứ Tượng Quy Nhất - Độc (Cấp 5),"{1,100}",5009015,HitTarget,-1,30000
55096,55000,Tứ Tượng Quy Nhất - Độc (Cấp 6),"{1,100}",5009016,HitTarget,-1,30000
55097,55000,Tứ Tượng Quy Nhất - Độc (Cấp 7),"{1,100}",5009017,HitTarget,-1,30000
55098,55000,Tứ Tượng Quy Nhất - Độc (Cấp 8),"{1,100}",5009018,HitTarget,-1,30000
55099,55000,Tứ Tượng Quy Nhất - Độc (Cấp 9),"{1,100}",5009019,HitTarget,-1,30000
55101,55000,Khí Định Thần Nhàn (Cấp 1),"{1,100}",5010011,HitTarget,-1,30000
55102,55000,Khí Định Thần Nhàn (Cấp 2),"{1,100}",5010012,HitTarget,-1,30000
55103,55000,Khí Định Thần Nhàn (Cấp 3),"{1,100}",5010013,HitTarget,-1,30000
55104,55000,Khí Định Thần Nhàn (Cấp 4),"{1,100}",5010014,HitTarget,-1,30000
55105,55000,Khí Định Thần Nhàn (Cấp 5),"{1,100}",5010015,HitTarget,-1,30000
55106,55000,Khí Định Thần Nhàn (Cấp 6),"{1,100}",5010016,HitTarget,-1,30000
55107,55000,Khí Định Thần Nhàn (Cấp 7),"{1,100}",5010017,HitTarget,-1,30000
55108,55000,Khí Định Thần Nhàn (Cấp 8),"{1,100}",5010018,HitTarget,-1,30000
55109,55000,Khí Định Thần Nhàn (Cấp 9),"{1,100}",5010019,HitTarget,-1,30000
55111,55000,Lực Phá Càn Khôn (Cấp 1),"{1,100}",5011011,HitTarget,-1,30000
55112,55000,Lực Phá Càn Khôn (Cấp 2),"{1,100}",5011012,HitTarget,-1,30000
55113,55000,Lực Phá Càn Khôn (Cấp 3),"{1,100}",5011013,HitTarget,-1,30000
55114,55000,Lực Phá Càn Khôn (Cấp 4),"{1,100}",5011014,HitTarget,-1,30000
55115,55000,Lực Phá Càn Khôn (Cấp 5),"{1,100}",5011015,HitTarget,-1,30000
55116,55000,Lực Phá Càn Khôn (Cấp 6),"{1,100}",5011016,HitTarget,-1,30000
55117,55000,Lực Phá Càn Khôn (Cấp 7),"{1,100}",5011017,HitTarget,-1,30000
55118,55000,Lực Phá Càn Khôn (Cấp 8),"{1,100}",5011018,HitTarget,-1,30000
55119,55000,Lực Phá Càn Khôn (Cấp 9),"{1,100}",5011019,HitTarget,-1,30000
55121,55000,Canh Khí Hộ Thể (Cấp 1),"{1,100}",5012011,HitTarget,-1,30000
55122,55000,Canh Khí Hộ Thể (Cấp 2),"{1,100}",5012012,HitTarget,-1,30000
55123,55000,Canh Khí Hộ Thể (Cấp 3),"{1,100}",5012013,HitTarget,-1,30000
55124,55000,Canh Khí Hộ Thể (Cấp 4),"{1,100}",5012014,HitTarget,-1,30000
55125,55000,Canh Khí Hộ Thể (Cấp 5),"{1,100}",5012015,HitTarget,-1,30000
55126,55000,Canh Khí Hộ Thể (Cấp 6),"{1,100}",5012016,HitTarget,-1,30000
55127,55000,Canh Khí Hộ Thể (Cấp 7),"{1,100}",5012017,HitTarget,-1,30000
55128,55000,Canh Khí Hộ Thể (Cấp 8),"{1,100}",5012018,HitTarget,-1,30000
55129,55000,Canh Khí Hộ Thể (Cấp 9),"{1,100}",5012019,HitTarget,-1,30000
55131,55000,Tán Hồn Trận Thuật (Cấp 1),"{1,100}",5013011,HitTarget,-1,30000
55132,55000,Tán Hồn Trận Thuật (Cấp 2),"{1,100}",5013012,HitTarget,-1,30000
55133,55000,Tán Hồn Trận Thuật (Cấp 3),"{1,100}",5013013,HitTarget,-1,30000
55134,55000,Tán Hồn Trận Thuật (Cấp 4),"{1,100}",5013014,HitTarget,-1,30000
55135,55000,Tán Hồn Trận Thuật (Cấp 5),"{1,100}",5013015,HitTarget,-1,30000
55136,55000,Tán Hồn Trận Thuật (Cấp 6),"{1,100}",5013016,HitTarget,-1,30000
55137,55000,Tán Hồn Trận Thuật (Cấp 7),"{1,100}",5013017,HitTarget,-1,30000
55138,55000,Tán Hồn Trận Thuật (Cấp 8),"{1,100}",5013018,HitTarget,-1,30000
55139,55000,Tán Hồn Trận Thuật (Cấp 9),"{1,100}",5013019,HitTarget,-1,30000
55141,55000,Khí Xung Tiêu Hán (Cấp 1),"{1,100}",5014011,HitTarget,-1,30000
55142,55000,Khí Xung Tiêu Hán (Cấp 2),"{1,100}",5014012,HitTarget,-1,30000
55143,55000,Khí Xung Tiêu Hán (Cấp 3),"{1,100}",5014013,HitTarget,-1,30000
55144,55000,Khí Xung Tiêu Hán (Cấp 4),"{1,100}",5014014,HitTarget,-1,30000
55145,55000,Khí Xung Tiêu Hán (Cấp 5),"{1,100}",5014015,HitTarget,-1,30000
55146,55000,Khí Xung Tiêu Hán (Cấp 6),"{1,100}",5014016,HitTarget,-1,30000
55147,55000,Khí Xung Tiêu Hán (Cấp 7),"{1,100}",5014017,HitTarget,-1,30000
55148,55000,Khí Xung Tiêu Hán (Cấp 8),"{1,100}",5014018,HitTarget,-1,30000
55149,55000,Khí Xung Tiêu Hán (Cấp 9),"{1,100}",5014019,HitTarget,-1,30000
55151,55000,Thập Tam Thái Bảo (Cấp 1),"{1,100}",5015011,HitTarget,-1,30000
55152,55000,Thập Tam Thái Bảo (Cấp 2),"{1,100}",5015012,HitTarget,-1,30000
55153,55000,Thập Tam Thái Bảo (Cấp 3),"{1,100}",5015013,HitTarget,-1,30000
55154,55000,Thập Tam Thái Bảo (Cấp 4),"{1,100}",5015014,HitTarget,-1,30000
55155,55000,Thập Tam Thái Bảo (Cấp 5),"{1,100}",5015015,HitTarget,-1,30000
55156,55000,Thập Tam Thái Bảo (Cấp 6),"{1,100}",5015016,HitTarget,-1,30000
55157,55000,Thập Tam Thái Bảo (Cấp 7),"{1,100}",5015017,HitTarget,-1,30000
55158,55000,Thập Tam Thái Bảo (Cấp 8),"{1,100}",5015018,HitTarget,-1,30000
55159,55000,Thập Tam Thái Bảo (Cấp 9),"{1,100}",5015019,HitTarget,-1,30000
55161,55000,Dục Huyết Tàn Thương (Cấp 1),"{1,100}",5016011,HitTarget,-1,30000
55162,55000,Dục Huyết Tàn Thương (Cấp 2),"{1,100}",5016012,HitTarget,-1,30000
55163,55000,Dục Huyết Tàn Thương (Cấp 3),"{1,100}",5016013,HitTarget,-1,30000
55164,55000,Dục Huyết Tàn Thương (Cấp 4),"{1,100}",5016014,HitTarget,-1,30000
55165,55000,Dục Huyết Tàn Thương (Cấp 5),"{1,100}",5016015,HitTarget,-1,30000
55166,55000,Dục Huyết Tàn Thương (Cấp 6),"{1,100}",5016016,HitTarget,-1,30000
55167,55000,Dục Huyết Tàn Thương (Cấp 7),"{1,100}",5016017,HitTarget,-1,30000
55168,55000,Dục Huyết Tàn Thương (Cấp 8),"{1,100}",5016018,HitTarget,-1,30000
55169,55000,Dục Huyết Tàn Thương (Cấp 9),"{1,100}",5016019,HitTarget,-1,30000
56001,55000,Vu Cổ Kỳ Thuật (Cấp 1),"{1,100}",5017011,HitTarget,-1,65000
56002,55000,Vu Cổ Kỳ Thuật (Cấp 2),"{1,100}",5017012,HitTarget,-1,60625
56003,55000,Vu Cổ Kỳ Thuật (Cấp 3),"{1,100}",5017013,HitTarget,-1,56250
56004,55000,Vu Cổ Kỳ Thuật (Cấp 4),"{1,100}",5017014,HitTarget,-1,51875
56005,55000,Vu Cổ Kỳ Thuật (Cấp 5),"{1,100}",5017015,HitTarget,-1,47500
56006,55000,Vu Cổ Kỳ Thuật (Cấp 6),"{1,100}",5017016,HitTarget,-1,43125
56007,55000,Vu Cổ Kỳ Thuật (Cấp 7),"{1,100}",5017017,HitTarget,-1,38750
56008,55000,Vu Cổ Kỳ Thuật (Cấp 8),"{1,100}",5017018,HitTarget,-1,34375
56009,55000,Vu Cổ Kỳ Thuật (Cấp 9),"{1,100}",5017019,HitTarget,-1,30000
56101,55000,Hoành Hành Vô Kỵ (Cấp 1),"{1,100}",5018011,HitTarget,-1,65000
56102,55000,Hoành Hành Vô Kỵ (Cấp 2),"{1,100}",5018012,HitTarget,-1,60625
56103,55000,Hoành Hành Vô Kỵ (Cấp 3),"{1,100}",5018013,HitTarget,-1,56250
56104,55000,Hoành Hành Vô Kỵ (Cấp 4),"{1,100}",5018014,HitTarget,-1,51875
56105,55000,Hoành Hành Vô Kỵ (Cấp 5),"{1,100}",5018015,HitTarget,-1,47500
56106,55000,Hoành Hành Vô Kỵ (Cấp 6),"{1,100}",5018016,HitTarget,-1,43125
56107,55000,Hoành Hành Vô Kỵ (Cấp 7),"{1,100}",5018017,HitTarget,-1,38750
56108,55000,Hoành Hành Vô Kỵ (Cấp 8),"{1,100}",5018018,HitTarget,-1,34375
56109,55000,Hoành Hành Vô Kỵ (Cấp 9),"{1,100}",5018019,HitTarget,-1,30000
55191,55000,Hư Bất Thụ Bổ (Cấp 1),"{1,100}",5019011,HitTarget,-1,30000
55192,55000,Hư Bất Thụ Bổ (Cấp 2),"{1,100}",5019012,HitTarget,-1,30000
55193,55000,Hư Bất Thụ Bổ (Cấp 3),"{1,100}",5019013,HitTarget,-1,30000
55194,55000,Hư Bất Thụ Bổ (Cấp 4),"{1,100}",5019014,HitTarget,-1,30000
55195,55000,Hư Bất Thụ Bổ (Cấp 5),"{1,100}",5019015,HitTarget,-1,30000
55196,55000,Hư Bất Thụ Bổ (Cấp 6),"{1,100}",5019016,HitTarget,-1,30000
55197,55000,Hư Bất Thụ Bổ (Cấp 7),"{1,100}",5019017,HitTarget,-1,30000
55198,55000,Hư Bất Thụ Bổ (Cấp 8),"{1,100}",5019018,HitTarget,-1,30000
55199,55000,Hư Bất Thụ Bổ (Cấp 9),"{1,100}",5019019,HitTarget,-1,30000
56201,55000,Mục Huyền Thần Mê (Cấp 1),"{1,100}",5020011,HitTarget,-1,30000
