RowIndex,Tag,ID,Name,Icon,TypeDesc,TargetType,ItemLevel,RequireLevel,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ProgressTime,ProgressTick,MaxUsageTimesPerDay,Text,ChildrenJSON
13,Medicine,30101013,Bao Tử,Food_6,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""88,-1,-1""}}]"
14,Medicine,30101014,Bì Đản Chúc,Food2_5,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""155,-1,-1""}}]"
15,Medicine,30101015,Bát Bảo Chúc,Food2_6,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""223,-1,-1""}}]"
16,Medicine,30101016,Lạp Bát Chúc,Food_7,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""289,-1,-1""}}]"
17,Medicine,30101017,Giao Tử,Food_8,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""357,-1,-1""}}]"
18,Medicine,30101018,Qua Kiểu Mỹ Tiên,Food_9,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""424,-1,-1""}}]"
19,Medicine,30101019,La Diện,Food_9,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""492,-1,-1""}}]"
20,Medicine,30101020,Phát Cao,Food2_4,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""559,-1,-1""}}]"
21,Medicine,30101021,Mễ Cao,Food2_13,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""626,-1,-1""}}]"
22,Medicine,30101022,Hạnh Đào Tô,Food_13,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""693,-1,-1""}}]"
23,Medicine,30101023,Phấn Bì,Food_9,Thực phẩm,Self,11,60,1528,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""760,-1,-1""}}]"
24,Medicine,30101024,Oa Oa Đầu,Food_3,Thực phẩm,Self,12,60,1744,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""827,-1,-1""}}]"
25,Medicine,30101031,Bạch Phong Cao,Food_1,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""81,-1,-1""}}]"
26,Medicine,30101032,Ngưu Hoàn Phấn,Food_9,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""182,-1,-1""}}]"
27,Medicine,30101033,Hạnh Đào Lạc,Food_3,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""284,-1,-1""}}]"
28,Medicine,30101034,Kim Tiền Ma Hoa,Food_16,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""385,-1,-1""}}]"
29,Medicine,30101035,Xuân Bính,Food2_4,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""486,-1,-1""}}]"
30,Medicine,30101036,Đậu Muộn Phạn,Food_2,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""589,-1,-1""}}]"
31,Medicine,30101037,Trùng Dương Cao,Food2_13,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""692,-1,-1""}}]"
32,Medicine,30101038,Băng Hoa Cầu,Food2_1,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""795,-1,-1""}}]"
33,Medicine,30101039,Ba Kê,Food_11,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""897,-1,-1""}}]"
34,Medicine,30101040,Vân Thuẫn Diện,Food_9,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1000,-1,-1""}}]"
35,Medicine,30101041,Tang Cúc Chúc,Food_7,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""20,-1,-1""}}]"
36,Medicine,30101042,Sơn Dược Chúc,Food2_5,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""43,-1,-1""}}]"
37,Medicine,30101043,Tùng Tử Chúc,Food2_5,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""67,-1,-1""}}]"
38,Medicine,30101044,Hắc Mễ Chúc,Food_7,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""90,-1,-1""}}]"
39,Medicine,30101045,Hồ Đào Chúc,Food_7,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""114,-1,-1""}}]"
40,Medicine,30101046,Hải Tiên Chúc,Food2_5,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""138,-1,-1""}}]"
41,Medicine,30101047,Sa Sâm Ngân Nhĩ Chúc,Food_7,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""162,-1,-1""}}]"
42,Medicine,30101048,Xuyên Bối Bách Hợp Chúc,Food_7,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""186,-1,-1""}}]"
43,Medicine,30101049,Sinh Địa Mạch Đông Chúc,Food2_5,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""210,-1,-1""}}]"
44,Medicine,30101050,Bách Quả Dưỡng Sinh Chúc,Food_7,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""234,-1,-1""}}]"
45,Medicine,30101051,Dầu tiền,Food_13,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""240,-1,-1""}}]"
46,Medicine,30101052,Khảo Ngọc Mễ,Food3_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""421,-1,-1""}}]"
47,Medicine,30101053,Cẩm Sắc Sao Phạn,Food2_6,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""602,-1,-1""}}]"
48,Medicine,30101054,Bánh khoai,Food2_4,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""783,-1,-1""}}]"
49,Medicine,30101055,Nhu Mễ Cao,Food2_8,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""964,-1,-1""}}]"
50,Medicine,30101056,Hương Cô Thái Bao,Food_6,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1145,-1,-1""}}]"
51,Medicine,30101057,Tàm Đậu Ngân Ty Cao,Food2_6,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1326,-1,-1""}}]"
52,Medicine,30101058,Cam Thảo Ý Mễ Bính,Food_3,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1507,-1,-1""}}]"
53,Medicine,30101059,Bách Vị Thanh Ti Diện,Food_9,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1688,-1,-1""}}]"
54,Medicine,30101060,Tiêu Hồn Ý Vị Cao,Food2_6,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1869,-1,-1""}}]"
55,Medicine,30101061,Lục Đậu Cao,Food_3,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""114,-1,-1""}}]"
56,Medicine,30101062,Chi Ma Bính,Food2_3,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""200,-1,-1""}}]"
57,Medicine,30101063,Dầu Diện Cân,Food2_5,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""286,-1,-1""}}]"
58,Medicine,30101064,Hạnh Nhân Tô,Food_3,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""372,-1,-1""}}]"
59,Medicine,30101065,Thanh Minh Ba,Food_13,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""459,-1,-1""}}]"
60,Medicine,30101066,Ba Tiêu Ham Phạn,Food2_5,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""546,-1,-1""}}]"
61,Medicine,30101067,Hoàng Dầu Phát Cao,Food2_4,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""632,-1,-1""}}]"
62,Medicine,30101068,Tứ Bảo Chi Ma Chúc,Food2_5,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""719,-1,-1""}}]"
63,Medicine,30101069,Ty Qua Diện Tuyến Thang,Food_7,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""805,-1,-1""}}]"
64,Medicine,30101070,Bánh Thiên Đao Tô Tuyết,Food2_4,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""891,-1,-1""}}]"
65,Medicine,30101071,Nhục Ty Hương Cô,Food2_10,Thực phẩm,Self,1,1,54,13,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""187,-1,-1""}}]"
66,Medicine,30101072,Cô Thương Nhục,Food_2,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""327,-1,-1""}}]"
67,Medicine,30101073,Khiếu Hóa Kê,Food_11,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""468,-1,-1""}}]"
68,Medicine,30101074,Kiêu Chấp Ngư Phiến,Food_12,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""609,-1,-1""}}]"
69,Medicine,30101075,Mã Nghĩa Thượng Thụ,Food_2,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""750,-1,-1""}}]"
70,Medicine,30101076,Bát Trân Thuẫn Kê Thang,Food2_6,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""891,-1,-1""}}]"
71,Medicine,30101077,Ô Kê Thang,Food2_6,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1031,-1,-1""}}]"
72,Medicine,30101078,Bão Tiêu Phụng Trảo,Meet_2,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1172,-1,-1""}}]"
73,Medicine,30101079,Ngư Phúc Dương Nhục,Meet_9,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1313,-1,-1""}}]"
74,Medicine,30101080,Triều Châu Thiện Bao,Food2_5,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1453,-1,-1""}}]"
75,Medicine,30101081,Sinh Thái Nhục Tùng,Food_2,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""88,-1,-1""}}]"
76,Medicine,30101082,Tương Ngưu Nhục,Meet_4,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""155,-1,-1""}}]"
77,Medicine,30101083,Tạc Hoàng Hoa Ngư,Food_10,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""223,-1,-1""}}]"
78,Medicine,30101084,Quan Thang Bao,Food_6,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""289,-1,-1""}}]"
79,Medicine,30101085,Lạp Thiêu Hương Loa,Food_5,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""357,-1,-1""}}]"
80,Medicine,30101086,Phấn Chưng Áp Nhục,Meet_2,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""424,-1,-1""}}]"
81,Medicine,30101087,Hà Bao Tức Ngư,Food_12,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""492,-1,-1""}}]"
82,Medicine,30101088,Hào Dầu Ngưu Nhục,Meet_3,Thực phẩm,Self,8,60,898,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""559,-1,-1""}}]"
83,Medicine,30101089,Hồng Muộn Ngưu Nạm,Food_2,Thực phẩm,Self,9,60,1096,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""626,-1,-1""}}]"
84,Medicine,30101090,Túy Phi Bạch Nhục,Meet_12,Thực phẩm,Self,10,60,1312,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""693,-1,-1""}}]"
85,Medicine,30101091,Phao bính,Food2_3,Thực phẩm,Self,1,1,54,1,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""240,-1,-1""}}]"
86,Medicine,30101092,Hồng tảo phạn,Food2_5,Thực phẩm,Self,2,10,144,36,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""421,-1,-1""}}]"
87,Medicine,30101093,Thổ đậu phạn,Food2_5,Thực phẩm,Self,3,20,260,65,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""602,-1,-1""}}]"
88,Medicine,30101094,Hương mễ phạn,Food_7,Thực phẩm,Self,4,30,401,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""783,-1,-1""}}]"
89,Medicine,30101095,Sơn quỳ phạn,Food_7,Thực phẩm,Self,5,40,568,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""964,-1,-1""}}]"
90,Medicine,30101096,Đậu khấu phạn,Food2_5,Thực phẩm,Self,6,50,762,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1145,-1,-1""}}]"
91,Medicine,30101097,Hồng hoa mễ phạn,Food_7,Thực phẩm,Self,7,60,981,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1326,-1,-1""}}]"
92,Medicine,30101098,Thổ đậu tiên bính,Food2_3,Thực phẩm,Self,8,60,1226,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1507,-1,-1""}}]"
93,Medicine,30101099,Du tiên thổ đậu bính,Food_15,Thực phẩm,Self,9,60,1497,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1688,-1,-1""}}]"
94,Medicine,30101100,Ngưu nhục muộn phạn,Food_7,Thực phẩm,Self,10,60,1794,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""1869,-1,-1""}}]"
95,Medicine,30101101,Diện bao hãm bính,Food2_4,Thực phẩm,Self,11,60,2091,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""2050,-1,-1""}}]"
96,Medicine,30101102,Đỗ nhĩ mạch phạn,Food3_3,Thực phẩm,Self,12,60,2388,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_hp"",""Values"":""2231,-1,-1""}}]"
97,Medicine,30101103,Thuý mễ bính,Food_3,Thực phẩm,Self,1,1,42,10,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""88,-1,-1""}}]"
98,Medicine,30101104,Bân thảo cao,Food2_13,Thực phẩm,Self,2,10,108,27,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""155,-1,-1""}}]"
99,Medicine,30101105,Hồng thự cao,Food2_8,Thực phẩm,Self,3,20,192,48,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""223,-1,-1""}}]"
100,Medicine,30101106,Vân đậu cao,Food2_13,Thực phẩm,Self,4,30,295,73,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""289,-1,-1""}}]"
101,Medicine,30101107,Phi tân giang,Food3_4,Thực phẩm,Self,5,40,417,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""357,-1,-1""}}]"
102,Medicine,30101108,Sa đường cao,Food2_13,Thực phẩm,Self,6,50,558,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""424,-1,-1""}}]"
103,Medicine,30101109,Ba tư tảo cao,Food2_4,Thực phẩm,Self,7,60,719,100,true,true,false,5000,-1,-1,,10000,1000,,,"[{""Tag"":""Property"",""Attributes"":{""Symbol"":""magic_replenish_mp"",""Values"":""492,-1,-1""}}]"
