RowIndex,Tag,ID,Name,Description,Bundle,Atlas,Scale,Duration,ExpireHours,Text,ChildrenJSON
11,AnimatedTitle,11,Thánh Long Ngũ Hỏa,Danh hiệu đặc biệt,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""ThanhLongNguHoa_13""}}]"
12,AnimatedTitle,12,Vua Lì Đòn,Danh hiệu đặc biệt,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""VUALIDON_13""}}]"
13,AnimatedTitle,13,Hiệu Lệnh Thiên Hạ,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00000""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00002""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00004""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00006""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00008""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00010""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00012""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00014""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00016""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00018""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00020""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00022""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HieuLenhThienHa_00024""}}]"
14,AnimatedTitle,14,Quý Quân Liên Đấu,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,720,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Quy-Quan-Lien-Dau""}}]"
15,AnimatedTitle,15,Á Quân Liên Đấu,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,720,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""A-Quan-Lien-Dau""}}]"
16,AnimatedTitle,16,Quán Quân Liên Đấu,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,720,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""Quan-Quan-Lien-Dau""}}]"
17,AnimatedTitle,17,Độc Tôn Thiên Hạ,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DocTonThienHa_13""}}]"
18,AnimatedTitle,18,Hỏa Mỹ Tọa Gian,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HoaMyToaGian_13""}}]"
19,AnimatedTitle,19,Mẫu Nghi Thiên Hạ,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_1.unity3d,SpecialTitles_1,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""MauNghiThienHa_13""}}]"
20,AnimatedTitle,20,Cửu Thiên Thần Hỏa,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""CuuThienThanHoa_13""}}]"
21,AnimatedTitle,21,Yêu Mình Phương Anh,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""YeuMinhPhuongAnh_13""}}]"
22,AnimatedTitle,22,Để Tao Lương Thiện,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DeTaoLuongThien_13""}}]"
23,AnimatedTitle,23,Ngọc Hoàng Đại Đế,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""NgocHoangDaiDe_13""}}]"
24,AnimatedTitle,24,Hồng Thuận Thượng Thiên,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,-1,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""HongThuanThanhThu_13""}}]"
25,AnimatedTitle,25,Đấu Chiến Thiên Tôn,Danh hiệu đặc biệt.,SpecialTitles/SpecialTitles_2.unity3d,SpecialTitles_2,150,1000,-1,,"[{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_1""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_2""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_3""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_4""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_5""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_6""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_7""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_8""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_9""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_10""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_11""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_12""}},{""Tag"":""Sprite"",""Attributes"":{""Name"":""DauChienThienTon_13""}}]"
