RowIndex,Tag,ID,Sex,Name,Model,LerpFactor,Text,ChildrenJSON
87,Hair,86,1,Kinh Vân Phát,NanZhuJiaoTouFa60,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
88,Hair,87,0,Kinh Vân Phát,NuZhuJiaoTouFa62,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi62"",""LerpFactor"":""0""}}]"
89,Hair,88,0,Hàm Ngọc Phát,NuZhuJiaoTouFa53,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi53"",""LerpFactor"":""0""}}]"
90,Hair,89,1,Hàm Ngọc Phát,NanZhuJiaoTouFa56,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
91,Hair,90,0,Phong Ly Phát,NuZhuJiaoTouFa68,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi68"",""LerpFactor"":""0""}}]"
92,Hair,91,1,Phong Ly Phát,NanZhuJiaoTouFa64,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
93,Hair,92,0,Linh Mị Phát,NuZhuJiaoTouFa71,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi71"",""LerpFactor"":""0""}}]"
94,Hair,93,1,Linh Mị Phát,NanZhuJiaoTouFa71,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi71"",""LerpFactor"":""0""}}]"
95,Hair,94,0,Hoa Quý Phát,NuZhuJiaoTouFa72,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi72"",""LerpFactor"":""0""}}]"
96,Hair,95,1,Hoa Quý Phát,NanZhuJiaoTouFa65,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
97,Hair,96,0,Ung Dung Phát,NuZhuJiaoTouFa75,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi75"",""LerpFactor"":""0""}}]"
98,Hair,97,1,Ung Dung Phát,NanZhuJiaoTouFa72,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
99,Hair,98,0,Tiên Tư Phát,NuZhuJiaoTouFa76,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi76"",""LerpFactor"":""0""}}]"
100,Hair,99,1,Tiên Tư Phát,NanZhuJiaoTouFa67,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
101,Hair,100,0,Tuyệt Đại Phát,NuZhuJiaoTouFa80,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi80"",""LerpFactor"":""0""}}]"
102,Hair,101,1,Tuyệt Đại Phát,NanZhuJiaoTouFa80,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
103,Hair,102,0,Duy Ngã Phát,NuZhuJiaoTouFa83,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi83"",""LerpFactor"":""0""}}]"
104,Hair,103,1,Duy Ngã Phát,NanZhuJiaoTouFa83,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi83"",""LerpFactor"":""0""}}]"
105,Hair,104,0,Hiên Ngang Phát,NuZhuJiaoTouFa82,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
106,Hair,105,1,Hiên Ngang Phát,NanZhuJiaoTouFa81,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
107,Hair,106,0,Tuyến Dật Phát,NuZhuJiaoTouFa85,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
108,Hair,107,1,Tuyến Dật Phát,NanZhuJiaoTouFa84,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
109,Hair,108,0,Anh Tư Phát,NuZhuJiaoTouFa86,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi86"",""LerpFactor"":""0""}}]"
110,Hair,109,1,Anh Tư Phát,NanZhuJiaoTouFa86,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
111,Hair,110,0,Cuộn Vân Phát,NuZhuJiaoTouFa87,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi87"",""LerpFactor"":""0""}}]"
112,Hair,111,1,Cuộn Vân Phát,NanZhuJiaoTouFa87,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi87"",""LerpFactor"":""0""}}]"
113,Hair,112,0,Dũng Lãng Phát,NuZhuJiaoTouFa89,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi89"",""LerpFactor"":""0""}}]"
114,Hair,113,1,Dũng Lãng Phát,NanZhuJiaoTouFa89,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
115,Hair,114,0,Nhã Nho Phát,NuZhuJiaoTouFa91,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
116,Hair,115,1,Nhã Nho Phát,NanZhuJiaoTouFa91,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
117,Hair,116,0,Ưu Nhã Phát,NuZhuJiaoTouFa95,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi95"",""LerpFactor"":""0""}}]"
118,Hair,117,1,Ưu Nhã Phát,NanZhuJiaoTouFa95,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
119,Hair,118,0,Hoa Phong Phát,NuZhuJiaoTouFa97,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi97"",""LerpFactor"":""0""}}]"
120,Hair,119,1,Hoa Phong Phát,NanZhuJiaoTouFa97,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi97"",""LerpFactor"":""0""}}]"
121,Hair,120,0,Vân Chuỳ Phát,NuZhuJiaoTouFa98,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi98"",""LerpFactor"":""0""}}]"
122,Hair,121,1,Vân Chuỳ Phát,NanZhuJiaoTouFa98,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi98"",""LerpFactor"":""0""}}]"
123,Hair,122,0,Phi Vân Phát,NuZhuJiaoTouFa101,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi101"",""LerpFactor"":""0""}}]"
124,Hair,123,1,Phi Vân Phát,NanZhuJiaoTouFa101,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
125,Hair,124,0,Dục Tú Phát,NuZhuJiaoTouFa100,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi100"",""LerpFactor"":""0""}}]"
126,Hair,125,1,Dục Tú Phát,NanZhuJiaoTouFa100,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi100"",""LerpFactor"":""0""}}]"
127,Hair,126,0,Cẩm Liên Phát,NuZhuJiaoTouFa103,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi103"",""LerpFactor"":""0""}}]"
128,Hair,127,1,Cẩm Liên Phát,NanZhuJiaoTouFa103,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi103"",""LerpFactor"":""0""}}]"
129,Hair,128,0,Ức Tuyết Phát,NuZhuJiaoTouFa104,0,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoFaShi104"",""LerpFactor"":""0""}}]"
130,Hair,129,1,Ức Tuyết Phát,NanZhuJiaoTouFa104,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoFaShi104"",""LerpFactor"":""0""}}]"
131,Hair,130,0,Liên Phương Phát,NuZhuJiaoTouFa108,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi108"",""LerpFactor"":""0""}}]"
132,Hair,131,1,Liên Phương Phát,NanZhuJiaoTouFa108,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
133,Hair,132,0,Triều Vân Phát,NuZhuJiaoTouFa109,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi109"",""LerpFactor"":""0""}}]"
134,Hair,133,1,Triều Vân Phát,NanZhuJiaoTouFa110,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
135,Hair,134,0,Hoa Quán Phát,NuZhuJiaoTouFa110,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi110"",""LerpFactor"":""0""}}]"
136,Hair,135,1,Hoa Quán Phát,NanZhuJiaoTouFa109,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
137,Hair,136,0,Dật Hiệp Phát,NuZhuJiaoTouFaYiXia,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShiYiXia"",""LerpFactor"":""0""}}]"
138,Hair,137,1,Dật Hiệp Phát,NanZhuJiaoTouFaYiXia,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShiYiXia"",""LerpFactor"":""0""}}]"
139,Hair,138,0,Hồi Tiên Phát,NuZhuJiaoTouFa112,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi112"",""LerpFactor"":""0""}}]"
140,Hair,139,1,Hồi Tiên Phát,NanZhuJiaoTouFa112,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
141,Hair,140,0,Thúc Xuân Phát,NuZhuJiaoTouShiXiuChunDao,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
142,Hair,141,1,Thúc Xuân Phát,NanZhuJiaoTouShiXiuChunDao,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":"""",""LerpFactor"":""0""}}]"
143,Hair,142,0,Vãn Nguyệt Phát,NuZhuJiaoTouFa115,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NuZhuJiaoTouShi115"",""LerpFactor"":""0""}}]"
144,Hair,143,1,Vãn Nguyệt Phát,NanZhuJiaoTouFa115,0.7,,"[{""Tag"":""CustomPart"",""Attributes"":{""Name"":""NanZhuJiaoTouShi115"",""LerpFactor"":""0""}}]"
