RowIndex,Tag,Symbol,Description,IncludeSign,Text,ChildrenJSON
50,Attribute,magic_reflect_damage_p,Phản đòn sát thương: <color=#FFFF00>{0}%</color>,false,,
51,Attribute,magic_rage_recovery_p,Tốc độ phục hồi nộ khí: <color=#FFFF00>{0}%</color>,false,,
52,Attribute,magic_weapon_damage_p,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
53,Attribute,magic_weapon_damage_p_2,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
54,Attribute,magic_weapon_damage_p_3,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
55,Attribute,magic_weapon_damage_p_4,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
56,Attribute,magic_weapon_damage_p_5,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
57,Attribute,magic_weapon_damage_p_6,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
58,Attribute,magic_weapon_damage_p_7,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
59,Attribute,magic_weapon_damage_p_8,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
60,Attribute,magic_weapon_damage_p_9,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
61,Attribute,magic_weapon_damage_p_10,Tăng hiệu quả tấn công của {0}: <color=#00FF00>{1}%</color>,false,,
62,Attribute,magic_damage_p,Tăng sát thương: <color=#FFFF00>{0}%</color>,false,,
63,Attribute,magic_directdamage,Sát thương trực tiếp: <color=#FFFF00>{0}</color>,false,,
64,Attribute,magic_damage_reduce_p,Giảm sát thương phải chịu: <color=#FFFF00>{0}%</color>,false,,
65,Attribute,magic_replenish_hp,Hồi phục huyết: <color=#FFFF00>{0} điểm</color>,false,,
66,Attribute,magic_replenish_hp_p,Hồi phục huyết: <color=#FFFF00>{0}%</color>,false,,
67,Attribute,magic_replenish_mp,Hồi phục khí: <color=#FFFF00>{0} điểm</color>,false,,
68,Attribute,magic_replenish_mp_p,Hồi phục khí: <color=#FFFF00>{0}%</color>,false,,
69,Attribute,magic_replenish_rage,Hồi phục nộ khí: <color=#FFFF00>{0} điểm</color>,false,,
70,Attribute,magic_replenish_rage_p,Hồi phục nộ khí: <color=#FFFF00>{0}%</color>,false,,
71,Attribute,magic_faction_damage_p,Tăng sát thương cho kỹ năng gây ra bởi phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false,,
72,Attribute,magic_icedamage,Băng công: <color=#FFFF00>{0}</color>,false,,
73,Attribute,magic_firedamage,Hỏa công: <color=#FFFF00>{0}</color>,false,,
74,Attribute,magic_lightdamage,Huyền công: <color=#FFFF00>{0}</color>,false,,
75,Attribute,magic_poisondamage,Độc công: <color=#FFFF00>{0}</color>,false,,
76,Attribute,magic_physdamage,Ngoại công: <color=#FFFF00>{0}</color>,false,,
77,Attribute,magic_magicdamage,Nội công: <color=#FFFF00>{0}</color>,false,,
78,Attribute,magic_hpleak,Mất máu liên tục: <color=#FFFF00>{0} điểm</color> mỗi giây,false,,
79,Attribute,magic_replenish_strike,Phục hồi liên kích: <color=#FFFF00>{0} điểm</color>,false,,
80,Attribute,magic_directdamage_strike,Sát thương trực tiếp: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
81,Attribute,magic_icedamage_strike,Băng công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Băng công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Băng công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
82,Attribute,magic_firedamage_strike,Hỏa công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Hỏa công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Hỏa công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
83,Attribute,magic_lightdamage_strike,Huyền công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Huyền công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Huyền công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
84,Attribute,magic_poisondamage_strike,Độc công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Độc công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Độc công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
85,Attribute,magic_physdamage_strike,Ngoại công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Ngoại công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Ngoại công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
86,Attribute,magic_magicdamage_strike,Nội công: <color=#FFFF00>{0}</color> (liên kích đoạn 1)<br>Nội công: <color=#FFFF00>{1}</color> (liên kích đoạn 2)<br>Nội công: <color=#FFFF00>{2}</color> (liên kích đoạn 3),false,,
87,Attribute,magic_mana_shield,Sát thương chuyển sang khí: <color=#FFFF00>{0}%</color>,false,,
88,Attribute,magic_faction_damage_taken_p,Tăng sát thương phải chịu bởi kỹ năng phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false,,
89,Attribute,magic_dynamic_shield,Tạo khiên đỡ sát thương: <color=#FFFF00>{0} điểm</color>,false,,
90,Attribute,magic_hpsteal,Hút máu: <color=#FFFF00>{0} điểm</color>,false,,
91,Attribute,magic_mpsteal,Hút khí: <color=#FFFF00>{0} điểm</color>,false,,
92,Attribute,magic_ragesteal,Hút nộ khí: <color=#FFFF00>{0} điểm</color>,false,,
93,Attribute,magic_damage_taken_amplify_p,Tăng sát thương phải chịu: <color=#FFFF00>{0}%</color>,true,,
94,Attribute,magic_maxrage,Nộ khí: <color=#FFFF00>{0}</color>,true,,
95,Attribute,magic_maxrage_p,Nộ khí: <color=#FFFF00>{0}%</color>,true,,
96,Attribute,magic_icedamage_amplify_p,Tăng sát thương Băng công: <color=#FFFF00>{0}%</color>,true,,
97,Attribute,magic_firedamage_amplify_p,Tăng sát thương Hỏa công: <color=#FFFF00>{0}%</color>,true,,
98,Attribute,magic_lightdamage_amplify_p,Tăng sát thương Huyền công: <color=#FFFF00>{0}%</color>,true,,
99,Attribute,magic_poisondamage_amplify_p,Tăng sát thương Độc công: <color=#FFFF00>{0}%</color>,true,,
100,Attribute,magic_icedamage_taken_p,Sát thương Băng công phải chịu: <color=#FFFF00>{0}%</color>,true,,
101,Attribute,magic_firedamage_taken_p,Sát thương Hỏa công phải chịu: <color=#FFFF00>{0}%</color>,true,,
102,Attribute,magic_lightdamage_taken_p,Sát thương Huyền công phải chịu: <color=#FFFF00>{0}%</color>,true,,
103,Attribute,magic_poisondamage_taken_p,Sát thương Độc công phải chịu: <color=#FFFF00>{0}%</color>,true,,
104,Attribute,magic_damage_to_hp_p,Hấp thu <color=#FFFF00>{0}%</color> sát thương gây lên kẻ địch chuyển thành máu của bản thân,false,,
105,Attribute,magic_damage_to_mp_p,Hấp thu <color=#FFFF00>{0}%</color> sát thương gây lên kẻ địch chuyển thành khí của bản thân,false,,
106,Attribute,magic_damage_break_mp_p,Triệt tiêu khí của mục tiêu bằng <color=#FFFF00>{0}%</color> sát thương gây lên,false,,
107,Attribute,magic_damage_break_rage_p,Triệt tiêu nộ khí của mục tiêu bằng <color=#FFFF00>{0}%</color> sát thương gây lên,false,,
108,Attribute,magic_ignore_physdamage_p,Tỷ lệ bỏ qua sát thương ngoại công: <color=#FFFF00>{0}%</color>,true,,
109,Attribute,magic_ignore_magicdamage_p,Tỷ lệ bỏ qua sát thương nội công: <color=#FFFF00>{0}%</color>,true,,
110,Attribute,magic_ignore_icedamage_p,Tỷ lệ bỏ qua sát thương băng công: <color=#FFFF00>{0}%</color>,true,,
111,Attribute,magic_ignore_firedamage_p,Tỷ lệ bỏ qua sát thương hỏa công: <color=#FFFF00>{0}%</color>,true,,
112,Attribute,magic_ignore_lightdamage_p,Tỷ lệ bỏ qua sát thương huyền công: <color=#FFFF00>{0}%</color>,true,,
113,Attribute,magic_ignore_poisondamage_p,Tỷ lệ bỏ qua sát thương độc công: <color=#FFFF00>{0}%</color>,true,,
114,Attribute,magic_all_res,Kháng tất cả: <color=#FFFF00>{0}</color>,true,,
115,Attribute,magic_hit_p,Chính xác: <color=#FFFF00>{0}%</color>,true,,
116,Attribute,magic_dodge_p,Né tránh: <color=#FFFF00>{0}%</color>,true,,
117,Attribute,magic_critatk_p,Hội công: <color=#FFFF00>{0}%</color>,true,,
118,Attribute,magic_critdef_p,Hội thủ: <color=#FFFF00>{0}%</color>,true,,
119,Attribute,magic_strength_p,Cường lực: <color=#FFFF00>{0}%</color>,true,,
120,Attribute,magic_energy_p,Nội lực: <color=#FFFF00>{0}%</color>,true,,
121,Attribute,magic_stamina_p,Thể lực: <color=#FFFF00>{0}%</color>,true,,
122,Attribute,magic_intelligence_p,Trí lực: <color=#FFFF00>{0}%</color>,true,,
123,Attribute,magic_dexterity_p,Thân pháp: <color=#FFFF00>{0}%</color>,true,,
124,Attribute,magic_hpleak_p,Mất máu liên tục: <color=#FFFF00>{0}% lượng máu hiện tại</color> mỗi giây,false,,
125,Attribute,magic_hpsteal_p,Hút máu: <color=#FFFF00>{0}%</color>,false,,
126,Attribute,magic_mpsteal_p,Hút khí: <color=#FFFF00>{0}%</color>,false,,
127,Attribute,magic_ragesteal_p,Hút nộ khí: <color=#FFFF00>{0}%</color>,false,,
128,Attribute,magic_hpleak_max_p,Mất máu liên tục: <color=#FFFF00>{0}% lượng máu tối đa</color> mỗi giây,false,,
129,Attribute,magic_replenish_datura_flower,Hồi phục: <color=#FFFF00>{0} Mạn Đà Hoa</color>,false,,
130,Attribute,magic_replenish_hp_rate,Hiệu quả hồi phục huyết: <color=#FFFF00>{0}%</color>,true,,
131,Attribute,magic_replenish_mp_rate,Hiệu quả hồi phục khí: <color=#FFFF00>{0}%</color>,true,,
132,Attribute,magic_critdamage_amplify_p,Sát thương khi đánh hội tâm nhất kích: <color=#FFFF00>{0}%</color>,true,,
133,Attribute,magic_critdamage_taken_p,Sát thương khi bị đánh hội tâm nhất kích: <color=#FFFF00>{0}%</color>,true,,
134,Attribute,magic_replenish_blade_count,Hồi phục: <color=#FFFF00>{0} Đao Ý</color>,false,,
135,Attribute,magic_append_max_blade_count,Tăng giới hạn: <color=#FFFF00>{0} Đao Ý</color>,false,,
136,Attribute,magic_blade_base_damage_p,Sát thương: <color=#FFFF00>{0}%</color> lực đánh thường (sử dụng 1 Đao Ý)<br>Sát thương: <color=#FFFF00>{1}%</color> lực đánh thường (sử dụng 2 Đao Ý)<br>Sát thương: <color=#FFFF00>{2}%</color> lực đánh thường (sử dụng 3 Đao Ý),false,,
137,Attribute,magic_add_evil_mark,Đánh dấu: <color=#FFFF00>{0} Ác Nhân Ấn Ký</color>,false,,
138,Attribute,magic_evil_mark_base_damage_p,Sát thương: <color=#FFFF00>{0}%</color> lực đánh thường (1 Ác Nhân Ấn Ký)<br>Sát thương: <color=#FFFF00>{1}%</color> lực đánh thường (2 Ác Nhân Ấn Ký)<br>Sát thương: <color=#FFFF00>{2}%</color> lực đánh thường (3 Ác Nhân Ấn Ký),false,,
139,Attribute,magic_damage_amplify_to_faction,Tăng sát thương với mục tiêu phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false,,
140,Attribute,magic_damage_reduce_from_faction,Giảm sát thương gây ra bởi phái <color=#00FF00>{0}</color>: <color=#FFFF00>{1}%</color>,false,,
141,Attribute,magic_damage_p_to_player,Tăng sát thương lên mục tiêu là <color=#00FF00>người chơi</color>: <color=#FFFF00>{0}%</color>,false,,
142,Attribute,magic_damage_p_to_pet,"Tăng sát thương lên mục tiêu là <color=#00FF00>trân thú, trận pháp</color>: <color=#FFFF00>{0}%</color>",false,,
143,Attribute,magic_damage_p_to_monster,Tăng sát thương lên mục tiêu là <color=#00FF00>quái vật</color>: <color=#FFFF00>{0}%</color>,false,,
144,Attribute,magic_damage_p_to_boss,Tăng sát thương lên mục tiêu là <color=#00FF00>boss</color>: <color=#FFFF00>{0}%</color>,false,,
145,Attribute,magic_damage_reduce_p_from_player,Giảm sát thương gây ra bởi <color=#00FF00>người chơi</color>: <color=#FFFF00>{0}%</color>,false,,
146,Attribute,magic_damage_reduce_p_from_pet,"Giảm sát thương gây ra bởi <color=#00FF00>trân thú, trận pháp</color>: <color=#FFFF00>{0}%</color>",false,,
147,Attribute,magic_damage_reduce_p_from_monster,Giảm sát thương gây ra bởi <color=#00FF00>quái vật</color>: <color=#FFFF00>{0}%</color>,false,,
148,Attribute,magic_damage_reduce_p_from_boss,Giảm sát thương gây ra bởi <color=#00FF00>boss</color>: <color=#FFFF00>{0}%</color>,false,,
149,Attribute,magic_directdamage_depends_on_iceatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% băng công</color>,false,,
150,Attribute,magic_directdamage_depends_on_fireatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% hỏa công</color>,false,,
151,Attribute,magic_directdamage_depends_on_lightatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% huyền công</color>,false,,
152,Attribute,magic_directdamage_depends_on_poisonatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% độc công</color>,false,,
153,Attribute,magic_directdamage_depends_on_physatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% ngoại công</color>,false,,
154,Attribute,magic_directdamage_depends_on_magicatk_p,Sát thương trực tiếp: <color=#FFFF00>{0}% nội công</color>,false,,
155,Attribute,magic_icedamage_p,Băng công: <color=#FFFF00>{0}%</color>,false,,
156,Attribute,magic_firedamage_p,Hỏa công: <color=#FFFF00>{0}%</color>,false,,
157,Attribute,magic_lightdamage_p,Huyền công: <color=#FFFF00>{0}%</color>,false,,
158,Attribute,magic_poisondamage_p,Độc công: <color=#FFFF00>{0}%</color>,false,,
159,Attribute,magic_physdamage_p,Ngoại công: <color=#FFFF00>{0}%</color>,false,,
160,Attribute,magic_magicdamage_p,Nội công: <color=#FFFF00>{0}%</color>,false,,
161,Attribute,magic_directdamage_depends_on_iceatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% băng công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% băng công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% băng công</color> (liên kích đoạn 3),false,,
162,Attribute,magic_directdamage_depends_on_fireatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% hỏa công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% hỏa công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% hỏa công</color> (liên kích đoạn 3),false,,
163,Attribute,magic_directdamage_depends_on_lightatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% huyền công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% huyền công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% huyền công</color> (liên kích đoạn 3),false,,
164,Attribute,magic_directdamage_depends_on_poisonatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% độc công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% độc công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% độc công</color> (liên kích đoạn 3),false,,
165,Attribute,magic_directdamage_depends_on_physatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% ngoại công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% ngoại công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% ngoại công</color> (liên kích đoạn 3),false,,
166,Attribute,magic_directdamage_depends_on_magicatk_p_strike,Sát thương trực tiếp: <color=#FFFF00>{0}% nội công</color> (liên kích đoạn 1)<br>Sát thương trực tiếp: <color=#FFFF00>{1}% nội công</color> (liên kích đoạn 2)<br>Sát thương trực tiếp: <color=#FFFF00>{2}% nội công</color> (liên kích đoạn 3),false,,
167,Attribute,magic_icedamage_p_strike,Băng công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Băng công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Băng công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
168,Attribute,magic_firedamage_p_strike,Hỏa công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Hỏa công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Hỏa công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
169,Attribute,magic_lightdamage_p_strike,Huyền công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Huyền công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Huyền công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
170,Attribute,magic_poisondamage_p_strike,Độc công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Độc công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Độc công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
171,Attribute,magic_physdamage_p_strike,Ngoại công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Ngoại công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Ngoại công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
172,Attribute,magic_magicdamage_p_strike,Nội công: <color=#FFFF00>{0}%</color> (liên kích đoạn 1)<br>Nội công: <color=#FFFF00>{1}%</color> (liên kích đoạn 2)<br>Nội công: <color=#FFFF00>{2}%</color> (liên kích đoạn 3),false,,
173,Attribute,magic_break_hp,Triệt tiêu huyết: <color=#FFFF00>{0} điểm</color>,false,,
174,Attribute,magic_break_hp_p,Triệt tiêu huyết: <color=#FFFF00>{0}%</color>,false,,
175,Attribute,magic_break_mp,Triệt tiêu khí: <color=#FFFF00>{0} điểm</color>,false,,
176,Attribute,magic_break_mp_p,Triệt tiêu khí: <color=#FFFF00>{0}%</color>,false,,
177,Attribute,magic_break_rage,Triệt tiêu nộ khí: <color=#FFFF00>{0} điểm</color>,false,,
178,Attribute,magic_break_rage_p,Triệt tiêu nộ khí: <color=#FFFF00>{0}%</color>,false,,
179,Attribute,magic_pet_sacrify_hp_for_owner_hp,"Hy sinh <color=#FFFF00>{0}%</color> lượng máu hiện có, giúp phục hồi cho chủ nhân bằng <color=#FFFF00>{1}%</color> lượng máu tương ứng",false,,
180,Attribute,magic_pet_sacrify_hp_for_owner_mp,"Hy sinh <color=#FFFF00>{0}%</color> lượng máu hiện có, giúp phục hồi cho chủ nhân bằng <color=#FFFF00>{1}%</color> lượng khí tương ứng",false,,
181,Attribute,magic_pet_take_damage_for_owner,Chịu <color=#FFFF00>{0}%</color> sát thương chủ nhân phải nhận,false,,
182,Attribute,magic_pet_take_state_for_owner,Có tỷ lệ <color=#FFFF00>{0}%</color> thay chủ nhân chịu hiệu quả xấu,false,,
183,Attribute,magic_pet_reflect_with_attack,Tỷ lệ phản đòn khi bị tấn công: <color=#FFFF00>{0}%</color>,false,,
184,Attribute,magic_pet_replenish_hp_base_on_damage_p,Phục hồi máu: <color=#FFFF00>{0}%</color> sát thương gây ra,false,,
185,Attribute,magic_pet_reflect_damage_p,Phản đòn sát thương: <color=#FFFF00>{0}%</color>,false,,
186,Attribute,magic_pet_reduce_damage_p,Giảm sát thương phải chịu: <color=#FFFF00>{0}%</color>,false,,
187,Attribute,magic_pet_enemy_mp_break,Triệt tiêu khí của mục tiêu: <color=#FFFF00>{0}%</color> sát thương gây ra,false,,
188,Attribute,magic_pet_enemy_rage_break,Triệt tiêu nộ khí của mục tiêu: <color=#FFFF00>{0}%</color> sát thương gây ra,false,,
189,Attribute,magic_spirit_replenish_energy,Hồi phục năng lượng: <color=#FFFF00>{0} điểm</color>,false,,
190,Attribute,magic_appendstate_immune_damage,Miễn dịch toàn bộ <color=#00FF00>sát thương</color>,false,,
191,Attribute,magic_appendstate_immune_state,Miễn nhiễm <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
192,Attribute,magic_appendstate_immune_all,Miễn dịch <color=#00FF00>toàn bộ</color>,false,,
193,Attribute,magic_appendstate_immune_immobile,Miễn dịch <color=#00FF00>định thân</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
194,Attribute,magic_appendstate_immune_paralyse,Miễn dịch <color=#00FF00>tê liệt</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
195,Attribute,magic_appendstate_immune_blind,Miễn dịch <color=#00FF00>thất minh</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
196,Attribute,magic_appendstate_immune_incapacitate,Miễn dịch <color=#00FF00>phong huyệt</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
197,Attribute,magic_appendstate_immune_encircle,Miễn dịch <color=#00FF00>vây khốn</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
198,Attribute,magic_appendstate_immune_silence,Miễn dịch <color=#00FF00>tản công</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
199,Attribute,magic_appendstate_immune_weakness,Miễn dịch <color=#00FF00>hư nhược</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
200,Attribute,magic_appendstate_immune_slow,Miễn dịch <color=#00FF00>giảm tốc</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
201,Attribute,magic_appendstate_immune_hpleak,Miễn dịch <color=#00FF00>mất máu liên tục</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
202,Attribute,magic_appendstate_immune_sleep,Miễn dịch <color=#00FF00>hôn mê</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
203,Attribute,magic_removestate_all,Hóa giải toàn bộ <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
204,Attribute,magic_removestate_random,Hóa giải ngẫu nhiên <color=#FFFF00>{0}</color> <color=#00FF00>trạng thái khống chế</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
205,Attribute,magic_removestate_immobile,Hóa giải <color=#00FF00>định thân</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
206,Attribute,magic_removestate_paralyse,Hóa giải <color=#00FF00>tê liệt</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
207,Attribute,magic_removestate_blind,Hóa giải <color=#00FF00>thất minh</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
208,Attribute,magic_removestate_incapacitate,Hóa giải <color=#00FF00>phong huyệt</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
209,Attribute,magic_removestate_encircle,Hóa giải <color=#00FF00>vây khốn</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
210,Attribute,magic_removestate_silence,Hóa giải <color=#00FF00>tản công</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
211,Attribute,magic_removestate_weakness,Hóa giải <color=#00FF00>hư nhược</color> <color=#FFFF00>cấp thấp hơn</color>,false,,
