RowIndex,Tag,ID,NormalColor,SeriesColor,BrightColor,IsBright,IsSeries,UseAdditiveShader,Text,ChildrenJSON
31,GemColor,50402009,#877D49,#FFFFFF,#F8D600,false,false,true,,
32,GemColor,50502009,#877D49,#FFFFFF,#F8D600,false,false,true,,
33,GemColor,50602009,#877D49,#FFFFFF,#F8D600,false,false,true,,
34,GemColor,50702009,#877D49,#FFFFFF,#F8D600,false,false,true,,
35,GemColor,50802009,#877D49,#FFFFFF,#F8D600,false,false,true,,
36,GemColor,50902009,#877D49,#FFFFFF,#F8D600,false,false,true,,
37,GemColor,50102002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
38,GemColor,50202002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
39,GemColor,50302002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
40,GemColor,50402002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
41,GemColor,50502002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
42,GemColor,50602002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
43,GemColor,50702002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
44,GemColor,50802002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
45,GemColor,50902002,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
46,GemColor,50102010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
47,GemColor,50202010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
48,GemColor,50302010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
49,GemColor,50402010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
50,GemColor,50502010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
51,GemColor,50602010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
52,GemColor,50702010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
53,GemColor,50802010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
54,GemColor,50902010,#255BFF,#FFFFFF,#00E2FF,false,false,true,,
55,GemColor,50102003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
56,GemColor,50202003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
57,GemColor,50302003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
58,GemColor,50402003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
59,GemColor,50502003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
60,GemColor,50602003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
61,GemColor,50702003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
62,GemColor,50802003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
63,GemColor,50902003,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
64,GemColor,50102011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
65,GemColor,50202011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
66,GemColor,50302011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
67,GemColor,50402011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
68,GemColor,50502011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
69,GemColor,50602011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
70,GemColor,50702011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
71,GemColor,50802011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
72,GemColor,50902011,#E24F32,#FFFFFF,#FF3A00,false,false,true,,
73,GemColor,50102004,#108E24,#FFFFFF,#00FF00,false,false,true,,
74,GemColor,50202004,#108E24,#FFFFFF,#00FF00,false,false,true,,
75,GemColor,50302004,#108E24,#FFFFFF,#00FF00,false,false,true,,
76,GemColor,50402004,#108E24,#FFFFFF,#00FF00,false,false,true,,
77,GemColor,50502004,#108E24,#FFFFFF,#00FF00,false,false,true,,
78,GemColor,50602004,#108E24,#FFFFFF,#00FF00,false,false,true,,
79,GemColor,50702004,#108E24,#FFFFFF,#00FF00,false,false,true,,
80,GemColor,50802004,#108E24,#FFFFFF,#00FF00,false,false,true,,
81,GemColor,50902004,#108E24,#FFFFFF,#00FF00,false,false,true,,
82,GemColor,50102012,#108E24,#FFFFFF,#00FF00,false,false,true,,
83,GemColor,50202012,#108E24,#FFFFFF,#00FF00,false,false,true,,
84,GemColor,50302012,#108E24,#FFFFFF,#00FF00,false,false,true,,
85,GemColor,50402012,#108E24,#FFFFFF,#00FF00,false,false,true,,
86,GemColor,50502012,#108E24,#FFFFFF,#00FF00,false,false,true,,
87,GemColor,50602012,#108E24,#FFFFFF,#00FF00,false,false,true,,
88,GemColor,50702012,#108E24,#FFFFFF,#00FF00,false,false,true,,
89,GemColor,50802012,#108E24,#FFFFFF,#00FF00,false,false,true,,
90,GemColor,50902012,#108E24,#FFFFFF,#00FF00,false,false,true,,
91,GemColor,50102005,#66600E,#F3EC89,#F8E68B,true,true,true,,
92,GemColor,50202005,#66600E,#F3EC89,#F8E68B,true,true,true,,
93,GemColor,50302005,#66600E,#F3EC89,#F8E68B,true,true,true,,
94,GemColor,50402005,#66600E,#F3EC89,#F8E68B,true,true,true,,
95,GemColor,50502005,#66600E,#F3EC89,#F8E68B,true,true,true,,
96,GemColor,50602005,#66600E,#F3EC89,#F8E68B,true,true,true,,
97,GemColor,50702005,#66600E,#F3EC89,#F8E68B,true,true,true,,
98,GemColor,50802005,#66600E,#F3EC89,#F8E68B,true,true,true,,
99,GemColor,50902005,#66600E,#F3EC89,#F8E68B,true,true,true,,
100,GemColor,50102013,#66600E,#F3EC89,#F8E68B,true,true,true,,
101,GemColor,50202013,#66600E,#F3EC89,#F8E68B,true,true,true,,
102,GemColor,50302013,#66600E,#F3EC89,#F8E68B,true,true,true,,
103,GemColor,50402013,#66600E,#F3EC89,#F8E68B,true,true,true,,
104,GemColor,50502013,#66600E,#F3EC89,#F8E68B,true,true,true,,
105,GemColor,50602013,#66600E,#F3EC89,#F8E68B,true,true,true,,
106,GemColor,50702013,#66600E,#F3EC89,#F8E68B,true,true,true,,
107,GemColor,50802013,#66600E,#F3EC89,#F8E68B,true,true,true,,
108,GemColor,50902013,#66600E,#F3EC89,#F8E68B,true,true,true,,
109,GemColor,50102006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
110,GemColor,50202006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
111,GemColor,50302006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
112,GemColor,50402006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
113,GemColor,50502006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
114,GemColor,50602006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
115,GemColor,50702006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
116,GemColor,50802006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
117,GemColor,50902006,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
118,GemColor,50102014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
119,GemColor,50202014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
120,GemColor,50302014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
121,GemColor,50402014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
122,GemColor,50502014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
123,GemColor,50602014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
124,GemColor,50702014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
125,GemColor,50802014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
126,GemColor,50902014,#2249F8,#A1B1F8,#75A1F6,true,true,true,,
127,GemColor,50102007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
128,GemColor,50202007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
129,GemColor,50302007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
130,GemColor,50402007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
131,GemColor,50502007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
132,GemColor,50602007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
133,GemColor,50702007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
134,GemColor,50802007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
135,GemColor,50902007,#C8462D,#F6CC7C,#FFB964,true,true,true,,
136,GemColor,50102015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
137,GemColor,50202015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
138,GemColor,50302015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
139,GemColor,50402015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
140,GemColor,50502015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
141,GemColor,50602015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
142,GemColor,50702015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
143,GemColor,50802015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
144,GemColor,50902015,#C8462D,#F6CC7C,#FFB964,true,true,true,,
145,GemColor,50102008,#009900,#004400,#00CC00,true,false,false,,
146,GemColor,50202008,#009900,#004400,#00CC00,true,false,false,,
147,GemColor,50302008,#009900,#004400,#00CC00,true,false,false,,
148,GemColor,50402008,#009900,#004400,#00CC00,true,false,false,,
149,GemColor,50502008,#009900,#004400,#00CC00,true,false,false,,
150,GemColor,50602008,#009900,#004400,#00CC00,true,false,false,,
151,GemColor,50702008,#009900,#004400,#00CC00,true,false,false,,
152,GemColor,50802008,#009900,#004400,#00CC00,true,false,false,,
153,GemColor,50902008,#009900,#004400,#00CC00,true,false,false,,
154,GemColor,50102016,#009900,#004400,#00CC00,true,false,false,,
155,GemColor,50202016,#009900,#004400,#00CC00,true,false,false,,
156,GemColor,50302016,#009900,#004400,#00CC00,true,false,false,,
157,GemColor,50402016,#009900,#004400,#00CC00,true,false,false,,
158,GemColor,50502016,#009900,#004400,#00CC00,true,false,false,,
159,GemColor,50602016,#009900,#004400,#00CC00,true,false,false,,
160,GemColor,50702016,#009900,#004400,#00CC00,true,false,false,,
161,GemColor,50802016,#009900,#004400,#00CC00,true,false,false,,
162,GemColor,50902016,#009900,#004400,#00CC00,true,false,false,,
163,GemColor,50103001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
164,GemColor,50203001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
165,GemColor,50303001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
166,GemColor,50403001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
167,GemColor,50503001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
168,GemColor,50603001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
169,GemColor,50703001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
170,GemColor,50803001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
171,GemColor,50903001,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
172,GemColor,50103002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
173,GemColor,50203002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
174,GemColor,50303002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
175,GemColor,50403002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
176,GemColor,50503002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
177,GemColor,50603002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
178,GemColor,50703002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
179,GemColor,50803002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
180,GemColor,50903002,#FD82A9,#FFFFFF,#FF1761,false,false,true,,
181,GemColor,50104002,#000011,#FFFFFF,#98621A,false,false,false,,
182,GemColor,50204002,#000011,#FFFFFF,#98621A,false,false,false,,
183,GemColor,50304002,#000011,#FFFFFF,#98621A,false,false,false,,
184,GemColor,50404002,#000011,#FFFFFF,#98621A,false,false,false,,
185,GemColor,50504002,#000011,#FFFFFF,#98621A,false,false,false,,
186,GemColor,50604002,#000011,#FFFFFF,#98621A,false,false,false,,
187,GemColor,50704002,#000011,#FFFFFF,#98621A,false,false,false,,
188,GemColor,50804002,#000011,#FFFFFF,#98621A,false,false,false,,
189,GemColor,50904002,#000011,#FFFFFF,#98621A,false,false,false,,
190,GemColor,50104003,#000011,#FFFFFF,#98621A,false,false,false,,
191,GemColor,50204003,#000011,#FFFFFF,#98621A,false,false,false,,
192,GemColor,50304003,#000011,#FFFFFF,#98621A,false,false,false,,
193,GemColor,50404003,#000011,#FFFFFF,#98621A,false,false,false,,
194,GemColor,50504003,#000011,#FFFFFF,#98621A,false,false,false,,
195,GemColor,50604003,#000011,#FFFFFF,#98621A,false,false,false,,
196,GemColor,50704003,#000011,#FFFFFF,#98621A,false,false,false,,
197,GemColor,50804003,#000011,#FFFFFF,#98621A,false,false,false,,
198,GemColor,50904003,#000011,#FFFFFF,#98621A,false,false,false,,
199,GemColor,50103003,#000011,#FFFFFF,#98621A,false,false,false,,
200,GemColor,50203003,#000011,#FFFFFF,#98621A,false,false,false,,
201,GemColor,50303003,#000011,#FFFFFF,#98621A,false,false,false,,
202,GemColor,50403003,#000011,#FFFFFF,#98621A,false,false,false,,
203,GemColor,50503003,#000011,#FFFFFF,#98621A,false,false,false,,
204,GemColor,50603003,#000011,#FFFFFF,#98621A,false,false,false,,
205,GemColor,50703003,#000011,#FFFFFF,#98621A,false,false,false,,
206,GemColor,50803003,#000011,#FFFFFF,#98621A,false,false,false,,
207,GemColor,50903003,#000011,#FFFFFF,#98621A,false,false,false,,
208,GemColor,50111001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
209,GemColor,50211001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
210,GemColor,50311001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
211,GemColor,50411001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
212,GemColor,50511001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
213,GemColor,50611001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
214,GemColor,50711001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
215,GemColor,50811001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
216,GemColor,50911001,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
217,GemColor,50111003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
218,GemColor,50211003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
219,GemColor,50311003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
220,GemColor,50411003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
221,GemColor,50511003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
222,GemColor,50611003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
223,GemColor,50711003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
224,GemColor,50811003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
225,GemColor,50911003,#D9ECEC,#FFFFFF,#A9E7E7,false,false,true,,
226,GemColor,50111002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
227,GemColor,50211002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
228,GemColor,50311002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
229,GemColor,50411002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
230,GemColor,50511002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
231,GemColor,50611002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
232,GemColor,50711002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
233,GemColor,50811002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
234,GemColor,50911002,#E78C4E,#FFFFFF,#D25500,false,false,true,,
235,GemColor,50111004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
236,GemColor,50211004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
237,GemColor,50311004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
238,GemColor,50411004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
239,GemColor,50511004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
240,GemColor,50611004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
241,GemColor,50711004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
242,GemColor,50811004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
243,GemColor,50911004,#E78C4E,#FFFFFF,#D25500,false,false,true,,
244,GemColor,50112001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
245,GemColor,50212001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
246,GemColor,50312001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
247,GemColor,50412001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
248,GemColor,50512001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
249,GemColor,50612001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
250,GemColor,50712001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
251,GemColor,50812001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
252,GemColor,50912001,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
253,GemColor,50112009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
254,GemColor,50212009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
255,GemColor,50312009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
256,GemColor,50412009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
257,GemColor,50512009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
258,GemColor,50612009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
259,GemColor,50712009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
260,GemColor,50812009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
261,GemColor,50912009,#F8F653,#FFFFFF,#CFCD03,false,false,true,,
262,GemColor,50112002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
263,GemColor,50212002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
264,GemColor,50312002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
265,GemColor,50412002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
266,GemColor,50512002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
267,GemColor,50612002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
268,GemColor,50712002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
269,GemColor,50812002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
270,GemColor,50912002,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
271,GemColor,50112009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
272,GemColor,50212009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
273,GemColor,50312009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
274,GemColor,50412009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
275,GemColor,50512009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
276,GemColor,50612009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
277,GemColor,50712009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
278,GemColor,50812009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
279,GemColor,50912009,#B18F97,#FFFFFF,#B35A6F,false,false,true,,
280,GemColor,50112003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
281,GemColor,50212003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
282,GemColor,50312003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
283,GemColor,50412003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
284,GemColor,50512003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
285,GemColor,50612003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
286,GemColor,50712003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
287,GemColor,50812003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
288,GemColor,50912003,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
289,GemColor,50112011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
290,GemColor,50212011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
291,GemColor,50312011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
292,GemColor,50412011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
293,GemColor,50512011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
294,GemColor,50612011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
295,GemColor,50712011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
296,GemColor,50812011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
297,GemColor,50912011,#9CBFED,#FFFFFF,#3D8BF1,false,false,true,,
298,GemColor,50112004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
299,GemColor,50212004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
300,GemColor,50312004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
301,GemColor,50412004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
302,GemColor,50512004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
303,GemColor,50612004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
304,GemColor,50712004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
305,GemColor,50812004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
306,GemColor,50912004,#3F3225,#FFFFFF,#F5B777,false,false,true,,
307,GemColor,50112012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
308,GemColor,50212012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
309,GemColor,50312012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
310,GemColor,50412012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
311,GemColor,50512012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
312,GemColor,50612012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
313,GemColor,50712012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
314,GemColor,50812012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
315,GemColor,50912012,#3F3225,#FFFFFF,#F5B777,false,false,true,,
316,GemColor,50112005,#465530,#FFFFFF,#C0E041,true,true,true,,
317,GemColor,50212005,#465530,#FFFFFF,#C0E041,true,true,true,,
318,GemColor,50312005,#465530,#FFFFFF,#C0E041,true,true,true,,
319,GemColor,50412005,#465530,#FFFFFF,#C0E041,true,true,true,,
320,GemColor,50512005,#465530,#FFFFFF,#C0E041,true,true,true,,
321,GemColor,50612005,#465530,#FFFFFF,#C0E041,true,true,true,,
322,GemColor,50712005,#465530,#FFFFFF,#C0E041,true,true,true,,
323,GemColor,50812005,#465530,#FFFFFF,#C0E041,true,true,true,,
324,GemColor,50912005,#465530,#FFFFFF,#C0E041,true,true,true,,
325,GemColor,50112013,#465530,#FFFFFF,#C0E041,true,true,true,,
326,GemColor,50212013,#465530,#FFFFFF,#C0E041,true,true,true,,
327,GemColor,50312013,#465530,#FFFFFF,#C0E041,true,true,true,,
328,GemColor,50412013,#465530,#FFFFFF,#C0E041,true,true,true,,
329,GemColor,50512013,#465530,#FFFFFF,#C0E041,true,true,true,,
330,GemColor,50612013,#465530,#FFFFFF,#C0E041,true,true,true,,
331,GemColor,50712013,#465530,#FFFFFF,#C0E041,true,true,true,,
332,GemColor,50812013,#465530,#FFFFFF,#C0E041,true,true,true,,
333,GemColor,50912013,#465530,#FFFFFF,#C0E041,true,true,true,,
334,GemColor,50112006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
335,GemColor,50212006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
336,GemColor,50312006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
337,GemColor,50412006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
338,GemColor,50512006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
339,GemColor,50612006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
340,GemColor,50712006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
341,GemColor,50812006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
342,GemColor,50912006,#412A2D,#FFFFFF,#F8808B,true,true,true,,
343,GemColor,50112014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
344,GemColor,50212014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
345,GemColor,50312014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
346,GemColor,50412014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
347,GemColor,50512014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
348,GemColor,50612014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
349,GemColor,50712014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
350,GemColor,50812014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
351,GemColor,50912014,#412A2D,#FFFFFF,#F8808B,true,true,true,,
352,GemColor,50112007,#334959,#FFFFFF,#80C5F8,true,true,true,,
353,GemColor,50212007,#334959,#FFFFFF,#80C5F8,true,true,true,,
